id,brief,text
1,Verwende 10 Super Kapselmünzen,
2,Verwende 3 Arenatickets,
3,Gib 200 Dias aus,
4,Erhalte 1 5-Sterne Mädchen,"Methoden: Fragmente, Absolvieren, Super Kapseln, Normale Kapseln oder BFF Kapseln"
5,Erhalte 1 5-Sterne Raenvya,"Methoden: Fragmente, Super Kapseln"
6,Level Raenvya auf 6-Sterne auf (Umtausch nicht eingeschlossen),
7,Level Raenvya auf 9-Sterne auf (Umtausch nicht eingeschlossen),
8,Level Raenvya auf 10-Sterne auf (Umtausch nicht eingeschlossen),
9,Schließe 1 4-Sterne Jobaufgabe ab,
10,Schließe 1 5-Sterne Jobaufgabe ab,
11,Schließe 1 6-Sterne Jobaufgabe ab,
