id,fort_name,fort_name2,name,description,skill
1,Beschleunigung\nAnastasia,Beschleunigung\nAnastasia,Mondlicht,"Wenn die Truppen der Yume gegen das Chaos mit aller Kraft kämpfen\ngibt es ein Team, das heimlich an die gefährlichsten Orte vordringt und als Späher der Yume-Truppen fungiert.\nWer zu dieser Truppe gehört, hat einen sehr besonderen Charakter.",Jede Runde vor der ersten Aktion\nwerden die Feinde keinen kontinuierlichen Schaden nehmen
2,Beschleunigung\nAnastasia,Beschleunigung\nAnastasia,Sanfte Magie,"Anastasias Dienstmädchenuniform ist ihr Schutzschild, dass sie vom äußeren Lärm beschützt.\nAnderen zeigt sie nie, dass es ihr schlecht geht, sondern erträgt es in Stille bis es an einem Tag von einem jungen Mädchen entdeckt wurde.",Jede Runde vor der ersten Aktion\nwerden die Feinde keinen kontinuierlichen Schaden nehmen
3,Beschleunigung\nAnastasia,Beschleunigung\nAnastasia,Zukunftspläne,"Der Krieg mit dem Chaos ist vorbei, aber es gibt viele Dinge die nicht so einfach vergessen werden können. \nAnastasia und Fenek denken dennoch optimistisch an die Zeit nach dem Krieg.",Jede Runde vor der ersten Aktion\nwerden die Feinde keinen kontinuierlichen Schaden nehmen
4,Beschleunigung\nAnastasia,Beschleunigung\nAnastasia,Seltsam,"Auch wenn es eine schwierige Mission ist, hat Anastasia früh schon viel gefährlichere Situationen erlebt. \nAbgesehen von der Aufgabe gibt es eine ganz andere Sache, die Anastasia Sorgen bereitet.",Jede Runde vor der ersten Aktion\nwerden die Feinde keinen kontinuierlichen Schaden nehmen
5,Beschleunigung\nAnastasia,Beschleunigung\nAnastasia,Versteckte Bedrohnung,Als Anastasia das Geheimnis des Chaos erfährt entscheidet sie sich\nvielleicht aus Sympathie oder Barmherzigkeit nichts zu tun. Dennoch lässt es ihr Herz nicht zur Ruhe kommen.,Jede Runde vor der ersten Aktion\nwerden die Feinde keinen kontinuierlichen Schaden nehmen
6,Beschleunigung\nAnastasia,Beschleunigung\nAnastasia,Ist der Krieg vorbei?,"Der letzte Kampf ist vorbei und auch der Krieg ist zuende. \nAnastasia glaubt sie kann nun endlich einmal richtig ausruhen, aber…",Jede Runde vor der ersten Aktion\nwerden die Feinde keinen kontinuierlichen Schaden nehmen
7,Beschleunigung\nAnastasia,Beschleunigung\nAnastasia,Glühwürmchen,"Nachdem sie einen hohen Preis gezahlt hat, gelangt Anastasia endlich zurück zur Basis. \nAber dort erwartet sie nur eine Katastrophe.",Jede Runde vor der ersten Aktion\nwerden die Feinde keinen kontinuierlichen Schaden nehmen
8,Beschleunigung\nAnastasia,Beschleunigung\nAnastasia,Die neue Era,"Auch wenn es unerträglich war wusste Anastasia, dass es nicht der richtige Moment für Trauer war, sondern sie nun stark sein musste und nach vorne sehen musste. Anastasia entschied deshalb das Angebot der mystischen Stimme anzunehmen und das Mondlicht einer neuen Era zu werden.",Jede Runde vor der ersten Aktion\nwerden die Feinde keinen kontinuierlichen Schaden nehmen
9,Beschleunigung\nAnastasia,Beschleunigung\nAnastasia,Eine lange Reise,"Auch wenn die Traum Akademie eröffnet und auf dem richtigen Weg war, verließ das unruhige Gefühl Anastasia niemals. Da sie das Gefühl hatte, die Schule brauche sie nun nicht mehr, traf sie eine Entscheidung.",Jede Runde vor der ersten Aktion\nwerden die Feinde keinen kontinuierlichen Schaden nehmen
10,Beschleunigung\nAnastasia,Beschleunigung\nAnastasia,Glühwürmchen unter dem Mondhimmel,"100 Jahre später, als die Traum Akademie in Gefahr war, erschien in der Dunkelheit leise eine Gestalt.",Jede Runde vor der ersten Aktion\nwerden die Feinde keinen kontinuierlichen Schaden nehmen
