name,translation
MAIN_STORY,Abenteuer
MAIN_SCHOOL,Schule
MAIN_ARENA,Kampf
SEVENDAY_NORMAL,Der [c][5c5c5c][size=42][sc][ffffff]{1}[-][/c][-][/sc]. Tag
SEVENDAY_AVAILABEL,Der [c][d76500][size=42][sc][ffffff]{1}[-][/c][-][/sc]. Tag
SEVEN_DAY_DES1,[sc][d36901]5-Sterne Historia[/sc] für\n[sc][d36901]zweitägiges[/sc] Login:
SEVEN_DAY_DES2,[sc][d36901]Mädchens Kostüm[/sc] für\n[sc][d36901]siebentägiges[/sc] Login:
CONCERN_SNS_HTTP_H5,https://www.facebook.com/de.gxb2/
NEED_GO_APPSTORE,Bitte aktualisiere das Spiel im App Store
ACCOUNT_IS_BANNED,Das Konto wurde gesperrt
NEW_GAME_RESOURCE_LOADED,Es gibt eine neuere Version des Spiels. Bitte schließe das Spiel und melde dich erneut an!
CONCERN_SNS_HTTP,https://www.facebook.com/Yume-Academyde-105441374690182
WELFARE_LIMIT_NUM,{1}/[size=15]{2}[-]
TERMS_SERVICE_URL_UNITY_IOS,http://www.soaindo.com/article/terms_of_use
PRIVACY_POLICY_URL_UNITY_IOS,http://www.soaindo.com/article/privacy_policy
