id,mission_des
1,Schließe 5 Hauptlinien-\nKämpfe ab
2,Schließe 2 NPC-Kämpfe ab
3,Erhalte insgesamt 250 Sapphir-Eier
4,Schließe 5 Support-\nveranstaltungen ab
5,Schließe 5 Ereignisse ab
6,Erhalte insgesamt 400 Sapphir-Eier
7,Schließe 10 Hauptlinien-\nKämpfe ab
8,Lese 2 Kapitel von der Geschichte
9,Erhalte insgesamt 600 Sapphir-Eier
10,Schließe 10 Support-\nveranstaltungen ab
11,Schließe 10 Ereignisse ab
12,Erhalte insgesamt 800 Sapphir-Eier
13,Schließe 20 Hauptlinien-\nKämpfe ab
14,Lese 4 Kapitel von der Geschichte
15,Erhalte insgesamt 1000 Sapphir-Eier
16,Nimm an Herausforderungen\nauf 2 beliebigen Karten teil
17,Lese 7 Kapitel von der Geschichte
18,Erhalte insgesamt 1250\nSapphir-Eier
19,Nimm am 10 beliebigen Herausfor-\nderungen  auf der Endkarte teil
20,Lese 10 Kapitel von der Geschichte
21,Erhalte insgesamt 1500\nSapphir-Eier
