id,weather_name,weather_desc
1,Sonnig,Keine Spezialeffekte
2,Sandsturm,Chaos Lord hat seine Blockade um 100% erhöht
3,Leichter Regen,Der Angriff von den Mädchen aus der Menschen- und Feen-Fraktion wurde um 100% erhöht. Der Angriff von den Mädchen aus der Monster- und Geister-Fraktion wurde um 50% verringert.
4,Gewitter,"Der erlittene Blut-, Brenn- und Giftschaden wird um 200% erhöht."
5,Schnee,Chaos Lord hat seine Rüstung um 100% erhöht
6,Nacht,Der Angriff von den Mädchen aus der Dämonen- und Geister-Fraktion wurde um 100% erhöht. Der Angriff von den Mädchen aus der Engel- und Feen-Fraktion wurde um 50% verringert.
7,Nebel,Der Angriff von den Mädchen aus der Engel- und Monster-Fraktion wurde um 100% erhöht. Der Angriff von den Mädchen aus der Dämonen- und Menschen-Fraktion wurde um 50% verringert.
8,Bedeckt,"Wenn der HP vom Chaos Lord höher als 50% liegt, erhöht der von ihm erlittene Schaden um 30%, ansonst erhöht seine Rüstung um 100%."
9,Sturmwind,Der von den Gegner erlittene Schaden erhöht sich um 30%. Die von eigenen Mädchen erhaltene Heilung reduziert sich um 75%.
10,Bewölkt,Der von den Gegner erlittene Schaden wird in der Runde von einer ungeradenen Zahl um 50% erhöht und in der Runde von einer geradenen Zahl um 50% reduziert.
11,Blizzard,"Wenn Standard Angriff oder aktive Fertigkeit deiner Mädchen keinen Krit. verursacht hat, wird der Schaden um 30% reduziert, ansonst wird er um 30% erhöht."
