id,fort_name,fort_name2,name,description,skill
1,Phönix·\nWiedergeburt,Phönix·Wiedergeburt,Auf in die Schlacht,Nach der Schlacht von Yartta gewann Yume einen großen taktischen Vorteil und ließ die Legion des Chaos in die Enge treiben. Der Kommandeur des Backup-Regiments - Omega - stellte Phönix und ihr Team als Verstärkung an die Front.,
2,Phönix·\nWiedergeburt,Phönix·Wiedergeburt,Terror Figur,"Auf dem Weg von Phönix zur Frontbasis wurde sie von der Legion des Chaos überfallen. Plötzlich stürzten unzählige Feinde sich auf einen Punkt und durchbrachen die Formation. Als Phönix und ihr Team ankamen, warteten die Terrorfiguren schon auf sie.",
3,Phönix·\nWiedergeburt,Phönix·Wiedergeburt,Zu treffen,"Auf dem Rückweg erfuhr Phönix, dass das Support-Hauptquartier angegriffen wurde. Sie musste kämpfen, um dem Kommandeur des Hauptquartiers zur Hilfe zu kommen. Nachdem sie den Kommandanten endlich sah, erschien der Schwarze Ritter.",
4,Phönix·\nWiedergeburt,Phönix·Wiedergeburt,Dunkler Ritter,"Der Dunkle Ritter schwingte sein Schwert und schrie ""Es ist vorbei"" und detoniert die Terrorfigur neben ihm. Die Chaosmacht breitet sich über das gesamte Lager aus und verschwand.",
5,Phönix·\nWiedergeburt,Phönix·Wiedergeburt,Es ist noch nicht vorbei!,"Das Lager wurde im Nu komplett zerstört, der Überraschungsangriff war ein voller Erfolg und gab der Chaos-Legion die Chance, einen weiteren Tag zu kämpfen. Sie feierten ihre Siege, während das hämische Gelächter des dunklen Ritter durch die Lager halte.",
6,Phönix·\nWiedergeburt,Phönix·Wiedergeburt,Wiedergeboren,"Nur nach dem Ton ihrer Stimme zu urteilen, konnte Dunkler Ritter sagen, dass der Zorn von Phönix überwältigend war, aber es gibt keine Zeit zu zögern. Er Schwung das Schwert und der Schlag zerriss ihre Flamme.",
7,Phönix·\nWiedergeburt,Phönix·Wiedergeburt,Verhör,"Der dunkle Ritter kann nur erschrocken zusehen wie das Feuer auf ihn zukommt und kann nicht mehr reagieren, um sich zu schützen. Erst als das rote Feuer sich in seinen Augen wiederspiegelt erkennt er die Gefahr und verbrennt zu Asche, die sich im Wind zerstreut.",
8,Phönix·\nWiedergeburt,Phönix·Wiedergeburt,Wer ist der Verräter?,"Nachdem Phönix gerade den dunkeln Ritter besiegt hat, trifft sie auf Leila, die gerade den Rest der Feinde erledigt hat. Leila, die erfahren hat, das die Chaos-Truppen die Singularität zum Teleportieren hinter die Frontlinie verwenden können, macht sich Sorgen und bittet Phönix zusammen nach dem Regiment ""Alpha"" schauen zu gehen.",
9,Phönix·\nWiedergeburt,Phönix·Wiedergeburt,Ausgelöscht,"Als sie zum Regiment ""Alpha"" gelangen finden sie nur noch verbrannte Erde. Jegliches Zeichen von Leben ist von Asche und Rauch bedeckt.",
10,Phönix·\nWiedergeburt,Phönix·Wiedergeburt,Mission und Wahl,"Als sie Leilas Reatkion sieht, entschließt Phönix den Krieg ein für alle mal zu beenden und enttarnt den Verräter. Mit ausgebreiteten Flügeln fliegt sie auf das Chaos zu wie ein roter Pfeil über das Kampffeld.",
11,Leila·\nGiftiger Pfeil,Leila·Giftiger Pfeil,Ich bin die Zerstörung!,"Im Büro des Disziplinarkomitees fragt Michaela geduldig die Seniorin zu ihrer Erfahrung, um das Campusmanagement zu erleichtern. Diese fängt mit ihrer Beschreibung an: Die Geschichte beginnt mit der Invasion des Chaos…",
12,Leila·\nGiftiger Pfeil,Leila·Giftiger Pfeil,In Formation!,"Die ""vier Regimenter"" wurden gegründet, aber obwohl Leila die Vorraussetzungen für Regiment ""Alpha"" erfüllte aber wegen ihrer Persönlichkeit wurde sie bei der Gruppenbildung im Regiment ausgeschlossen.",
13,Leila·\nGiftiger Pfeil,Leila·Giftiger Pfeil,Gruppe 11,"""Sie"" lädt Leila in das Team 11 ein. Leila, die nicht bemittleidet werden will lehnt ab. ""Sie"" provoziert Leila jedoch mit einer weiteren Einladung und kann sie reizen…",
14,Leila·\nGiftiger Pfeil,Leila·Giftiger Pfeil,Kampf in den Hügeln (1),"Im 98. Jahr der Chaos Invasion erhält das Regiment ""Alpha"" die Anordnung, das Lager der Chaos-Truppen anzugreifen. Leila wird mit der Ausführung dieser Mission beauftragt. Als sie jedoch zu den Hügel gelangen, passiert etwas unerwartetes.",
