id,title,desc
1,Luftversorgung,Erhalte normale Ressourcenauswahlbox *1
2,Sonniges Wetter,Level eines Ressourcengebiets +1 (Gilt für Gebiet auf Lv.3 nicht)
3,Mit dem Wind,Die nächste durch Drehen erhaltene Zahl wird verdoppelt (Gilt für beide Steuer)
4,Doppelte Freude,Beim nächsten Versuch wird das Steuer zweimal gedreht (Benötigt 1 Steuer/Fernsteuer)
5,Glück,Erhalte doppelte Korallenzweige beim nächten Aufenthalt oder Vorbeigehen am Korallenbaum!
6,Regentag,Level eines zufälligen Ressourcengebiets -1 (Gilt für Gebiet auf Lv.1 nicht)
7,Welle,Beim nächsten Aufenthalt auf dem Ressourcengebiet erhältst du keine Belohnungen.
8,Magnetfeld,Beim nächsten Versuch trittst du zurück. (Keine Belohnung und Levelerhöhung)
9,Ärgerliche Babel,Babel hat endlich ihr Haustier gefunden! Luvly muss zum Ausgangpunkt zurückkehren.
10,Ressource - Kristallmeißel,Beim Aufenthalt auf diesem Gebiet erhältst du die Kristallmeißel und das Gebietelevel wird um 1 erhöht (maximal auf Lv.3)
11,Ressource - Brotdose,Beim Aufenthalt auf diesem Gebiet bekommst du die Brotdosen und das Gebietelevel wird um 1 erhöht (maximal auf Lv.3)
12,Ressource - EXP Saft,Beim Aufenthalt auf diesem Gebiet bekommst du EXP Saft und das Gebietelevel wird um 1 erhöht (maximal auf Lv.3)
13,Ressource - Spirit Keks,Beim Aufenthalt auf diesem Gebiet bekommst du die Spirit Kekse und das Gebietelevel wird um 1 erhöht (maximal auf Lv.3)
14,Ressource - Diener-Keks,Beim Aufenthalt auf diesem Gebiet bekommst du die Diener-Kekse und das Gebietelevel wird um 1 erhöht (maximal auf Lv.3)
15,Ressource - Elite 5-Sterne Mädchen-Fragment,Beim Aufenthalt in diesem Gebiet bekommst du die Elite 5-Sterne Mädchen-Fragmente und das Gebietelevel wird um 1 erhöht (maximal auf Lv.3)
16,Ressource - 4-Sterne Fragment,Beim Aufenthalt in diesem Gebiet bekommst du die 4-Sterne Mädchen-Fragmente und das Gebietelevel wird um 1 erhöht (maximal auf Lv.3)
17,Ressource - 5-Sterne Fragment,Beim Aufenthalt in diesem Gebiet bekommst du die 5-Sterne Mädchen-Fragmente und das Gebietelevel wird um 1 erhöht (maximal auf Lv.3)
18,Korallenbaum,"Jedes Mal wenn du am Karollenbaum vorbeigehst oder dich hier aufhälst, bekommst du die Korallenzweige. Beim Aufenthalt auf diesem Gebiet wird dessen Level um 1 erhöht (maximal auf Lv.3)"
19,Steuer,Beim Aufenthalt auf diesem Gebiet bekommst du 1 Steuer
20,Fernsteuer,Beim Aufenthalt auf diesem Gebiet bekommst du 1 Fernsteuer
21,Muschelhaus,"Beim Aufenthalten im Muschelhaus werden 3 mystische Karten mit verschiedenen Inhalten ausgegeben. Wähle eine aus, um sie aufzudecken~"
22,Seestrudel,"Der heftige Strudel hat dich aufgehalten. Landest du auf diesem Feld, wird die nächste durch Drehen erhaltene Zahl halbiert"
23,Blaue Perle,"Landest du auf diesem Feld, bekommst du blauen Perlen."
