id,skill_desc
1001,Erhöht die Rüstung des Expeditionsteams um [c][DE512B]{1}[-][/c]
1002,"Erhöht die HP des Expeditionsteams um [c][DE512B]{1}[-][/c], die Rüstung um [c][DE512B]{2}[-][/c] und kann die Position der Belohnungen vorhersagen"
1003,Erhöht die HP des Expeditionsteams um [c][DE512B]{1}[-][/c]
1004,Erhöht den Angriff des Expeditionsteams um [c][DE512B]{1}[-][/c]
1005,Erhöht die Rüstung des Expeditionsteams um [c][DE512B]{1}[-][/c]
1006,Erhöht die HP des Expeditionsteams um [c][DE512B]{1}[-][/c] und die Rüstung um [c][DE512B]{2}[-][/c]
1007,Erhöht die HP des Expeditionsteams um [c][DE512B]{1}[-][/c] und den Angriff um [c][DE512B]{2}[-][/c]
1008,"Erhöht die HP des Expeditionsteams um [c][DE512B]{1}[-][/c], den Angriff um [c][DE512B]{2}[-][/c] und kann die Position der Gegner vorhersagen"
1009,Erhöht die Rüstung des Expeditionsteams um [c][DE512B]{1}[-][/c] und den Angriff um [c][DE512B]{2}[-][/c]
1010,"Erhöht die HP des Expeditionsteams um [c][DE512B]{1}[-][/c], den Angriff um [c][DE512B]{2}[-][/c] und die Rüstung um [c][DE512B]{3}[-][/c]"
2001,1. Erhöht den Angriff des Expeditionsteams um [c][DE512B]{1}[-][/c]
2002,2. Erhöht die Rüstung des Expeditionsteams um [c][DE512B]{1}[-][/c]
2003,3. Erhöht die HP des Expeditionsteams um [c][DE512B]{1}[-][/c]
2004,4. Kann die Positionen aller Belohnungen auf jeder Etage vorhersagen
2005,5. Kann die Positionen aller Gegner auf jeder Etage vorhersagen
3001,1. Erhöht den Angriff des Expeditionsteams
3002,2. Erhöht die Rüstung des Expeditionsteams
3003,3. Erhöht die HP des Expeditionsteams
