id,name,dialog,click_dialog1,click_dialog2,click_dialog3,click_dialog4,click_dialog5,battle_dialog,skill_dialog,cv_name,love_gift_dialog1,love_gift_dialog2,love_gift_dialog3,vow_dialog,login_dialog,lvlup_dialog,gradeup_dialog,shengxue_dialog,awake_dialog,equip_dialog1,equip_dialog2,hangteam_dialog,house_set_dialog,house_dialog,idle_dialog,dagong_dialog,daily_mission_dialog,new_stage_dialog,victory_dialog,failed_dialog,love_point_dialog1,love_point_dialog2,love_point_dialog3,love_point_dialog4
11001,Skarivine,"Geradeaus, wenden! Beschleunigen... Bremsen! Ich beherrsche alle Künste des Skifahrens! Master~lass uns zusammen Ski fahren!",Wie aufregend das Skifahren ist! Ein Leben ohne Skifahren ist unvollständig!,JA ~! Ich fahre schneller als der Wind ~,Schneller schneller! Es kommt eine Lawine~Lass uns mit der Lawine um die Wette fahren~,Ich warte da vorne auch dich~Hol mich schnell ein!~,Was für ein schöner Winter ~! Jeder kann jetzt das Skifahren genießen!,Zeig mir etwas aufregendes?,Segen des Schnees!,Arisa Aihara,"Wem würde das schon gefallen, Dummkopf~",Ooh ein Geschenk für mich? Danke~Leg es dorthin und komm mit mir Skifahren~,Ich habe es gerade als ich Skifahren war in deiner Hand gesehen. Es ist also ein Geschenk für mich? Danke~es gefällt mir sehr~,"Im Angesicht des Berges hinter mir schwöre ich, dass unsere Schicksale ab heute miteinander verbunden sind!","Willkommen zurück, Senpai!",Danke Senpai!,Meine Skieer sind in jedem Gelände passend!,填充,填充,"Kannst du mir das nächste Mal, wenn du meine Ausrüstung erneuerst, ein Snowboard geben?",Diese Ausrüstung zum Skifahren? Das ist eine ganz neue Erfahrung!,"Soll ich dir Skifahren beibringen? Versuch es einmal, du wirst es nicht bereuen!","Aw, in diesem kleinen Zimmer bleiben... Wie wäre es, wenn du mit mir Skifahren gehst!",Komm schnell und schau dir meine neuen Skieer an!,So müde nach dem Sport~erstmal etwas ausruhen,Wollen wir zusammen arbeiten? Mit dem Geld kann ich neue Skier kaufen!,"Vergiss nicht, deine Belohung einzusammeln!",Vergiss nicht beim Skifahren die neuen Campus Nachrichten zu checken!,Entspann dich! Alles läuft wie am Schnürchen!,"Ah, ich bin gestolpert…",填充,填充,填充,填充
11002,Cayla,"Kann ich meinen Kopf auf dein Bein legen? Ich bin so müde aber ich habe kein Bett… so gemütich…. Master, kann ich einfach für immer hier auf deinem Bein liegen bleiben?",Ich bin so müde~ist es morgen? Oh? Sogar schon mittag?,Schlaf~Schlaf~Schlaf schnell ein~,Weck mich zum Essen auf.,"Betten, Decken und Kissen sind ein Teil meines Körpers~",Maus? Habe ich mich verhört... Na ja ~ Zurück ins Bett.,Ich kann meine Augen nicht öffnen..,So müde...!,Hanazawa Kana,"Störe.. störe mich nicht, wenn ich schlafe…",Ein Geschenk?... Danke... Leg es dorthin~,"Oh~Danke für dein Geschenk~Es wird mir helfen, besser einzuschlafen~Du kannst dich mit mir hinlegen, alleine schlafen macht keinen Spaß.","Ich hatte einen wundervollen Traum, der Master umarmt mich und ich trage ein Hochzeitskleid... Ah? Das war gar kein Traum!","Willkommen zurück, Master~","Nein, gib mir nicht mehr~ich schaffe nicht mehr zu trinken~ZZZ",Ich bin plötzlich noch müder…,填充,填充,"Aw, diese Ausrüstung ist so schwer, ich kann sie nicht als Kissen benutzen...",Diese Kleidung ist so weich... da bin ich einfach eingeschlafen~,"Egal wo, lass mich einen Moment schlafen...",Ein Bett...,ZZZ... ZZZ... du bist zurück,"Wenn es nichts weiter gibt, schlaf ich erstmal...","Master, geh erstmal zur Arbeit, ich schlafe eine Weile und komme dann...","Master, sammel die Belohungen ein... ich schlafe erstmal kurz...",Es ist so laut... was ist denn passiert...,Ich glaube es ist Zeit zu schlafen~,Ich hatte einen Alptraum…ich hab so Angst…,填充,填充,填充,填充
11003,Vanessa,Ich möchte für immer so von dir angeschaut werden. Nur ich allein.,"Alle, die mir im Weg stehen, müssen getötet werden! Alle!","Du bist die einzige Person, die für mich auf diesem Planeten zählt! Alle anderen müssen vernichtet werden!","Dieses Mädchen ist bereits tot, weil sie sich dir nähern wollte.",Für immer zusammen~Für immer~,"Master~Solange ich hier bin~werde ich dafür sorgen, dass dich niemand verletzt!",Ich werde dich nicht leiden lassen.,Zerstöre es!,Kawanishi Mai,Ich brauche es nicht~,"Ein Geschenk? Ich hoffe, du hast es nur mir geschenkt~",Für mich? Das da auch? Du bist auch meins~,"Diejenigen, die verhindern wollten, dass wir zusammen sind, existieren nicht mehr! Sie sind tot!","Endlich bist du zurück, Master!~","Gib mir, noch mehr!",Lass mich ein noch größeres Schwert nehmen~,填充,填充,Das sollte nur ich haben! Nur ich!,Mit dieser Ausrüstung kann ich jeden besiegen!,Nun bin ich von Senpai unabhängig~Hahaha~,Ich werde hier auf dich warten~,Du bist endlich zurück! Mein Master!,"Der Master schläft an mich angeleht, was für ein wunderschöner Moment, wenn es nur immer so sein könnte!","Senpai, schau dich nicht nach den anderen Mädchen bei der Arbeit um~","Senpai, du hast deine Belohungen noch nicht eingesammelt.","Egal was in der Schule passiert, ihr dürft Senpai und mich nicht stören!","Master, willst du mir eine Belohnungen geben~",Es sollte nicht so enden…,填充,填充,填充,填充
12001,Madam,"Master, hier sind die Kleider für heute. Das Frühstück ist auch fertig. Hier deine Zahnbürste und Zahnpasta. Brauchst du sonst noch was?",Master! Nein... ich biete keinen besonderen Service an...,"Die Existenz von Madam dient nur dazu, dem Master zu dienen!","Master, was soll ich mit ihm machen? Soll ich seine Hand unbrauchbar machen? Oder sollte ich ihn zu einem blinden Mann machen?","Wenn es der Master will, wird Madam es tun!","Ich habe einen Willen, jedoch ist der Wille meines Masters wichtiger, als der meine!",Es ist der Befehl des Masters.,Komm her!,Minase Inori,Master... hasst du mich wirklich so sehr?,"Master, hast du vergessen das mitzunehmen? Huh? Ein Geschenk für mich?",Wow! Es ist ein tolles Geschenk! Kann ich es wirklich annehmen?,"Master, Ich verstehe... wenn es dein Wunsch ist, werde ich deinen Antrag annehmen und für immer bei dir bleiben.","Willkommen zurück, Master!","Gib das Getränk lieber den Schwestern, die es mehr brauchen als ich~",Ich hoffe ich kann noch mehr für den Master machen~,填充,填充,"Ich präferiere die Dienstmädchen Kleidung, aber wenn der Master es sehen will, dann werde ich mich umziehen~","Master, welche Kleidung willst du heute an mir sehen?",Will der Master spazierengehen? Bitte lass mich mit dir gehen.,Soll ich das Zimmer sauber machen? Ich werde mich sofort darum kümmern.,"Ich habe das Zimmer bereits geputzt, kann ich noch etwas tun?","Dein Bett ist bereits vorbereitet, wenn du müde von der Arbeit bist, bringe ich dich zu Bett~","Es ist Zeit zu arbeiten~Natürlich kann ich auch arbeiten, aber du freust dich so, da bin ich doch überflüssig~",Bitte vergiss nicht deine Belohungen~,"Auf dem Campus sind neue Sachen passiert, wenn du planst dich darum zu kümmern, lass mich mit dir gehen.","Dieser Sieg ist dir zu verdanken, Master!","Master, zieh dich zuerst zurück, ich halte die Feinde auf~",填充,填充,填充,填充
12002,Agesia,"Ich bin dein mächtigster Schild, der dich vor jedem Angriff beschützen wird, aber wenn es deine Seele ist, die angegriffen wird... Bin ich hilflos...","Oh? Willst du versuchen, diesen Schild zu durchbrechen? Probiere es...",Der Geist eines Menschen kann so zerbrechlich wie Glas und so hart wie Stahl sein. Es ist unglaublich!,Defensive Attribute ändern sich mit offensiven Attributen. Es ist Teil der Integrität der Technologie.,Mein Schild kann mich beschützen. Aber wer wird mein Herz beschützen?,Ich beschütze immer andere. Aber wer beschützt mich?,Schild... Bereitstellen!,Kämpfe um zu beschützen!,Kouyama Yuki,Uninteressant~,Ein Geschenk? Danke~,"Oh nein, du hast mein Herz erobert, Master...","Ich kann auch nicht alle Seiten beschützen. Bitte schütze du meine größte Schwachstelle, meinen Rücken~","Ich bin froh, wenn alles gut ist, Master~",... Verteidiungsverbesserung~,Für die nächsten Kämpfe muss mein Schild noch stärker sein!,填充,填充,Diese Kleidung sieht nicht sonderlich stabil aus~,Bitte gib mir die dickeste Rüstung~,"Lass mich ganz vorne stehen, es ist meine Mission euch zu beschützen~",Agesia halte die Ordnung ein!,"Master, wann bin ich endlich mit der Ausbildung fertig?","Wenn ich dich so beobachte, wird mir ganz warm. Was ist das nur für ein Gefühl, Master?","Master, du solltest zur Arbeit.","Deine Aufgabenbelohnungen, du hast sie noch nicht eingesammelt.","Der Campus braucht deine Hilfe, um die Krise zu lösen, ich will dir auch helfen.",Ihr könnte mich nicht besiegen!,"Das Schild ist gebrochen, nun kann ich die hinter mir nur noch mit meinem eigenen Körper beschützen~",填充,填充,填充,填充
12003,Handana,"Master, brauchst du Vitamine? Ich kann dir dabei helfen! Litschi ist in dieser Saison sehr gut! Möchtest du welche?","Die köstlichsten Früchte wachsen nicht unbedingt an den höchsten Stellen. Menschen auch nicht, oder?","Heidelbeeren sind wirklich elegant. Willst du probieren? Am liebsten mache ich Joghurt aus ihnen. Was denkst du, Meister?","Äpfel sind im Winter süßer. Vielleicht ist es eine Frage der Laune, aber die knallroten sind wirklich die Besten.",Sie sind noch nicht reif. Lass sie noch etwas am Baum hängen.,"An den Früchten, die du selbst gepflückt hast, ist etwas besonders.",Wähle eine Frucht!,Willst du ein paar Durians?,Satō Azusa,Natürlich mag ich frische Sachen lieber~,Danke~,"Es ist ein großartiges Geschenk, ich mag es sehr, danke Meister","Wenn du Obst magst, bist du sicher ein guter Mensch... Ah, ich bin so glücklich mit jemandem wie dir zusammen Obst essen zu können~","Willkommen zurück, willst du einen Apfel?","Du gibst mir was zu trinken, dann gebe ich dir Früchte~","Wenn ich stärker geworden bin, kann ich auf die Bäume springen und das Obst leichter bekommen!",填充,填充,"Diese Klediung sieht wirklich toll aus, Danke!","Du hast mir neue Kleidung besorgt, vielen Dank! Dafür bekommst du von mir diesen Korb, mit gerade selbst gepflücktem Obst~",Willst du mit mir zum Obstgarten kommen?,"Master, dieses Zimmer ist wirklich groß~","Ich habe das gewaschene Obst auf den Tisch gestellt, bedien dich~","Schlaf erstmal, ich hole ein bisschen Obst für dich~",Du musst zur Arbeit~,Vergiss nicht die Aufgabenbelohnung einzusammeln~,"Ah, auf dem Campus ist etwas passiert, ich muss schnell nach meinem Obstgarten schauen... Master du solltest auch schnell gehen und dem ein Ende bereiten!",Teste die Süße der Früchte~,Ahhh… mein Obstkorb wurde umgeschmissen…,填充,填充,填充,填充
13001,Lin Al,Zeitreise erfolgreich! C204 Raumfahrer Roboter des Jahres 2036. Geben Sie Ihre Anweisungen!,Massage? Befehl kann nicht ausgeführt werden. Gib einen neuen Befehl!,"Zeit und Raum durchqueren? Entschuldigung, du hast keine Erlaubnis.","Die Batterien sind fast leer. Master, bitte aufladen.",「Fehler」! 「Fehler」! Während des Tests ist ein Fehler aufgetreten. Bitte Befehl erneut eingeben!,"Meine Datenbank enthält kein Befehl namens ""Gefühl"". Operation fehlgeschlagen.",Angriffsprogramm starten.,Ausführungsverfahren.,Chihara Minori,「Fehler」! 「Geschenk」 inakzeptabel!,"「Geschenk」, danke!","[Error]! Kerntemperatur überhitzt! Master, das [Geschenk] bringt mir unerwartete Erfahrungen...","Alle Systemoperationen, die mich betreffen, werden auf dem Chip gespeichert. Master, ich weiß wie sehr du dich anstrengst bitte kümmer dich weiter gut um mich.",Wilkommen zurück Master!,Upgegradetes System,Verbesserte RAM,填充,填充,Neue Software runtergeladen.,"""Error""! Interface Problem.",Ordnung bestätigt.,"Zielort erreicht, starte “Standby” Protokoll.","Hallo, Master.","Alle Missionen beendet, warte auf neue Anordnungen.","Beep, Standarderinnerung: Arbeiten.","Beep, Standarderinnerung: Belohnungen einsammeln.","Energie am Sportplatz stark schwankend, Schulverteidigungsprogramm aktivieren?",Ziel wurde ausgelöscht,"Kritischer Schaden entdeckt, Chance auf Sieg 1%.",填充,填充,填充,填充
13002,Hexe,"Hey Hey Hey! Süßes oder Saures! Master, wenn du mir keine Süßigkeiten gibst, werde ich Ärger machen!","Frankenstein, Dracula, Hexe, Werwolf, Zombie und Skelett... Ah! Halloween ist morgen! Lauf nicht weg! Komm zurück!","Schaut alle gut meinen Hut an. Was soll herausziehen? Ich kann alles, was ihr wollt, hier herauszaubern!","Wenn du Angst hast, können wir uns zusammen unter dem Bett verstecken!","Master! Ich habe vergessen, ein Geschenk mitzubringen. Also bin ich das Geschenk! Nur ein Witz!","Möchtest du einen magischen Besen ausprobieren? Ist es nicht etwas schwierig, das Gleichgewicht zu halten?",Komm schon! Lass uns spielen!,Ich werde für Ärger sorgen! Versprochen!,Matsuura Chie,Hey! Keine Süßigkeiten?! Was soll das?,Vielen Dank für dein Geschenk,Happy Halloween~Du bist der beste Master~,"Obwohl ich Halloween sehr mag, würde ich mich für das Herz des Masters entscheiden, wenn ich mit etwas wünschen könnte~",Süßes oder Saures!,Ich brauche noch mehr Süßigkeiten,"Obwohl mich alle ignorieren, habe ich mich immer sehr angestrengt!",填充,填充,"Diese Waffe werde ich vermutlich nie benutzen, oder?",Ich will einen neuen Zauberstab...,Feiern unsere Feinde Halloween?,Ich habe meine ganzen Süßigkeiten unter dem Bett versteckt~,Endlich bist du da~hast du dran gedacht meine heutigen Süßigkeiten mitzubringen?,"Obwohl ich es ein bisschen komisch finde, hier zu schlafen, hoffe ich, dass du was schönes träumst~","Ich kann nicht für dich arbeiten, es ist am Besten seine eigenen Sachen selbst zu erledigen!","Die heutige Belohnung sind, Süßigkeiten! Haha, ich mach nur Witze!","Vergiss nicht zu dem seltsamen Wohnheimszimmer zu gehen, von dem ich dir gestern erzählt habe~in diesem verlassenen Schulgebäude!",Niemand kann während Haloween gegen mich gewinnen~,Ist heute nicht Halloween…,填充,填充,填充,填充
13003,Stella,Zeig mir deinen Groll. So eine starke korrupte Seele... Ziemlich interessant~Komm her. Wen willst du verfluchen?,Ich habe die Macht des Fluchs der Hexe geerbt... Ich werde den Fluch der Menschheit für immer hassen.,Seit meiner Geburt... konnte ich Wärme... nie spüren...,"Es braucht Zeit, bis die Menschen erkennen, wie entspannend Freiheit ist","Ich verstehe nicht... Warum sollte jemand mit jemand anderem zusammen sein wollen? Nur die Schwachen tun sich zusammen, oder?",Die Wüste~ist meine zweite Heimat.,Fühlst du Ressentiments? Die Kraft dieser tiefen Trauer.,Verflucht seist du!,Hamaguchi Ayano,Es wird die Macht des Fluches reduzieren!,Ist das für mich?,Wenn ich das benutze kann ich noch mehr Kraft bekommen~Danke~,"Selbst wenn ich meine Kräfte für immer verlieren würde, hätte ich keine Angst, weil ich weiß, dass ich nicht allein bin.",Willkommen~Senpai~,Mein Hass wächst und meine Macht steigt unaufhaltsam!,Ich werde weiter alleine leben!,填充,填充,Wie du wünscht.,Schau gut zu wie ich meine Kräfte nutze!,Sind sie dein Ziel?,"Schließe Fenster und Türen gut. Ich will nicht, dass meine Sandskulptur vom Wind zerstört wird.","Senpai, was willst du mir dieses Mal sagen?","Ich weiß nicht wo Senpai hin ist, ich habe ihn fast den ganzen Tag nicht gesehen. Aber alleine ist es auch schön und vor allem entspannt.","Schnell, geh arbeiten und hör auf Unsinn zu reden~","Vielleicht wäre es besser, wenn ich dich nicht an deine Belohungen erinnern würde, vielleicht bist du dann wütend.","Es ist lange her, dass ich mich so wütend auf dem Campus gefühlt habe, komm her und schau es dir an. Es ist etwas Großes passiert!",Das Blut der Feinde ist auf dem ganzen Schlachtfeld verteilt!,Ist es also jetzt an mir besiegt zu werden?!,填充,填充,填充,填充
14001,Elloi,"Senpai, ich bin Elloi. Wenn du ein Problem hast, zögere nicht nach mir zu fragen!",Du Glückspilz! Dieses Jahr wird wirklich sehr schnell vorbei gehen!,"Elloi, wenn du kannst, komm zum Tempel, um mich zu sehen!","Entschuldigung, nach was suchst du? Liebe, Reichtum oder Gesundheit? Hier kannst du es finden~","Wenn dein Wunsch aufrichtig ist, dann wird dieser erfüllt.",Was machst du? Ist es nicht einsam in diesem Schrein?,"Komm, lass uns sehen, was du kannst!",Schauen wir uns deine Zukunft an!,Murata Haruka,Wie konntest du...,Dieses Geschenk ist für mich? Danke.,Danke für das Geschenk~Lass mich für dich eine Wahrsagung machen? Sie sind sehr effektiv~,"Schicksal ist nur eine von vielen Möglichkeit. Ich hoffe, dass ich deine Geliebte werden kann und immer bei dir bleiben kann, geht das?","Willkommen zurück, heute ist auch ein glückverheißender Tag~",Morgen werde ich sicherlich auch so viel Glück haben~,Ich verstehe~,填充,填充,Diese Kleidung scheint gut zu mir zu passen~,Vergiss nicht diesen Talisman zu tragen~,"Werd nicht so emotional, auch wenn es dein Glückstag ist~","Es wäre super, wenn wir ein Teeset im Wohnheim hätten...","Warum bist du so in Eile, brauchst du Hilfe?","Trotz eines stressigen Lebens die Ruhe zu bewahren ist eine wichtige Eigenschaft. Ah, du hast geschlafen?","Musst du heute nicht arbeiten? Wie kommt es, dass du Zeit hast mich zu besuchen?","Es ist unmöglich Jemanden zu wecken, der sich schlafend stellt.",Was ist dort los? Ist Priesterin gekommen? Willst du mit mir schauen gehen?,Ich habe diesen Sieg schon vor langem erwartet~,"Auch wenn wir heute besiegt wurden, werden wir wieder kommen!",填充,填充,填充,填充
