id,desc,skill_name
101001,Angriff der Geister-Mädchen +2%,Geister
101002,Angriff der Geister-Mädchen +4%,Geister
101003,Angriff der Geister-Mädchen +7%,Geister
101004,Angriff der Geister-Mädchen +10%,Geister
101005,Angriff der Geister-Mädchen +15%,Geister
101006,Angriff der Menschen-Mädchen +2%,Menschen
101007,Angriff der Menschen-Mädchen +4%,Menschen
101008,Angriff der Menschen-Mädchen +7%,Menschen
101009,Angriff der Menschen-Mädchen +10%,Menschen
101010,Angriff der Menschen-Mädchen +15%,Menschen
101011,Angriff der Monster-Mädchen +2%,Monster
101012,Angriff der Monster-Mädchen +4%,Monster
101013,Angriff der Monster-Mädchen +7%,Monster
101014,Angriff der Monster-Mädchen +10%,Monster
101015,Angriff der Monster-Mädchen +15%,Monster
101016,Angriff der Feen-Mädchen +2%,Feen
101017,Angriff der Feen-Mädchen +4%,Feen
101018,Angriff der Feen-Mädchen +7%,Feen
101019,Angriff der Feen-Mädchen +10%,Feen
101020,Angriff der Feen-Mädchen +15%,Feen
101021,Angriff der Dämonen-Mädchen +2%,Dämonen
101022,Angriff der Dämonen-Mädchen +4%,Dämonen
101023,Angriff der Dämonen-Mädchen +7%,Dämonen
101024,Angriff der Dämonen-Mädchen +10%,Dämonen
101025,Angriff der Dämonen-Mädchen +15%,Dämonen
101026,Angriff der Engel-Mädchen +2%,Engel
101027,Angriff der Engel-Mädchen +4%,Engel
101028,Angriff der Engel-Mädchen +7%,Engel
101029,Angriff der Engel-Mädchen +10%,Engel
101030,Angriff der Engel-Mädchen +15%,Engel
101031,Angriff aller Mädchen +1%,Angriff
101032,Angriff aller Mädchen +2%,Angriff
101033,Angriff aller Mädchen +3%,Angriff
101034,Angriff aller Mädchen +5%,Angriff
101035,HP aller Mädchen +1%,HP
101036,HP aller Mädchen +2%,HP
101037,HP aller Mädchen +3%,HP
101038,HP aller Mädchen +5%,HP
101039,Schadensreduzierung aller Schäden der aufgestellten Mädchen +1%,Reduzierung
101040,Schadensreduzierung aller Schäden der aufgestellten Mädchen +2%,Reduzierung
101041,Schadensreduzierung aller Schäden der aufgestellten Mädchen +3%,Reduzierung
101042,"Schadensreduzierung aller Schäden der aufgestellten Mädchen +4%, alle zugefügten Schäden +2%",Reduzierung
101043,Rüstung der Mädchen der Frontline +1%,Frontline
101044,Rüstung der Mädchen der Frontline +2%,Frontline
101045,Rüstung der Mädchen der Frontline +3%,Frontline
101046,Rüstung der Mädchen der Frontline +4% und Schadensreduzierungsrate +2%,Frontline
101047,Rüstung der Mädchen der Frontline +5% und Schadensreduzierungsrate +5%,Frontline
