id,title_1,unknown_3,contents_1,contents_4
1,“Limitierte Events”freigeschaltet!,Senpai! Neue Events haben begonnen! Komm und nimm daran teil!,Senpai! Neue Events haben begonnen! Komm und nimm daran teil!,Senpai! Neue Veranstaltungen haben gerade begonnen! Beeil dich!
2,Tägliches Quiz nicht abgeschlossen!,"Senpai, vergiss bitte nicht deine täglichen Aufgaben~","Senpai, vergiss bitte nicht deine täglichen Aufgaben~",Senpai! Du hast noch Zeit dein tägliches Quiz abzuschließen! Vergiss es nicht!
3,Die Welt braucht dich!,Senpai! Komm und sehe dir den neuen Campus an!,Senpai! Komm und sehe dir den neuen Campus an!,Senpai! Komm und sehe dir den neuen Campus an!
4,Die Welt braucht dich!,Senpai! Deine Mädels vermissen dich wirklich sehr! Beeil dich und komm zurück!,Senpai! Deine Mädels vermissen dich wirklich sehr! Beeil dich und komm zurück!,Senpai! Deine Mädchen vermissen dich sehr! Beeil dich und komm zurück!
5,Die Welt braucht dich!,Senpai! Deine Mädchen können nicht ohne dich kämpfen. Beeil dich und komm zurück~!,Senpai! Deine Mädchen können nicht ohne dich kämpfen. Beeil dich und komm zurück ~!,Senpai! Deine Mädchen können nicht ohne dich kämpfen. Beeil dich und komm zurück~!
6,Die Welt braucht dich!,"Senpai! Der Campus wird voller Dämonen sein, wenn du nicht zurückkommst!","Senpai! Der Campus wird voller Dämonen sein, wenn du nicht zurückkommst!","Senpai! Der Campus wird voller Dämonen sein, wenn du nicht zurückkommst!"
7,Die Welt braucht dich!,Senpai! Willst du deine Mädchen wirklich verlassen?,Senpai! Willst du deine Mädchen wirklich verlassen?,Senpai! Willst du deine Mädchen wirklich verlassen?
8,Keine Jobaufgabe begonnen!,Senpai! Du hast keine Jobaufgabe begonnen. Beeile dich und lege los!,Senpai! Du hast keine Jobaufgabe begonnen. Beeile dich und lege los!,Senpai! Du hast keine Jobaufgabe begonnen. Beeile dich und lege los!
9,Arenaniederlage,Senpai! Dein Team in der Arena wurde besiegt. Räche dich!,Senpai! Dein Team in der Arena wurde besiegt. Komm zurück und räche dich!,Senpai! Dein Team in der Arena wurde besiegt. Komm zurück und räche dich!
10,Gildenhinweis geändert,Gildenhinweis geändert: {1},Gildenhinweis geändert: {1},Der Gildentext wurde geändert: {1}
11,Nachricht für den Gildenleiter,"Präsident! Senpai! Die Gilde braucht dich, komm bald zurück! Komm zurück!","Präsident Senpai! Die Gilde braucht dich, komm bald zurück! Komm zurück!",Senpai! Die Gilde ist auf ein Entwicklungsproblem gestoßen und braucht deine Hilfe!
12,Nachricht für den Gildenleiter,Präsident! Our guild can't move on without you! Bitte komm zurück!,Präsident! Our guild can't move on without you! Bitte komm zurück!,"Senpai, die Gilde braucht dich, komm bald zurück!"
13,Nachricht für den Gildenleiter,Leader! Where are you? We have something serous happened in guild!,Leader! Where are you? We have something serous happened in guild!,"Senpai, da du gegangen bist, hat die Gilde große Probleme, komm schnell, hilf das Problem zu lösen!"
14,Nachricht für den Gildenleiter,Leader! Do you really want to leave your guild? Please come back!,Leader! Do you really want to leave your guild? Please come back!,Senpai! Möchtest du deine Gilde wirklich aufgeben? Komm bald zurück!
15,Nachricht zu den Mädchen!,Senpai! How was your first day in campus? Was it great?,Senpai! How was your first day in campus? Was it great?,"Senpai, wie war dein erster Tag auf dem Campus?"
16,Nachricht zu den Mädchen!,Senpai! Girls were all talking about you these days!,Senpai! Girls were all talking about you these days!,Senpai! Die Mädchen haben die Tage nur von dir geredet!
17,Nachricht zu den Mädchen!,Senpai! You and your girls are working better and better! Fight!,Senpai! You and your girls are working better and better! Fight!,"Senpai! Deine Mädchen und du haben enorme Fortschritte gemacht, kämpfe weiter!"
18,Nachricht zu den Mädchen!,Senpai! You are the chosen one who will help us defeat the demons!,Senpai! You are the chosen one who will help us defeat the demons!,Senpai! Mit deiner Hilfe können wir die Dämonen des Campus zurückdrängen!
19,Nachricht zu den Mädchen!,Senpai! Many girls are sending your letters! Come and see!,Senpai! Many girls are sending your letters! Come and see!,"Senpai! Viele Mädchen haben dir Nachrichten geschickt, komm schnell und schau nach!"
20,Cafeteriabestellung verfügbar!,Senpai! Cafeteriabestellung verfügbar!,Senpai! Cafeteriabestellung verfügbar!,"Senpai! Es scheint, dass du vergessen hast, dir was in der Cafeteria zu bestellen."
21,Gildenboss herausfordern!,Senpai! Gildenboss herausfordern! Come join the fight!,Senpai! Gildenboss herausfordern! Come join the fight!,"Senpai! Du hast noch nicht gegen den Gildenboss gekämpft, komm und kämpfe schnell!"
