id,name,react_right,react_wrong
1,Babel,"Gib Gas, Senpai! Du kannst bestimmt alle Aufgaben richtig erfüllen!","Na, wir sind der Lösung schon wieder einen Schritt nähergekommen!"
2,Ronja,"Verdammt...! Ich habe aber darauf gewettet, dass du eine falsche Antwort wählst! Ich habe gar kein Geld mehr für diesen Monat!",Falsche Antwort? Hahahaha verliere nicht deinen Mut! Was? Warum ich so froh bin? Nichts Wichtiges... Vergiss es...
3,Librarian,"Senpai, du bist wirklich sehr gelehrt! ich glaube du wirst micht schnell übertreffen.","Ich kann mich noch erinnern, dass die Spur für diese Aufgabe an einem Ort in der Akademie gefunden werden kann..."
4,Hottie,"Senpai, du gibst ja wirklich alles! Willst du so dringend mein Geschenk haben?","Schade! Warum hat Senpai es noch nicht bekommen... Eyy, macht nichts. Senpai hat sein Bestes gegeben."
5,Historia,Nur der Gewinner bestimmt das Ergebnis. Willst du alles verändern? Gewinne die Herausforderung!,Hörst du damit auf? Versteck deine Kraft doch nicht!
6,Anastasia,Sehr gut! Erhalte die Belohnungen von den Mädchen. Du verdienst sie!,"Deprimiert zu sein hilft nicht! Wenn du mich überholen willst, dann bereite dich schnell für die nächste Aufgabe vor!"
7,Apate,"Da hat jemand wohl richtig geraten. Aber egal, du bist noch weit hinter mir!",Willst du die Antwort wissen? Dann musst du darum betteln. Vielleicht verrate ich sie dir dann~
8,Esau&Jacob,"[c][125db3]Esau: [-][/c]Wow, Senpai, du hast mich fast eingeholt...\n[c][800d0d]Jakob: [-][/c]Auf geht's, Senpai!","[c][125db3]Esau: [-][/c]Wenn du es wirklich nicht weißt, dann kannst du mich fragen.\n[c][800d0d]Jakob: [-][/c]Eigentlich... Weiß sie es auch nicht."
9,Izanami,"Du weißt wirklich viel, Senpai. Kannst du mir vielleicht helfen, jemanden zu finden?",Emm... Dann muss ich wohl doch selbst suchen...
10,Lucifer,Dass du diese Frage beantworten konntest! Da haben wir wohl ein neues Talent entdeckt!,Ein Fehler? Das ist nur eine Ausrede für deine Unwissenheit.
11,Reika,"Einfach brillant, Senpai!","Du guckst wie ein Auto, Senpai."
12,Kratos,"Nicht jeder ist bereit, die Wahrheiten dieser Welt zu erforschen. Aber du scheinst schon bestens darauf vorbereitet zu sein.",Fehlt noch ein bisschen? Lass dich nicht entmutigen und bereite dich gut auf deine nächste Chance vor.
13,Pippi,"Beantworte schnell die anderen Fragen, dann können wir wieder spielen gehen!",Was? Schon wieder falsch? Ohh... Sollen wir die Frage vielleicht einfach überspringen?
14,Iron Fist,"Die Frage ist echt schwer... Darf ich vielleicht mal sehen, was du da geschrieben hast, Senpai?",Was... Nicht mal Senpai hat die richtige Antwort...
15,Skye,"Du bist so clever, da brauchst du gar nicht stolz auf dich sein, dass du eine so leichte Frage richtig hast, Senpai.","Jetzt schau mich nicht so an, Senpai... Ich weiß die richtige Antwort auch nicht."
16,Odanna,"Und weiter geht's! So lange, bis du mich eingeholt hast und ganz oben stehst!",Bleib stark! Es geht schließlich um deine Ehre!
17,Maska,"Wow, komm mal schnell her, Bruno! Senpai hat schon wieder eine Frage richtig!",Hmm... Soll ich vielleicht Bruno nach der richtigen Antwort fragen?
18,Turin,"Ich begebe mich in meinen Gedächtnispalast auf die Suche nach der richtigen Antwort... Was?! Du hast die Antwort schon, Senpai?",Soll ich dir die Antwort raussuchen? Ich bin extra für so etwas gebaut!
19,Yuri,"Super, Senpai! Hier ein kleiner, süßer Pilz als Belohnung für dich! Was? Nein, ich meine nicht mich!","Reg dich nicht auf. Setz dich her und trink eine Tasse Tee mit mir, das wird dir helfen."
20,Cassie,"Ok, als Belohnung darfst du einmal meine Ohren streicheln, aber nur EINMAL.",Machen wir eine Pause. Danach solltest du wieder fit sein!
21,Aquaris,"Oh... Dass du das richtig rätst... Ich dachte, ich hätte dich gut genug abgelenkt...","Senpai, bist du bereit für deine Strafe? Kitzelattacke!!"
