id,name,Skarivine,unknown_4,Einfacher Angriff,Cayla
201,[Normaler Topas I],填充,填充,填充,填充
202,Madam,填充,填充,填充,填充
301,[Normaler Amethyst I],填充,填充,填充,填充
302,[Normaler Amethyst II],填充,填充,填充,填充
401,[Primärer Amethyst I],填充,填充,填充,填充
402,[Primärer Amethyst II],Angriff von allen Verbündeten in den ersten 2 Runden um 3% erhöht,填充,填充,填充
501,[Mittlerer Amethyst I],填充,填充,填充,填充
502,[Mittlerer Amethyst II],Angriff von allen Verbündeten in den ersten 2 Runden um 4% erhöht,填充,填充,填充
601,[Fortgeschrittener Amethyst I],填充,填充,填充,填充
602,[Fortgeschrittener Amethyst II],Angriff von allen Verbündeten in den ersten 2 Runden um 5% erhöht,填充,填充,填充
701,[Normale Jade I],填充,填充,填充,填充
702,[Normale Jade II],填充,填充,填充,填充
703,[Normale Jade III],Angriff von allen Verbündeten in den ersten 3 Runden um 5% erhöht,填充,填充,填充
801,[Primäre Jade I],填充,Präzision und Block von allen Verbündeten in den ersten 3 Runden bzw. um 8% erhöht,填充,填充
802,[Primäre Jade II],Angriff von allen Verbündeten in den ersten 3 Runden um 6% erhöht,填充,填充,填充
901,[Mittlere Jade I],填充,Präzision und Block von allen Verbündeten in den ersten 3 Runden bzw. um 10% erhöht,填充,填充
902,[Mittlere Jade II],Angriff von allen Verbündeten in den ersten 3 Runden um 7% erhöht,填充,填充,填充
1001,[Fortgeschrittener Jade I],填充,Präzision und Block von allen Verbündeten in den ersten 3 Runden bzw. um 12% erhöht,填充,填充
1002,[Fortgeschrittener Jade II],Angriff von allen Verbündeten in den ersten 3 Runden um 8% erhöht,填充,填充,填充
1101,[Normaler Rubin I],填充,填充,填充,填充
1102,[Normaler Rubin II],Präzision und Block von allen Verbündeten in den ersten 4 Runden bzw. um 12% erhöht,填充,填充,填充
1103,[Normaler Rubin III],Angriff von allen Verbündeten in den ersten 4 Runden um 8% erhöht,填充,填充,填充
1201,[Primärer Rubin I],填充,Präzision und Block von allen Verbündeten in den ersten 4 Runden bzw. um 13% erhöht,填充,填充
1202,[Primärer Rubin II],Angriff von allen Verbündeten in den ersten 4 Runden um 9% erhöht,填充,填充,填充
1301,[Mittlerer Rubin I],填充,Präzision und Block von allen Verbündeten in den ersten 4 Runden bzw. um 14% erhöht,填充,填充
1302,[Mittlerer Rubin II],Angriff von allen Verbündeten in den ersten 4 Runden um 10% erhöht,填充,填充,填充
1401,[Fortgeschrittener Rubin I],填充,Präzision und Block von allen Verbündeten in den ersten 4 Runden bzw. um 15% erhöht,Angriff von allen Verbündeten in den ersten 4 Runden um 11% erhöht,填充
1501,[Ultimativ Ruby I],填充,Präzision und Block von allen Verbündeten in den ersten 4 Runden bzw. um 15% erhöht,Angriff von allen Verbündeten in den ersten 4 Runden um 12% erhöht,填充
1601,[Beschwörer],填充,Präzision und Block von allen Verbündeten in den ersten 5 Runden bzw. um 15% erhöht,Angriff von allen Verbündeten in den ersten 5 Runden um 12% erhöht,Heilung von HP von allen Gegnern in den ersten 5 Runden um 15% reduziert
1701,[Richter],填充,Präzision und Block von allen Verbündeten in den ersten 5 Runden bzw. um 15% erhöht,Angriff von allen Verbündeten in den ersten 5 Runden um 12% erhöht,Nach dem Beginn des Kampfs sind Verbündete der Front 2 Mal immun gegen Kontrolleffekt
1801,[Zerstörer],填充,Präzision und Block von allen Verbündeten in den ersten 5 Runden bzw. um 15% erhöht,Angriff von allen Verbündeten in den ersten 5 Runden um 12% erhöht,Verbündetes Energie Erholung bei Verletzung in den erstesn 5 Runden um 50% erhöht
1901,[Dominator],填充,Präzision und Block von allen Verbündeten in den ersten 5 Runden bzw. um 15% erhöht,Angriff von allen Verbündeten in den ersten 5 Runden um 12% erhöht,Fügt 2 zufälligen Gegnern der Backline zufällige Kontroeffekte in den ersten 2 Runden zu
