id,title,desc
1,Schimmern des Grauens,Schaden durch Standardangriffe erhöht sich um {1}%%.
2,Schwachstelle,Krit. Rate bei Standardangriffen erhöht sich um {1}%%.
3,Doppelschlag,"Es besteht eine {1}%%ige Wkt., einen weiteren Standardangriff durchzuführen."
4,Flammenschwert,"Erhaltene Energie sinkt um 50%%, Angriffswert erhöht sich um {1}%%."
5,Morgengrauen,Skill-Bonusschaden erhöht sich um {1}%%.
6,Heiligsprechung,Erhaltene Energie erhöht sich um {1}%%.
7,Energiekristall,"Setzt eines deiner Mädchen eine Fertigkeit ein, so erhalten alle deine Mädchen {1} Energie."
8,Kampfgeist,"Setzt eines deiner Mädchen eine Fertigkeit ein, so steigert sich der AW aller deiner Mädchen für 2 Runden um 5%%. Kann maximal {1}x gestapelt werden."
9,Energiekeks,"Energie, die dein Diener erhält, erhöht sich um {1}%%."
10,Jagdschrei,"Nachdem ein Diener eine Fertigkeit eingesetzt hat, erhöht sich der Schaden aller deiner Mädchen um {1}%% und die erhaltenen Schäden der Gegner um 5%% (für 2 Runden)."
11,Verteidigungspose,"Nachdem ein Diener eine Fertigkeit eingesetzt hat, erhöht sich die Schadensreduzierung aller Schäden, die Blockade und die Kontrollimmunität aller deiner Mädchen um je {1}%% (für 2 Runden)."
12,Harter Kern,Die Stufe des kostbaren Kerns deines Dieners erhöht sich um {1}.
13,Dominoeffekt,"Wird einem Ziel ein Effekt mit kontinuierlichem Schaden auferlegt, so erhält es den gleichen Effekt erneut (für {1} Runde(n))."
14,Wundschmerz,Kontinuierliche Schäden erhöhen sich um {1}%%.
15,Unbarmherzigkeit,"Der Gesamtschaden gegen Gegner, die unter Effekten mit kontinuierlichem Schaden leiden, erhöht sich um {1}%%."
16,Schwachstelle,"Nach einem Standardangriff fügt das Mädchen dem Ziel für jeden Effekt, der kontinuierlichen Schaden verursacht und der auf dem Ziel ist, einen zusätzlichen Schaden in Höhe von {1}%% ihres AW zu (max. 5x)."
17,Heilungskonverter,{1}%% der erhaltenen Heilung wird in einen Schutzwall umgewandelt.
18,Macht des Schildes,"Gesamtschaden deiner Mädchen erhöht sich um {1}%%, wenn sie einen Schutzwall um sich haben."
19,Notfallmedizin,"Je niedriger die HP, desto höher die Heilung. Für jeden Prozentpunkt, den die HP niedriger sind, steigt die Heilung um {1}%%."
20,Quelle des Lebens,"Das erste deiner Mädchen, das stirbt, wird in der darauffolgenden Runde wiederbelebt und erhält {1}%% ihrer HP. Kann nur 1x/Kampf ausgelöst werden."
21,Stahlkörper,HP erhöhen sich um {1}%%.
22,Rache,"Wird das Mädchen angegriffen, fügt sie dem Gegner einen Schaden in Höhe von 100%% ihres AW + {1}%% ihrer bereits verlorenen HP zu."
23,Amok,"Wird das Mädchen angegriffen, so erhöht sie ihren AW für 2 Runden um 5%%. Max. {1}x stapelbar."
24,Auge um Auge,"Je niedriger die HP, desto höher der AW. Für jeden Prozent, den die HP niedriger sind, steigt der AW um {1}%%."
