id,title,desc
1,Drachenpalast,
2,Die Eigentümerin,
3,Nachrichten von Hermes,
4,Bitte kauf etwas,
5,Kluge KongMing,
6,Die verdächtige Insel,
7,"""Fliegende"" Alberta",
8,Ein schwarzer Punkt,
9,Wo sind die Schätze?,
10,In der Tiefsee,
11,Nebengeschichte,
12,Sprich Finja an,"「Ups, seid nicht so frech.」 Ihr wurdet von Finjas kleinen Lieblingen gejagt und nass gespritzt. Es schien unmöglich, sie loszuwerden, ohne diese Wasserschlacht zu gewinnen."
13,Katze gefunden,"「Du möchtest die Katze streicheln, richtig? Gern geschehen.」Raenvya hielt die kleine, warme, weiche, pelzige Katze im Arm, deren Körper sich bei jedem Atemzug leicht hob und senkte."
14,Sprich Hermes an,"「Willkommen~ Wolltet ihr was kaufen? Wenn nicht, ist es auch okay. Viel Spaß am Strand, und die Geschenke sind für euch.」 Ihr traft Hermes, die auf einmal großzügig war, und bekamt ein paar neue Spielzeugen."
15,Sprich Fiona an,"「Wir arbeiten noch an dem Senf-Sojasaucen-Eis, bitte kommt später wieder! Ihr könnt zuerst ein normales probieren.」 Fiona begrüßte euch herzlich und gab jedem von euch ein leckeres, normales Eis."
16,Was macht Cupid,"Cupid schickte dauernd Liebeswellen ins Wasser, die einen riesigen Aufruhr unter den Fischen verursachten haben. Das Ökosystem des Ozeans könnte gestört werden, wenn das so weitergeht! Halte sie sofort auf---!"
17,Prometheas Tanz,"Der verbotene Tanz des gefallenen Engels zog die beiden in seinen Bann, und es dauerte lange, bis sie es merkten."
18,Sprich KongMing an,「Wolltet ihr weiter fischen? Ich leihe euch meine Angelrute.」Die Rute wurde euch direkt in die Hand gedrückt.
19,Draculas Komplott,"「Warum sind sie alle verschwunden? Sind die Blasen zu schwach? Ich muss sie ein wenig stärken...」Um des Weltfriedens willen habt ihr beschlossen, das Komplott der Blutkönigin ein weiteres Mal zu vereiteln."
20,Komische Skye,"「Hallo? Ich bin nicht komisch, okay? Wie auch immer, ihr zwei seid die Erwählten, also verwandelt euch in Magicgirls und vollbringt Wunder!」Es war in der Tat ziemlich albern, mit dem Gürtel und magischen Worten eine Transformation durchzuführen. Zum Glück konnte niemand anderer das sehen."
21,Elysias Modelle,"Ihr bekamt ein Doppelporträt. Raenvya bevorzugte eigentlich ein Foto als Andenken, weil das schneller würde. Aber niemand wagte es, Elysia das zu sagen. Diese süße und manchmal freche Malerin kann man nicht leicht ablehnen."
22,Sprich Alberta an,"「Noch einmal, lasst uns gemeinsam in den Himmel fliegen~」So sagte Alberta und zog die beiden an sich und vollführte eine wunderschöne Pirouette in der Luft."
23,Wo Priesterin gewesen war,"Mit eurer Hilfe kam Priesterin sicher zurück. Aber es scheint, dass sich viele schöne Fische noch hier versammelt haben, weil sie einen Hauch von ihr hinterlassen hat. Ihr habt die Szene bewundert."
