id,map_id,cell_type,name,desc,num
1,5,0,,,
2,5,0,,,
3,5,0,,,
4,5,0,,,
5,5,4,Haus 01,Löse verschiedene Ereignisse aus und triff deine Wahl~ Erhalte Belohnungen basierend auf den Ereignissen und deiner Wahl.,01
6,5,5,Haus 02,Bossherausforderung des prächtigen Herrenhauses. Beseitige deine Feinde und breche die Illusion der Märchenwelt!\nHauptlinie-Kampf: Erledige verschiedene Herausforderungen und steigere die Anzahl der erhaltenen Belohnungen.,02
7,5,0,,,
8,5,0,,,
9,5,0,,,
10,5,0,,,
11,5,0,,,
12,5,0,,,
13,5,0,,,
14,5,0,,,
15,5,3,Haus 03,"Wähle Mädchen, um an der Supportveranstaltung teilzunehmen und Belohnungen zu erhalten. Wenn du Mädchen wählst,「die Tieröhrchen haben」(Kostüme nicht enthalten), erhältst du noch reichere Belohnungen!\nHauptlinie-Kampf: Erledige verschiedene Herausforderungen und steigere die Anzahl der erhaltenen Belohnungen.",03
16,5,2,Haus 04,"Verwende deine eigenen Mädchen oder NPCs, um gegen den Feind zu kämpfen und Belohnungen zu erhalten. Je größer der zugefügte Schaden, desto reicher sind die Belohnungen.\nBesondere Herausforderung: Der durch die eigene Seite verursachte Dauerschaden wird um 80% reduziert.\nHauptlinie-Kampf: Erledige verschiedene Herausforderungen und steigere die Anzahl der erhaltenen Belohnungen.",04
17,5,4,Haus 05,Löse verschiedene Ereignisse aus und triff deine Wahl~ Erhalte Belohnungen basierend auf den Ereignissen und deiner Wahl.,05
18,5,0,,,
19,5,0,,,
20,5,0,,,
21,5,0,,,
22,5,4,Haus 06,Löse verschiedene Ereignisse aus und triff deine Wahl~ Erhalte Belohnungen basierend auf den Ereignissen und deiner Wahl.,06
23,5,2,Haus 07,"Verwende deine eigenen Mädchen oder NPCs, um gegen den Feind zu kämpfen und Belohnungen zu erhalten. Je größer der zugefügte Schaden, desto reicher sind die Belohnungen.\nBesondere Herausforderung: Die durch die eigene Seite verursachte Krit. wird um 80% reduziert.",07
24,5,2,Haus 08,"Verwende deine eigenen Mädchen oder NPCs, um gegen den Feind zu kämpfen und Belohnungen zu erhalten. Je größer der zugefügte Schaden, desto reicher sind die Belohnungen.\nBesondere Herausforderung: Keine.\nHauptlinie-Kampf: Löse verschiedene Ereignisse aus und triff deine Wahl~Erhalte Belohnungen basierend auf den Ereignisse und deiner Wahl.",08
25,5,0,,,
26,5,0,,,
