id,title,name,desc
510001,Prüfung der Schatten,Klagegeister,Schaden deiner Geister-Mädchen erhöht sich um 30%.
510002,Prüfung der Herrscher,Dominanz,Schaden deiner Menschen-Mädchen erhöht sich um 30%.
510003,Prüfung der Gezeiten,Seegang,Schaden deiner Monster-Mädchen erhöht sich um 30%.
510004,Prüfung des Geistes,Geistesblitz,Schaden deiner Feen-Mädchen erhöht sich um 30%.
510005,Prüfung der Dunkelheit,Schattenspiel,Schaden deiner Dämonen-Mädchen erhöht sich um 30%.
510006,Prüfung des Lichtes,Sternschauer,Schaden deiner Engel-Mädchen erhöht sich um 30%.
510007,Prüfung des Glanzes,Grelle Sonne,"Die HP deiner Kriegerinnen erhöhen sich um 20% und ihr Angriff um 0,5% ihrer max. HP."
510008,Prüfung der Zauber,Magische Wellen,Für jede Magierin im Team erhöht sich der Schaden aller Magierinnen um 6%.
510009,Prüfung des Waldes,Weisheit des Waldes,Krit. Rate deiner Ranger erhöht sich um 30%.
510010,Prüfung des Nebels,Nebelschleier,AW deiner Mörder erhöht sich um 60%.
510011,Prüfung der Hymnen,Heilige Klänge,"Solange eine Priesterin in deinem Team lebt, erhöht sich der Schaden aller deiner Mädchen um 30%."
520001,Prüfung der Schatten,Unaufhaltsam,"Erleidet der Gegner einen kritischen Treffer, so erhöht sich der Schaden hierdurch um 10% (hält für 2 Runden an; kann nicht gestapelt werden)."
520002,Prüfung der Herrscher,Rücksichtslos,Der erlittene und zugefügte Schaden deiner Mädchen in der Frontline erhöht sich um jeweils 30%.
520003,Prüfung der Gezeiten,Vollgas,"Greift ein Mädchen mehrere Gegner an, so wird der Schaden immer höher, je mehr Gegner sie angreift. Pro Gegner (ab dem 2. Gegner) steigt der Schaden um je 3%."
520004,Prüfung des Geistes,Gefahrenlage,Der Schaden gegen kontrollierte Mädchen (eigene und die des Gegners) steigt um 10%.
520005,Prüfung der Dunkelheit,Todeswille,"Jedes Mal, wenn ein Mädchen auf dem Kampffeld stirbt, so erhöht sich der AW aller Mädchen (eigene und die des Gegners) um 5%."
520006,Prüfung des Lichtes,Sternwächter,Die Schadensreduzierung aller Schäden aller Mädchen (eigene und die des Gegners) erhöht sich um 20%.
520007,Prüfung des Glanzes,Last Man Standing,"Je weniger Mädchen aus derselben Fraktion in deinem Team aufgestellt sind, desto mehr Schaden verursacht dein Team (max. 30% Steigerung)."
520008,Prüfung der Zauber,Finesse,Der Schadensbonus durch Fraktionsrivalitäten erhöht sich für alle Mädchen (eigene und die des Gegners) auf 60%.
520009,Prüfung des Waldes,Spurlos,"Alle Mädchen (eigene und die des Gegners) verursachen 30% weniger Schaden gegen Mädchen aus Fraktionen, gegen welche sie schwächer sind."
520010,Prüfung des Nebels,Versteckte Klinge,"Übersteigt bei einem deiner Mädchen die Krit. Rate 100%, so wird jeder Prozentpunkt, der über 100 hinausgeht, den kritischen Schaden um 5% erhöhen."
520011,Prüfung der Hymnen,Hochburg,Der erlittene und zugefügte Schaden deiner Mädchen in der Backline vermindert sich um jeweils 30%.
500000,Prüfung für Neulinge,Prüfung für Neulinge,Keine Effekte
500001,Prüfung für Neulinge,Prüfung für Neulinge,Keine Effekte
