id,name,charge,currency,show_name,charge_ios,charge_ios_new
1,Monatskarte,10.99,€,Monatskarte,11.99,11.99
2,Mini Monatskarte,2.29,€,Mini Monatskarte,2.49,2.49
3,Wochenkarte,1.09,€,Wochenkarte,1.19,1.19
4,250 Dias Paket,2.29,€,Dias Paket,2.49,2.49
5,500 Dias Paket,5.49,€,Dias Paket,5.99,5.99
6,1000 Dias Paket,10.99,€,Dias Paket,11.99,11.99
7,2500 Dias Paket,32.99,€,Dias Paket,35.99,35.99
8,5000 Dias Paket,54.99,€,Dias Paket,59.99,59.99
9,Lv.24 Paket,1.09,€,Lv.24 Paket,1.19,1.19
10,Lv.32 Paket,2.29,€,Lv.32 Paket,2.49,2.49
11,Lv.48 Paket,5.49,€,Lv.48 Paket,5.99,5.99
12,Lv.58 Paket,21.99,€,Lv.58 Paket,23.99,23.99
13,Lv.78 Paket,32.99,€,Lv.78 Paket,35.99,35.99
14,4-Sterne-Mädchen-Trainingspaket,2.29,€,4-Sterne-Mädchen-Trainingspaket,2.49,2.49
15,5-Sterne-Mädchen-Trainingspaket,5.49,€,5-Sterne-Mädchen-Trainingspaket,5.99,5.99
16,Monatspaket 1,2.29,€,Monatspaket,2.49,2.49
17,Monatspaket 2,5.49,€,Monatspaket,5.99,5.99
18,Monatspaket 3,21.99,€,Monatspaket,23.99,23.99
19,Monatspaket 4,32.99,€,Monatspaket,35.99,35.99
20,Monatspaket 5,54.99,€,Monatspaket,59.99,59.99
21,Monatspaket 6,54.99,€,Monatspaket,59.99,59.99
22,Wochenpaket 1,5.49,€,Wochenpaket,5.99,5.99
23,Wochenpaket 2,10.99,€,Wochenpaket,11.99,11.99
24,Wochenpaket 3,32.99,€,Wochenpaket,35.99,35.99
25,Wochenpaket 4,54.99,€,Wochenpaket,59.99,59.99
26,Superpaket 1,54.99,€,Superpaket,59.99,59.99
27,Superpaket 2,32.99,€,Superpaket,35.99,35.99
28,Superpaket 3,16.99,€,Superpaket,17.99,17.99
29,Superpaket 4,5.49,€,Superpaket,5.99,5.99
30,Superpaket 5,2.29,€,Superpaket,2.49,2.49
31,Superpaket 1,54.99,€,Superpaket,59.99,59.99
32,Superpaket 2,32.99,€,Superpaket,35.99,35.99
33,Superpaket 3,16.99,€,Superpaket,17.99,17.99
34,Superpaket 4,10.99,€,Superpaket,11.99,11.99
35,Gratis Auflade Paket,1.09,€,Gratis Auflade Paket,1.19,1.19
36,Superpaket 5,2.29,€,Superpaket,2.49,2.49
37,5-Sterne Paket,1.09,€,5-Sterne Paket,1.19,1.19
38,Abonnieren,0.99,€,Abonnement,0.99,0.99
39,Karte zum Frühlingsfest,5.49,€,Karte zum Frühlingsfest,5.99,5.99
40,Wöchentliches Abonnement,0.99,€,Wöchentliches Abonnement,0.99,0.99
41,Monatliches Abonnement,4.49,€,Monatliches Abonnement,3.99,3.99
42,Vierteljähriges Abonnement,10.49,€,Vierteljähriges Abonnement,10.49,10.49
43,Monatspaket 1,2.29,€,Monatspaket,2.49,2.49
44,Monatspaket 2,5.49,€,Monatspaket,5.99,5.99
45,Monatspaket 3,21.99,€,Monatspaket,23.99,23.99
46,Monatspaket 4,32.99,€,Monatspaket,35.99,35.99
47,Monatspaket 5,54.99,€,Monatspaket,59.99,59.99
48,Monatspaket 6,54.99,€,Monatspaket,59.99,59.99
49,Wochenpaket 1,5.49,€,Wochenpaket,5.99,5.99
50,Wochenpaket 2,10.99,€,Wochenpaket,11.99,11.99
51,Wochenpaket 3,32.99,€,Wochenpaket,35.99,35.99
52,Wochenpaket 4,54.99,€,Wochenpaket,59.99,59.99
53,Wöchentliches Abonnement,0.99,€,Wöchentliches Abonnement,0.99,0.99
54,Monatliches Abonnement,4.49,€,Monatliches Abonnement,3.99,3.99
55,Vierteljähriges Abonnement,10.49,€,Vierteljähriges Abonnement,10.49,10.49
56,Kostümpaket 1,2.29,€,Glückspaket,2.49,2.49
57,Glückspaket 1,2.29,€,Glückspaket,2.49,2.49
58,7-tägige kostenlose Testversion,0,€,7-tägige kostenlose Testversion,0,0
59,7-tägige kostenlose Testversion,0,€,7-tägige kostenlose Testversion,0,0
60,7-tägige kostenlose Testversion,0,€,7-tägige kostenlose Testversion,0,0
61,7-tägige kostenlose Testversion,0,€,7-tägige kostenlose Testversion,0,0
62,7-tägige kostenlose Testversion,0,€,7-tägige kostenlose Testversion,0,0
63,7-tägige kostenlose Testversion,0,€,7-tägige kostenlose Testversion,0,0
64,Rundenpaket,5.49,€,Rundenpaket,5.99,5.99
65,Glückspaket 2,32.99,€,Glückspaket,35.99,35.99
66,Ehering,10.99,€,Ehering,11.99,11.99
67,Wachstumspaket,5.49,€,Wachstumspaket,5.99,5.99
68,Superpaket 6,2.29,€,Superpaket,2.49,2.49
69,Superpaket 6,2.29,€,Superpaket,2.49,2.49
70,Entsperre Deluxe Bonus,10.99,€,Deluxe Bonus,11.99,11.99
71,Kostümpaket 2,32.99,€,Glückspaket,35.99,35.99
72,Grußkarte zum 4. Jubiläum,21.99,€,Grußkarte zum 4. Jubiläum,23.99,23.99
73,Weihnachtspaket,32.99,€,Weihnachtspaket,35.99,35.99
74,Studiumplan,5.49,€,Studiumplan,5.99,5.99
75,Eid Paket,21.99,€,Eid Paket,23.99,23.99
76,Premium Inhalte,5.49,€,Premium Inhalte,5.99,5.99
77,Weihnachtspaket,54.99,€,Weihnachtspaket,59.99,59.99
78,Superpaket 1,54.99,€,Superpaket,59.99,59.99
79,Superpaket 2,32.99,€,Superpaket,35.99,35.99
80,Superpaket 3,16.99,€,Superpaket,17.99,17.99
81,Superpaket 4,5.49,€,Superpaket,5.99,5.99
82,Superpaket 5,2.29,€,Superpaket,2.49,2.49
83,Superpaket 6,2.29,€,Superpaket,2.49,2.49
84,Glückspaket 1,2.29,€,Glückspaket,2.49,2.49
85,Glückspaket 2,54.99,€,Glückspaket,59.99,59.99
86,Gratis Aufladepaket,1.09,€,Gratis Aufladepaket,1.19,1.19
87,Wochenpaket 5,54.99,€,Wochenpaket,59.99,59.99
88,4000 Dias,54.99,€,Dias Paket,59.99,59.99
89,Monatspaket 7,54.99,€,Monatspaket,59.99,59.99
90,Wochenpaket 6,54.99,€,Wochenpaket,59.99,59.99
92,Tagespaket 1,1.09,€,Tagespaket,1.19,1.19
93,Tagespaket 2,1.09,€,Tagespaket,1.19,1.19
94,Tagespaket 3,2.29,€,Tagespaket,2.49,2.49
95,Tagespaket 4,2.29,€,Tagespaket,2.49,2.49
96,Tagespaket 5,2.29,€,Tagespaket,2.49,2.49
97,Tagespaket 6,2.29,€,Tagespaket,2.49,2.49
99,Tagespaket 1,1.09,€,Tagespaket,1.19,1.19
