id,name,title,text
1,Pann,Geheimnis,"
[c][f55090]Geboren: [-][/c]6ter Mai
[c][f55090]Sieht aus wie: [-][/c]14
[c][f55090]Mag nicht: [-][/c]Regenschirm & Heiligenschein
[c][f55090]Mag: [-][/c]Teufelsfrucht & Mini-Dino"
2,Pann,Verschleierung,Pann behält ihre Neutralität auf dem Campus und schließt sich keinem bestimmten Lager an. Dank ihrem niedlichen Aussehen und ihrer süßlichen Stimme fühlen sich die Menschen in ihrer Nähe unweigerlich zu ihr hingezogen. Sie ist besonders bei den älteren Studierenden beliebt und ist häufig Opfer spontaner Umarmungen. Sie kommt wirklich mit jedem zurecht!
3,Pann,Erinnerungen,"Schon bei dem ersten Ausbruch des Chaos hatte sich Pann infiziert. Aber sie ist klug genug, um ihre Mutation vor anderen zu verbergen. Nach dem ersten Stadium der Krankheit kamen immer wieder alte Erinnerungen in ihr hoch. Obwohl sie keine Ahnung hatte, wo die Erinnerungen herkamen, so wurde ihr dennoch schnell bewusst, dass sie die Kampftechniken und Strategien, die in ihren Erinnerungen auftauchten, von irgendwoher kannte. Schon bald stellte sie fest, dass sie diese Erinnerungen zu ihrem Vorteil nutzen konnte und so war sie anderen im Kampf häufig überlegen."
4,Pann,Warnung!,"Nachdem Pann gelernt hatte, ihre Erinnerungen und die darin auftauchenden Techniken und Strategien zu ihrem Vorteil zu nutzen, unterwarf sie unzählige Gegner und machte sie zu ihrem Spielzeug. Die meisten von ihren ""Spielzeugen"" hätten nie gedacht, dass hinter der kleinen, schwachen Pann ein solches Wesen steckt. Sie hatte nie die Absicht einen Abschluss an der Yume Akademie zu machen. Ihr einziges Ziel ist es, immer genug Spielzeug um sich herum zu haben. Deshalb: Im Umgang mit ihr ist Vorsicht geboten!"
5,Amazone,Geheimnis,"
[c][f55090]Geboren: [-][/c]21ter April
[c][f55090]Sieht aus wie: [-][/c]16
[c][f55090]Mag nicht: [-][/c]Schwarzen Tee & Schachfigur
[c][f55090]Mag: [-][/c]Schleuder & Kaktus"
6,Amazone,Charakter,"Amazone, ein Mitglied des Kyodo Clubs, trainiert jeden Tag das Bogenschießen und scheint sich für nichts anderes zu interessieren. Anstatt Probleme durch Diskussionen zu lösen, gibt sie ihrem Gegenüber meist einfach nur eine kurze Warnung. Sollte dies das Problem nicht lösen, so zögert sie nicht ihren Pfeil und Bogen einzusetzen."
7,Amazone,Frontenwechsel,"Am Anfang folgte Amazone Historia und trat der D.E.F. bei. Doch nach einem Zwischenfall erkannte sie Historias wahres Gesicht und wand sich von ihr und der D.E.F. ab. Kurz nachdem sie die D.E.F. verlassen hatte, erhielt sie eine Einladung von Joan und trat dem Disziplinarkomitee bei."
8,Amazone,Verdrängung?,"Amazone wurde aufgrund ihres schweigsamen Charakters im Disziplinarkomitee häufig an den Rand gedrängt. Vor jedem Kampf wurden ihr meist unwichtige Nebenaufgaben zugeteilt. Amazone möchte nicht, dass die anderen länger auf sie herabblicken, weshalb sie anfing noch fleißiger zu trainieren - vor allem ihre Schießkünste. Joan meint, dass wenn sie noch ein bisschen stärker werden würde, sie eine wichtige Rolle im Disziplinarkomitee spielen könne."
9,Hexa,Geheimnis,"
[c][f55090]Geboren: [-][/c]Unbekannt
[c][f55090]Sieht aus wie: [-][/c]16
[c][f55090]Mag nicht: [-][/c]Zaubertrank & Regenschirm
[c][f55090]Mag: [-][/c]SF Pistolen & SF Brille"
10,Hexa,Gerechtigkeit?,"Hexa ist ein mutiges Mädchen mit einem starken Bedürfniss nach Gerechtigkeit. Sie arbeitet gerne im Labor an wissenschaftlichen Forschungsprojekten. \nEinst war sie Mitglied des Disziplinarkomitee, wo sie allerdings nur ihre eigenen Vorstellungen von ""Gerechtigkeit"" umsetzte. Während eines Kampfes mit Historia, war Hexa so sehr von ihr beeindruckt, dass sie sich dazu entschloss in die D.E.F. zu wechseln."
11,Hexa,Artefakt,"
Es wird gesagt, dass Hexa in der Yume Akademie geboren wurde.
Sie weist eine unglaubliche mentale Stärke auf und sie wurde mit mystischem Wissen ausgestattet, das ihr allerdings nur bruchstückhaft übermittelt wurde.
Hexa stellte basierend auf diesem Wissen ihre eigenen Waffen her: Eine Ionen-Klinge und eine Pistole. Magische Waffen, die beide mit magischer Energie aufgeladen werden können.
Diese starken Waffen verursachen Nebenwirkungen bei Hexa. Doch nur Historia kennt diese Nebenwirkungen."
12,Hexa,Antworten,"Nach mehreren Kämpfen gegen vom Chaos Infizierte bemerkte Hexa, dass sie eine Fähigkeit entwickelt hatte, mit der sie die Zukunft vorhersehen konnte: ""Vorhersage"". Und obwohl ihr diese Kraft nur ermöglichte, eine Sekunde in die Zukunft zu blicken, so war sie dennoch einzigartig auf dem Campus. \nHexas Erinnerungen kommen Stück für Stück zurück, allerdings sind dies weiterhin äußerst mysteriöse Gedankenfetzen. Mehr und mehr interessiert sie sich für ihre eigene Vergangenheit und beginnt, ihren moralischen Kodex und ihren Sinn für Gerechtigkeit in Frage zu stellen. Entstanden diese aus freiem Willen und Denken oder wird einem so etwas von anderen Leuten ""eingetrichtert""?\nBis jetzt hat sie auf diese Frage noch keine Antwort."
13,Hottie,Geheimnis,"
[c][f55090]Geboren: [-][/c]31ten Januar
[c][f55090]Sieht aus wie: [-][/c]19
[c][f55090]Mag nicht: [-][/c]Schachfigur & Schal
[c][f55090]Mag: [-][/c]Band & Gänseblümchen-Haarnadel"
14,Hottie,Lehrer,"Alle Studierenden an der Yume Akademie kennen Hottie, denn sie ist eine der erfahrensten Studentinnen auf dem Campus.\nKeiner, auch sie nicht, weiß, warum sie noch keinen Abschluss gemacht hat. Sie scheint es sehr zu genießen, die neuen Studierenden anzuleiten und ihnen den Campus zu zeigen."
15,Hottie,Klassenraum,"Hottie liebt es, im Unterricht im Mittelpunkt zu stehen und genießt die Aufmerksamkeit, die die anderen Studierenden ihr und ihrem Körper schenken. Außerdem stellt sie gerne auf eine etwas neckende Art und Weise Fragen.\nWenn unartige Studierende jedoch nicht auf sie hören, wird sie plötzlich sehr streng und zieht ein unbekanntes Band unter ihrem Rock hervor, das als ""Band der Lust"" bezeichnet wird. Niemand kann diesem Band entkommen. Die Opfer können nur hilflos dabei zusehen, wie sie in die Dunkelheit gezogen werden, um eine ""Lektion"" erteilt zu bekommen."
16,Hottie,Situation,"Hottie glaubt, dass sie mit allen Gruppen auf dem Campus gut zurechtkommt. Viele der besten Studierenden auf dem Campus wurden einst von ihr unterrichtet. Doch erwähnt man in deren Anwesenheit ihren Namen, so tauchen eher Ausdrücke der Abneigung auf ihren Gesichtern auf. \nNach dem Ausbruch des Chaos versuchte Hottie, die Studierenden zu beschützen, doch ihre Bemühungen blieben erfolglos. Als die Zahl ihrer Studierenden immer geringer wurde, trat sie dem Kampf gegen das Chaos und die Infizierten bei, da sie ""einsam sei und niemand mehr zu ihrem Unterricht komme""."
17,Knospe,Geheimnis,"
[c][f55090]Geboren: [-][/c]17ter Juli
[c][f55090]Sieht aus wie: [-][/c]12
[c][f55090]Mag nicht: [-][/c]Mystische Rose & Werkzeug
[c][f55090]Mag: [-][/c]Ewiges Terrarium & Kaktus"
18,Knospe,Sonnenschein,"Knospe ist ein bekannter und angenehm sonniger Mensch. Aber sie besitzt auch furchterregende Kräfte, die eigentlich nicht zu ihrem Erscheinungsbild passen. \nSie ist Mitglied des Gartenvereins. Anfangs war die Leiterin des Vereins ein bisschen skeptisch gegenüber Knospe, doch als sie ihr Potenzial im Umgang mit den Pflanzen erkannte, hieß sie sie herzlich willkommen."
