id,fort_name,fort_name2,name,description,skill
1,Isabella·\nWeg der Ärzte,Isabella·Weg der Ärzte,Engel der Krankenstation,Isabella ist die einzige Ärztin der Yume Akademie. Sie ist verantwortlich für die Gesundheit aller Schüler und auch die Gesprächspartnerin dieser.\nEines Tages äußerte Isabella Senpai gegenüber einen Wunsch...,
2,Isabella·\nWeg der Ärzte,Isabella·Weg der Ärzte,Ein komischer Patient,"Die Arbeit auf der Krankenstation ist anstrengend und bereichernd. Schnell gewöhnt sich Senpai an die Arbeit dort.\nEigentlich dachte er, dass die Zeit als Praktikant auf der Krankenstation ohne Zwischenfälle vorübergehen würde. Doch eines Tages erschien plötzlich eine Schülerin mit einer merkwürdigen Krankheit auf der Station.",
3,Isabella·\nWeg der Ärzte,Isabella·\nWeg der Ärzte,Scharfe Kehrtwende,"Als die Krankheit sich stabilisierte, glaubten alle, das Schlimmste sei überstanden. Einige Tage später verschlechterte sich jedoch die Situation wieder...",
4,Isabella·\nWeg der Ärzte,Isabella·Weg der Ärzte,Untersuchung,"Um der Sache auf den Grund zu gehen, verließ Isabella seit langem zum ersten Mal wieder die Krankenstation und sah sich das Ganze selbst an.",
5,Isabella·\nWeg der Ärzte,Isabella·Weg der Ärzte,Hinweis,"Isabella ging zur Cafeteria und ließ sich von Sonya ihre Vermutung bestätigen. Um mehr herauszufinden, musste sie jedoch noch weitere Untersuchungen durchführen.",
6,Isabella·\nWeg der Ärzte,Isabella·Weg der Ärzte,Exkursion,"Nachdem Isabella sich gut vorbereitet hatte, ging sie in den Wald von Yume. Sie war schon lange nicht mehr hier gewesen und diesmal war das Gefühl auch ein anderes als beim letzten Mal.",
7,Isabella·\nWeg der Ärzte,Isabella·Weg der Ärzte,Die Güte der Ärztin,"Nach einer kurzen Zeit fand Isabella den Grund für die Infektion, doch in diesem Moment passiert etwas Unerwartetes...",
8,Isabella·\nWeg der Ärzte,Isabella·Weg der Ärzte,Kampf der Ärztin,"Isabella wich unaufhörlich den Angriffen ihres Gegners aus, aber macht keine Anstalten selber anzugreifen. Was ist wohl mit ""Kampf der Ärztin"" gemeint?",
9,Isabella·\nWeg der Ärzte,Isabella·Weg der Ärzte,Mission der Ärztin,Das wilde Tier fiel in einen tiefen Schlaf und der Kampf mit diesem war somit beendet. Aus der Sicht eines Arztes beginnt der wirkliche Kampf jedoch erst jetzt.,
10,Isabella·\nWeg der Ärzte,Isabella·Weg der Ärzte,Rückkehr zum Frieden,Die Krise war überwunden und die Schule kehrte wieder zu ihrem normalen Leben zurück. Auch die Arbeit als Praktikant auf der Krankenstation war damit beendet. Als Dankeschön hatte Isabella etwas für Senpai vorbereitet...,
11,Sensina·\nGöttin des Todes,Sensina·Göttin des Todes,Geboren in der Einöde,"Die Göttin des Todes ""Sensina"" wurde in der Einöde geboren. Anfangs kannte sie so etwas wie ""Gefühle"" überhaupt nicht und wollte einfach nur nach Lust und Laune ein paar Seelen auf dieser Welt jagen.",
12,Sensina·\nGöttin des Todes,Sensina·Göttin des Todes,Eine reifende Frucht,"Sensina streifte weiter ziellos umher, kämpfte mit Chaoskreaturen und holte sich, je nach Laune, ab und an ein paar Seelen. Eines Tages kam sie an einem kleinen Dorf vorbei und wollte sich dort gerade die Seele eines kleinen Mädchens holen. Doch aus irgendeinem Grund, den sie sich nicht erklären konnte, stoppte sie ihre erhobene Sichel im letzten Moment...",
13,Sensina·\nGöttin des Todes,Sensina·Göttin des Todes,Wiedertreffen,Die umherstreifende Sensina erblickte in einem ihr bekannten kleinen Dorf eine bekannte Gestalt...,
14,Sensina·\nGöttin des Todes,Sensina·Göttin des Todes,Eine Bindung?,"Sensina und das kleine Mädchen trafen sich erneut. Das Mädchen, obwohl es gerade ihren letzten liebenden Menschen verloren hatte, verzog kaum eine Miene. Die emotionale Bindung, die das Mädchen zu ihrer Familie hatte, weckten Interesse in Sensina, auch wenn sie es nicht verstehen konnte...",
15,Sensina·\nGöttin des Todes,Sensina·Göttin des Todes,Geborgenheit,"Auch weiterhin holte sich Sensina noch nicht die Seele des kleinen Mädchens. Sie ging nur ab und an zu ihr, um nach ihr zu schauen. Nach dem Mädchen zu schauen, das auf dieser Welt nun ganz allein war. Plötzlich mit den eigenen Gefühlen konfrontiert, vermutete Sensina, dass diese Geste nur wieder eine ihrer Launen war...",
16,Sensina·\nGöttin des Todes,Sensina·Göttin des Todes,Widersprüchliche Gefühle,Sensinas unerklärliche Gefühle zu dem Mädchen wurden von Tag zu Tag stärker.,"Die erhaltene Heilung desjenigen Mädchens, dem ein Runde-Zeichen zugefügt wurde, wird reduziert."
17,Sensina·\nGöttin des Todes,Sensina·Göttin des Todes,Innere Konflikte,"Das Mädchen erzählte Sensina von ihren Träumen und betitelte Sensina als ""mächtig und göttlich"", was Sensina ziemlich lustig fand.","Die erhaltene Heilung desjenigen Mädchens, dem ein Runde-Zeichen zugefügt wurde, wird reduziert.\nBeim Wiederbeleben fügt Sensina allen Gegnern 1 Runde-Zeichen zu."
18,Sensina·\nGöttin des Todes,Sensina·Göttin des Todes,Unmögliche Bindung,"Sensina wartete darauf, dass das Mädchen endlich erwachsen sein würde und ""die Frucht reif"". Dann könne sie endlich ihre Sichel erheben und das Werk vollenden. Doch dann geschah etwas Unerwartetes in dem kleinen Dorf...","Die erhaltene Heilung desjenigen Mädchens, dem ein Runde-Zeichen zugefügt wurde, wird reduziert.\nZu Beginn des Kampfs wird 2 zufälligen Verbündeten 1 Runde-Zeichen zugefügt.\nBeim Wiederbeleben fügt Sensina allen Gegnern 1 Runde-Zeichen zu."
19,Sensina·Göttin des Todes,Sensina·Göttin des Todes,Herz der Menschen,"Der Moment, auf den sie so lange gewartet hatte, war nun endlich da. Doch als Sensina ihre Sichel mit einem merkwürdigen Gefühl empor hob, um das Werk zu vollenden, zögerte sie plötzlich. Und genau in diesem Moment empfand die Göttin des Todes zum ersten Mal ""Emotionen"".","Die erhaltene Heilung desjenigen Mädchens, dem ein Runde-Zeichen zugefügt wurde, wird reduziert, während der erlittene Schaden erhöht wird.\nZu Beginn des Kampf wird 3 zufälligen Verbündeten 1 Runde-Zeichen zugefügt.\nBeim Wiederbeleben fügt Sensina allen Gegnern 1 Runde-Zeichen zu."
20,Sensina·\nGöttin des Todes,Sensina·Göttin des Todes,Yume Akademie?,"Auf einer seiner Exkursionen gerät Senpai in einen Kampf mit einem Chaos-Monster und wird von Sensina gerettet. Sensina äußerte Interesse daran, Senpai zu folgen...","Wenn das Runde-Zeichen ausgelöst wird, wird der entsprechende Effekt zwei Mal ausgelöst.\nWenn Sensina nicht als letztes Mädchen des eigenen Teams stirbt, wird sie sich garantiert wiederbeleben.\nBeim Wiederbeleben fügt Sensina allen Gegnern 1 Runde-Zeichen zu."
21,Glimmer·\nRostige Klinge,Glimmer·Rostige Klinge,Das Geheimnis der Tonfiguren,"Aquaris bemerkte, dass ihre Schwertmeisterin auf irgendeine Art und Weise besessen war von Tonfiguren. Was steckt da nur dahinter?",
22,Glimmer·\nRostige Klinge,Glimmer·Rostige Klinge,Kampf mit Illusionen,"Während eines Trainings hat Aquaris plötzlich einen Flashback und erinnert sich an ein schlimmes Ereignis aus der Vergangenheit. Die Frage, wer sie aus dieser Situation rettete, beschäftigt sie schon lange.",
23,Glimmer·\nRostige Klinge,Glimmer·Rostige Klinge,Glimmers Vergangenheit,Warum möchte sich Glimmer nicht zurückerinnern?,
24,Glimmer·\nRostige Klinge,Glimmer·Rostige Klinge,Lilaner Albtraum,Wer trägt die Schuld an dem Verderben in Glimmers Heimatdorf?,
25,Glimmer·\nRostige Klinge,Glimmer·Rostige Klinge,Zerbrochene Figur,Das Geheimnis der Puppen wird gelüftet...,
26,Glimmer·\nRostige Klinge,Glimmer·Rostige Klinge,Glaubensfragen,"Was wird aus der legendären Schwertmeisterin, nachdem sie ihr Schwert abgelegt hat...",
27,Glimmer·\nRostige Klinge,Glimmer·Rostige Klinge,Aquaris Vergangenheit,"Warum hat sich Aquaris entschieden, mit dem Schwerttraining anzufangen und die nächste große Schwertmeisterin zu werden?",
28,Glimmer·\nRostige Klinge,Glimmer·Rostige Klinge,Licht am Abgrund,Welche Verbindung gibt es zwischen Aquaris Retter und Glimmer...?,
29,Glimmer·\nRostige Klinge,Glimmer·Rostige Klinge,Vergessene Taten,Hat Glimmer etwas übersehen?,
30,Glimmer·\nRostige Klinge,Glimmer·Rostige Klinge,Das Erbe des Schwertes,"Das Erbe des Schwertes wurde weitergereicht... Denn wenn eine das Schwert ablegt, dann wird es eine andere aufnehmen...",
31,Monica·\nWesen des Menschen,Monica·Wesen des Menschen,Die Pflanzenflüsterin,Monica trifft zum ersten Mal Knospe. Was sie wohl von ihr halten wird?,
32,Monica·\nWesen des Menschen,Monica·Wesen des Menschen,Dumme Intelligenz?,Kann Intelligenz auch als Dummheit getarnt sein?,
33,Monica·\nWesen des Menschen,Monica·Wesen des Menschen,Die Wissenschaftlerin,Vielleicht kann der Geist einer Wissenschaftlerin die Antworten bringen…,
34,Monica·\nWesen des Menschen,Monica·Wesen des Menschen,"""Begierdehormone""?",Alles nur wegen der Hormone?,
35,Monica·\nWesen des Menschen,Monica·Wesen des Menschen,Zeitreisen vs. Sterndeutung,Wer kann die Zukunft besser vorhersagen?,
36,Monica·\nWesen des Menschen,Monica·Wesen des Menschen,Kampf der Worte,Wer gewinnt den Kampf der Worte?,
37,Monica·\nWesen des Menschen,Monica·Wesen des Menschen,Dumme Intelligenz!,Was kann ein weiser Mann von den Worten eines Dummen lernen?,
38,Monica·\nWesen des Menschen,Monica·Wesen des Menschen,Erwarteter Kampf,Der unausweichliche Kampf beginnt erneut...,"Erhöht in der ersten Kampfrunde den Angriff aller Gegner um 100%. Stirbt eine Verbündete in den ersten 3 Runden, erleiden alle anderen Verbündeten einen Schaden in Höhe von 20% ihrer eigenen max. HP."
39,Monica·\nWesen des Menschen,Monica·Wesen des Menschen,Unausweichliches Gesetz,Folgen wir alle einem unausweichlichen Gesetz der Natur?,"Wenn die HP eines Mädchens am Ende der Runde unter 50% liegt, bekommt sie 50% ihrer eigenen max. HP zurück. (Maximal 3 Mal aktivierbar, ""Heilungsfluch"" wird ignoriert.)"
40,Monica·\nWesen des Menschen,Monica·Wesen des Menschen,Leben im Chaos,"Lerne, auch das Unkontrollierbare zu akzeptieren...","Erleidet ein Mädchen zum ersten Mal einen tödlichen Schaden und überlebt, bekommt sie 20% ihrer eigenen max. HP zurück. Ihr Angriff wird um 100% erhöht, Schadensreduzierung aller Schäden um 30% und Krit. Rate um 100%."
