id,desc,mask_icon,icon_offset,mask_icon_h5,icon_offset_h5
1,歡迎學長「回到」[c][d76500]幽夢學園[-][/c]！\n\n今天是入學的第一天，快跟我來逛逛學園吧！,,,,
2,那麼，接下來就由我帶著學長一步一步地熟悉校園喔~,,,,
3,這裡這裡~\n學長[c][d76500]主線冒險[-][/c]在這裡~,buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
4,哎呀，有一只狗狗招惹了蜜蜂。\n學長，我們先去拯救狗狗吧~,buttoncrop_26_h5,0|0,,
5,,buttoncrop_6,0|0,,
6,,buttoncrop_5,0|0,,
7,我們看看校園其他地方吧，這是[c][d76500]扭蛋[-][/c]的入口,buttoncrop_1,0|0,,
8,[c][d76500]普通扭蛋[-][/c]可以獲得大部分的戰姬喔~\n（1-5星）\n不過需要消耗[c][d76500]普通扭蛋幣[-][/c]呢！,,,,
9,正好免費喔~\n學長試一試吧~,buttoncrop_4,0|0,,
10,,,,,
11,[c][d76500]高級扭蛋[-][/c]可以獲得更[c][d76500]高品質[-][/c]戰姬喔~\n（3-5星）\n需要消耗[c][d76500]鑽石[-][/c]或[c][d76500]高級扭蛋幣[-][/c]喔~,,,,
12,看~這次高級扭蛋也免費,buttoncrop_6,0|0,,
13,,,,,
14,,buttoncrop_1,0|0,,
15,好啦~學長已經熟悉抽取戰姬了，接下來就一起去[c][d76500]冒險[-][/c]吧~,,,,
16,這裡這裡~\n學長，我们回到[c][d76500]主線冒險[-][/c]~,buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
17,哇！[c][d76500]戰鬥事件[-][/c]觸發啦！\n學長我們去看看吧！,buttoncrop_17,0|0,,
18,首先~學長要選擇出戰的戰姬喔~,buttoncrop_3,0|0,,
19,,buttoncrop_3,0|0,,
20,準備好啦~\n那我們就開始戰鬥吧~,buttoncrop_5,0|0,,
21,每個戰姬都有自己的[c][d76500]陣營[-][/c]喔~\n不同陣營之間的戰姬有互相對應的[c][d76500]剋制關係[-][/c]！\n點擊左下角按鈕就可查看詳情啦~,,,,
22,,friend_team_boss_crop5,0|0,,
23,,,,,
24,,,,,
25,嘿嘿，獲得了戰姬碎片啦\n快來戰姬介面裡[c][d76500]合成[-][/c]戰姬囉~,buttoncrop_1,0|0,,
26,學長，[c][d76500]碎片合成[-][/c]的入口在這裡啦~,buttoncrop_38,0|2,,
27,碎片足夠就可以召喚戰姬喔\n點擊戰姬頭像吧~,,,,
28,,,,,
29,,,,,
30,,,,,
31,啊~戰姬還需要變得更強喔,buttoncrop_1,0|0,,
32,來~點擊[c][d76500]校園[-][/c]按鈕,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
33,學長來看看[c][d76500]轉學[-][/c]功能吧~,buttoncrop_9,0|-1,,
34,戰姬轉學後可以獲得[c][d76500]經驗飲料[-][/c]，飲料可是戰姬升級的重要材料呢~,,,,
35,來選擇要轉學的戰姬吧！,buttoncrop_3,0|0,,
36,,buttoncrop_19,0|0,,
37,,,,,
38,好啦~\n我們現在去[c][d76500]升級[-][/c]戰姬吧~,buttoncrop_1,0|0,,
39,,buttoncrop_10,0|0,,
40,經驗飲料夠了之後\n要點這裡升級戰姬喔~,,,,
41,哇，再升一級~,,,,
42,學長真聰明！\n我們再來一次吧！,,,,
43,升級後戰姬更厲害了喔！讓我們試最後一次吧~,,,,
44,接著給戰姬穿上[c][d76500]裝備[-][/c]吧~,buttoncrop_11,0|0,,
45,點擊武器圖示，選擇一個武器吧~,buttoncrop_12,0|0,,
46,,,,,
47,,,,,
48,哇，真厲害！\n戰姬又變得更強大了呢！,,,,
49,,buttoncrop_13,0|0,,
