id,desc,answer_desc,result_desc
1,"줄곧 머리를 숙이고 자신의 그림자를 밟고 놀았으나, 이미 허저가 관리하는 작은 화원에 들어간 것은 눈치채지 못했습니다. 허저에게 혼난 뒤 식물 씨앗을 받았습니다.",,
2,"초선은 학생들이 최근 시험에 모두 합격했다는 것을 알고 매우 기뻤고, 마침 교실 입구에서 지나가는 당신을 보고 선물을 주었습니다.",,
3,"장합과 조조는 누가 먼저 캡슐 머신의 새 상품을 뽑을지를 시합했으나, 결국 한참 동안 아무도 받지 못했습니다.",,
4,"이사우에게서 선물을 받고 즐거워 뜯어보려 할 때에, 이사우가 한마디 했는데, 당신이 그 선물을 동생인 야곱에게 전달했으면 좋겠고 절대 몰래 뜯지 말라고 했습니다.",,
5,도서관의 책상 위에 펼쳐진 책이 놓여져 있다는 것을 발견했습니다. 누가 다 읽지 않고 여기에 놔둔 것일거에요.,이 책을 조식에게 준다.|바닐라에게 준다.,"이 책은 조식이 보고 둔 책은 아니지만, 자신을 가장 먼저 떠올렸다는 것에 기뻐합니다.|이 책이 바로 바닐라가 다 못 읽은 동화책이었기 때문에 책을 어디에 두었는지를 떠올리려던 참이었던 그녀는 매우 기뻐합니다~"
6,길가 공터에 떨어진 파란색 뼈 모양 비스킷 한 조각을 발견했습니다. 주위에는 아무도 없네요.,주워서 재빨리 먹어치운다.|무시하고 지나간다.,꼬리가 아주 큰 고양이가 한 쪽 덤불에서 나와서 발을 움켜잡습니다. 아마도 먹이를 뺏어갔기 때문인 것 같네요.|막 몇 걸음을 걸어가고 뒤돌아 보았을 때 그 떡이 없어진 것을 발견했습니다.
7,"목욕을 마쳤는데, 드라이기가 고장나서 머리를 말리지 못했습니다.",젖은 머리로 숙소에 돌아옵니다.|문 앞에 앉아 머리가 저절로 마르기를 기다립니다.,"막 목욕탕을 나서는데 정면으로 마주쳤는데, 누군가와 바로 정면으로 부딪쳤고 급히 그녀에게 드라이기를 빌려 머리를 말렸습니다.|목욕탕 입구에 앉아 잠이 들었고, 머리카락이 젖은 채로 오랫동안 찬바람을 쐬어 감기가 걸렸습니다."
8,"학원 안에는 벚꽃이 피었고, 바람이 불어 많은 꽃잎이 땅에 흩어져 있습니다.",바닥의 꽃잎을 모두 깨끗이 치운다.|학원의 아름다운 경치를 조용히 감상한다.,반쯤 치웠는데 바람이 불어 치웠던 꽃잎들이 여기저기로 다시 흩어졌습니다.|벚꽃 나무 아래에 오랫동안 서 있다가 아주 중요한 아르바이트를 놓치고 말았습니다.
9,"상점가는 사람들이 많이 오고가는데, 사람들 사이를 걷다가 한 쌍의 하얀 날개가 마주 오는 것을 보았습니다.",손을 내밀어 깃털을 만진다.|한 쪽 옆으로 비킨다.,"날개의 주인은 놀라며, 마치 무의식적인 힘을 쓴 것 같이 당신의 손은 화상을 입었습니다.|방통은 이미  길을 잘못 들었고 당신을 발견해 기뻤습니다. 그녀를 마음에 드는 가게로 데리고 가라고 졸랐고, 보수로 깃털 하나를 주었습니다."
10,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
11,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
12,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
13,장비가 당신을 초대해 그녀가 만든 새로운 음식을 시식했는데 한 입 먹고 바로 쓰러졌습니다. 깨어보니 그 새로운 요리는 자주 잠에 들지 못하는 소수의 후배들을 위해 특별히 개발된 것이었다는 것을 알게 되었습니다.,,
