id,desc,mask_icon,icon_offset,mask_icon_h5,icon_offset_h5
1,"선배님, [c][d76500]유몽학원[-][/c]에 돌아오신 것을 환영합니다!\n\n오늘은 입학 첫 날입니다. 제가 학원을 안내해 드릴테니 같이 둘러보시죠!",,,,
2,"자, 그럼 학원 투어 시작합니다~",,,,
3,"선배님, 여길 봐주세요. 여기는 [c][d76500]캡슐 뽑기[-][/c] 입구랍니다.",buttoncrop_1,0|0,,
4,[c][d76500]일반 캡슐 뽑기[-][/c]에서도 대부분의 소녀들을 획득할 수 있습니다! \n(1성-5성)\n하지만 [c][d76500]일반 캡슐 코인[-][/c]이 필요하답니다!,,,,
5,마침 지금은 무료이군요!\n한번 해보세요 선배~,buttoncrop_4,0|0,,
6,,,,,
7,[c][d76500]프리미엄 캡슐 뽑기 코인[-][/c]을 사용하여 [c][d76500]희귀[-][/c] 소녀를 획득해보세요!\n(3-5성)\n[c][d76500]다이아[-][/c] 혹은 [c][d76500]프리미엄 캡슐 코인[-][/c]이 필요하답니다~,,,,
8,어라? 지금 프리미엄 캡슐 뽑기도 무료에요~,buttoncrop_6,0|0,,
9,,,,,
10,,buttoncrop_1,0|0,,
11,좋아요. 이제 소녀를 획득하는 방법을 아시겠죠~ 그럼 본격적으로 [c][d76500]모험[-][/c]을 해볼까요~,,,,
12,"여기에요 여기~\n선배, [c][d76500]메인 스토리[-][/c]는 여기랍니다~",buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
13,"와! [c][d76500]전투 미션[-][/c]이 시작된 것 같아요! \n어서 보러가요, 선배!",buttoncrop_17,0|0,,
14,먼저 출전할 소녀를 선택하세요~,buttoncrop_3,0|0,,
15,,buttoncrop_3,0|0,,
16,"준비 완료!\n자, 그럼 전투를 시작합니다~",buttoncrop_5,0|0,,
17,소녀들은 모두 각자의 [c][d76500]소속 진영[-][/c]이 있습니다.\n각 진영마다 각 소녀와의 [c][d76500]전투 궁합[-][/c]이 있습니다.\n자세한 정보는 왼쪽 하단 버튼을 클릭하여 확인해 주세요!,,,,
18,,buttoncrop_18,0|0,,
19,,,,,
20,,,,,
21,"헤헤, 선배, 소녀의 조각을 획득하신 것 같군요.\n가방을 열어 소녀를 [c][d76500]합성[-][/c]해봅시다!",buttoncrop_1,0|0,,
22,"선배, [c][d76500]조각 합성[-][/c] 입구는 여기에요~",buttoncrop_11,0|2,,
23,충분한 조각을 모으면 소녀를 소환할 수 있습니다!\n소녀 아이콘을 클릭해 보세요~,,,,
24,,,,,
25,,,,,
26,,,,,
27,앗 소녀들을 더 강화 해야겠어요!,buttoncrop_1,0|0,,
28,여기 [c][d76500]학원[-][/c]을 클릭해 주세요!,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
29,"선배, [c][d76500]전학[-][/c] 기능도 확인해 볼까요?",buttoncrop_9,0|-1,,
30,소녀를 전학시키면 [c][d76500]경험치 드링크[-][/c]를 받을 수 있습니다. 이 드링크는 소녀의 레벨을 올려주는 중요한 재료입니다~,,,,
31,전학 보낼 소녀를 선택해 보세요.,buttoncrop_3,0|0,,
32,,buttoncrop_19,0|0,,
33,,,,,
34,좋았어~\n빨리 소녀를 [c][d76500]레벨업[-][/c] 시켜 봅시다~,buttoncrop_1,0|0,,
35,,buttoncrop_10,0|0,,
36,경험치 드링크가 쌓이면\n여기를 클릭하고 소녀를 레벨업 해주세요.,,,,
37,"와우, 한 번 더~",,,,
38,역시 선배님!\n한 번 더 해봐요!,,,,
39,"와우 업그레이드로 소녀가 강해진 것 같아요! 자, 마지막 한 번!",,,,
40,그리고 소녀에게 [c][d76500]장비[-][/c]를 장착해 봅시다~,buttoncrop_11,0|0,,
41,무기 버튼을 탭하여 무기를 고르세요.,buttoncrop_12,0|0,,
42,,,,,
43,,,,,
44,와~ 대단해요!\n소녀가 매우 강해졌어요!,,,,
45,,buttoncrop_13,0|0,,
46,,buttoncrop_1,0|0,,
