id,name,react_right,react_wrong
1,육손,"파이팅! 선배님, 꼭 모든 문제를 다 맞힐 수 있을 거예요!","음! 선배, 거의 다왔어요!"
2,용마,쳇! 이런! 틀릴거라고 배팅했는데! 내 한 달 식비! 윽윽!,"틀렸어요? 하하하, 낙심하지 마요. 왜 이렇게 좋아하냐고요? ㅋㅋㅋ 신경 쓰지마요, 신경 쓰지마요......"
3,조식,선배님 많이 알고 계시네요. 곧 저보다도 더 잘하겠는데요.,이 문제는 학원에서 힌트를 찾을 수 있는 곳이 있었는데......
4,초선,선배님은 정말 열심히 하고 계시네요. 제가 준비한 선물을 받고 싶은 거예요?,아까워! 선배 아직 못 가졌네...... 아니야. 서두를 필요 없어. 선배가 충분히 노력했으니까.
5,조조,"승자만이 옳고 그름을 결정할 수 있어요. 이 모든 것을 바꾸고 싶다면, 최후의 승리를 거두세요!",설마 여기서 끝나는 건 아니겠지? 실력을 숨기지 마세요!
6,은월,정답! 소녀들이 준비한 보상을 받아줘!,우울해하지 말고 나를 뛰어넘고 싶으면 다음에 더 잘 준비해서 도전해.
7,아파테,우연히 맞혔어? 나를 뛰어넘기엔 아직 멀었어!,정답을 알고 싶어? 부탁해봐! 답을 알려줄지도~
8,이사우&야곱,"[c][125db3]이사우:[-][/c] 와, 선배 곧 우리를 따라잡겠는데? 다른 방법을 빨리 생각해봐야겠어……\n[c][800d0d]야곱:[-][/c] 선배 홧팅!","[c][125db3]이사우:[-][/c] 정 모르겠다면, 부탁해봐~\n[c][800d0d]야곱:[-][/c] 사실 언니도 못해요."
9,이자나미,아는 게 참 많으시네요. 선배~ 사람 한 명 찾아주실 수 있을까요?,"이왕 이렇게 된 거, 저 혼자 찾으러 갈게요……"
10,루시퍼,"답을 찾을 수 있다니, 학원에 인재가 나타났군.",실수? 무식함을 위한 핑계일 뿐.
11,곽가,"선배, 너무 눈부셔요……",선배님 표정 마치 유령 같아요.
12,여포,"모든 사람이 세상의 진리를 탐구할 자격이 있는 것은 아니다. 하지만, 당신은 이미 준비가 된 것 같군.",아직 멀었어? 포기하지 말고 다음 기회를 위해서 준비하자.
13,피피로,빨리 대답하고 피피로 데리고 놀러 가요!,에? 틀렸어요? 차라리 피피로한테 문제 좀 고쳐달라고 해요!
14,위연,"어렵네...... 선배, 저 답안 좀 보여주면 안 돼요?",흑...선배도 몰라요?
15,스카이,"역시 선배, 이런 문제 맞치는 거에 대해 별로 자랑할게 없다니까!","선배, 절 괴롭히지 말아요. 아무리 쳐다봐도 정답을 알려 드릴 수 없어요."
16,노부나가,"정답을 많이 맞히세요, 저를 초과하여 더 높은 곳에 오를 수 있도록!",정신 차리고 마지막까지 파이팅 합시다!
17,황월영,"우아! 브루노, 선배님이 한문제 더 맞췄어!",이 문제... 브루노한테 물어볼까요?
18,튜린,검색 중...... 정답 검색까지 3초 걸림! 엥? 선배 벌써 마치셨어요?,정답 검색해드릴까요? 전 이 시스템 개발자 이거든요!
19,전풍,"선배님, 짱이에요! 귀여운 버섯을 선물로 드릴게요!",너무 서두르지 마시고 저랑 같이 티타임 가지러 가요.
20,캐시,보너스로 귀를 만지게 해드릴게요.,휴식을 잠시 취하고 다시 파이팅 하세요!
21,여몽,"흑흑, 선배님이 맞히셨다니! 내 간섭이 소용이 없었군!",ㅎㅎ! 선배님 간지럼 벌칙 받을 준비되셨나요?
22,미슬토,바람 타고 들려오는 소리를 들리시나요? 숲이 축하의 메시지를 담고 찾아 왔어요.,"제 선물, 아직 드리지 못했는데……"
23,제갈량,"선배님, 저 게으름 피우지 않았어요, 어서 보상을 수령하세요~",선배님 실력이 아직 많이 부족하네요. 선배님만의 스터디 프로그램을 만들어 드릴게요.
24,크리스,크리스탈로 변장하여 선물 상자에 숨으려고 했는데…… 아잇~ 들켰네!,크리스탈의 힘을 살짝 빌려 선배님을 돕는다면 잡히지 않겠죠?
25,방통,"오답입니다! 앗, 내가 정답을 잘 못 기억하고 있었네, 죄송~ 보상 드릴게요.","휴, 아깝네요. 힌트 하나 드릴까요?"
26,수경,보상이 우유푸딩인가요? 저 한 입만 주시면 안 될까요?,힘내요! 계속 틀리면 초콜릿 케이크밖에 없어요!
27,후예,속도 굿! 항아가 간식을 들고 우리를 기다리고 있어요~,스스로 문제를 맞히셔야 해요! 저는 도와주지 않을 거예요!
28,가브리엘,"와우! 문제를 전부 맞히셨다니, 유몽 뉴스에 올려드릴 거예요!","쉿~ 미카엘이 없는 틈을 타 선배님, 얼른 답을 좀 훔쳐보세요~"
29,화타,어떤 보상을 갖고 싶어? 내 허그 어때?,어젯밤에 잠을 설쳤다고? 이 누나의 마비산을 한번 시도해 볼래? 좋은 꿈 꾸게 해줄게~
30,미카엘,정답! 내 노트가 드디어 빛을 발했어!,"이 문제는 어제 빌려준 노트에 있는 문제이에요! 선배님, 곰곰이 생각해 봐요!"
