id,desc,skill_name
101001,출전한 은신 학부 소녀의 공격력 2% 증가.,은신
101002,출전한 은신 학부 소녀의 공격력 4% 증가.,은신
101003,출전한 은신 학부 소녀의 공격력 7% 증가.,은신
101004,출전한 은신 학부 소녀의 공격력 10% 증가.,은신
101005,출전한 은신 학부 소녀의 공격력 15% 증가.,은신
101006,출전한 신위 학부 소녀의 공격력 2% 증가.,신위
101007,출전한 신위 학부 소녀의 공격력 4% 증가.,신위
101008,출전한 신위 학부 소녀의 공격력 7% 증가.,신위
101009,출전한 신위 학부 소녀의 공격력 10% 증가.,신위
101010,출전한 신위 학부 소녀의 공격력 15% 증가.,신위
101011,출전한 풍견 학부 소녀의 공격력 2% 증가.,풍견
101012,출전한 풍견 학부 소녀의 공격력 4% 증가.,풍견
101013,출전한 풍견 학부 소녀의 공격력 7% 증가.,풍견
101014,출전한 풍견 학부 소녀의 공격력 10% 증가.,풍견
101015,출전한 풍견 학부 소녀의 공격력 15% 증가.,풍견
101016,출전한 담화 학부 소녀의 공격력 2% 증가.,담화
101017,출전한 담화 학부 소녀의 공격력 4% 증가.,담화
101018,출전한 담화 학부 소녀의 공격력 7% 증가.,담화
101019,출전한 담화 학부 소녀의 공격력 10% 증가.,담화
101020,출전한 담화 학부 소녀의 공격력 15% 증가.,담화
101021,출전한 수라 학부 소녀의 공격력 2% 증가.,수라
101022,출전한 수라 학부 소녀의 공격력 4% 증가.,수라
101023,출전한 수라 학부 소녀의 공격력 7% 증가.,수라
101024,출전한 수라 학부 소녀의 공격력 10% 증가.,수라
101025,출전한 수라 학부 소녀의 공격력 15% 증가.,수라
101026,출전한 진성 학부 소녀의 공격력 2% 증가.,진성
101027,출전한 진성 학부 소녀의 공격력 4% 증가.,진성
101028,출전한 진성 학부 소녀의 공격력 7% 증가.,진성
101029,출전한 진성 학부 소녀의 공격력 10% 증가.,진성
101030,출전한 진성 학부 소녀의 공격력 15% 증가.,진성
101031,출전한 소녀의 공격력 1% 증가.,공격
101032,출전한 소녀의 공격력 2% 증가.,공격
101033,출전한 소녀의 공격력 3% 증가.,공격
101034,출전한 소녀의 공격력 5% 증가.,공격
101035,출전한 소녀의 HP 1% 증가.,HP
