id,desc,mask_icon,icon_offset,mask_icon_h5,icon_offset_h5
1,"선배님, [c][d76500]유몽학원[-][/c]에 돌아오신 것을 환영합니다!\n\n오늘은 입학 첫 날입니다. 제가 학원을 안내해 드릴테니 같이 둘러보시죠!",,,,
2,"자, 그럼 학원 투어 시작합니다~",,,,
3,"여기에요 여기~\n선배, [c][d76500]메인 스토리[-][/c]는 여기랍니다~",buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
4,어머. 강아지 한 마리가 꿀벌들의 공격을 받고 있네요.\n선배님~ 어서 저랑 같이 강아지를 구하러 가요~,buttoncrop_26_h5,0|0,,
5,,buttoncrop_6,0|0,,
6,,buttoncrop_5,0|0,,
7,"선배님, 여길 봐주세요. 여기는 [c][d76500]캡슐 뽑기[-][/c] 입구랍니다.",buttoncrop_1,0|0,,
8,[c][d76500]일반 캡슐 뽑기[-][/c]에서도 대부분의 소녀들을 획득할 수 있습니다! \n(1성-5성)\n하지만 [c][d76500]일반 캡슐 코인[-][/c]이 필요하답니다!,,,,
9,마침 지금은 무료이군요!\n한번 해보세요. 선배님~,buttoncrop_4,0|0,,
10,,,,,
11,[c][d76500]프리미엄 캡슐 뽑기 코인[-][/c]을 사용하여 [c][d76500]희귀[-][/c] 소녀를 획득해보세요!\n(3-5성)\n[c][d76500]다이아[-][/c] 혹은 [c][d76500]프리미엄 캡슐 코인[-][/c]이 필요하답니다~,,,,
12,어라? 지금 프리미엄 캡슐 뽑기도 무료에요~,buttoncrop_6,0|0,,
13,,,,,
14,,buttoncrop_1,0|0,,
15,좋아요. 이제 소녀를 획득하는 방법을 아시겠죠~ 그럼 본격적으로 [c][d76500]모험[-][/c]을 해볼까요~,,,,
16,"여기에요 여기~\n선배, [c][d76500]메인 스토리[-][/c]는 여기랍니다~",buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
17,"와! [c][d76500]전투 미션[-][/c]이 시작된 것 같아요! \n어서 보러가요, 선배!",buttoncrop_17,0|0,,
18,먼저 출전할 소녀를 선택하세요~,buttoncrop_3,0|0,,
19,,buttoncrop_3,0|0,,
20,"준비 완료!\n자, 그럼 전투를 시작합니다~",buttoncrop_5,0|0,,
21,소녀들은 모두 각자의 [c][d76500]소속 진영[-][/c]이 있습니다.\n각 진영마다 각 소녀와의 [c][d76500]전투 궁합[-][/c]이 있습니다.\n자세한 정보는 왼쪽 하단 버튼을 클릭하여 확인해 주세요!,,,,
22,,friend_team_boss_crop5,0|0,,
23,,,,,
24,,,,,
25,"헤헤, 선배, 소녀의 조각을 획득하신 것 같군요. \n소녀 페이지에서 소녀를[c][d76500]합성[-][/c] 해봅시다!",buttoncrop_1,0|0,,
26,"선배, [c][d76500]조각 합성[-][/c] 입구는 여기에요~",buttoncrop_38,0|2,,
27,충분한 조각을 모으면 소녀를 소환할 수 있습니다!\n소녀 아이콘을 클릭해 보세요~,,,,
28,,,,,
29,,,,,
30,,,,,
31,앗 소녀들을 더 강화 해야겠어요!,buttoncrop_1,0|0,,
32,여기 [c][d76500]학원[-][/c]을 클릭해 주세요!,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
33,"선배, [c][d76500]전학[-][/c] 기능도 확인해 볼까요?",buttoncrop_9,0|-1,,
34,소녀를 전학시키면 [c][d76500]경험치 드링크[-][/c]를 받을 수 있습니다. 이 드링크는 소녀의 레벨을 올려주는 중요한 재료입니다~,,,,
35,전학 보낼 소녀를 선택해 보세요.,buttoncrop_3,0|0,,
36,,buttoncrop_19,0|0,,
37,,,,,
38,좋았어~\n빨리 소녀를 [c][d76500]레벨업[-][/c] 시켜 봅시다~,buttoncrop_1,0|0,,
39,,buttoncrop_10,0|0,,
40,경험치 드링크가 쌓이면\n여기를 클릭하고 소녀를 레벨업 해주세요.,,,,
41,"와우, 한 번 더~",,,,
42,역시 선배님!\n한 번 더 해봐요!,,,,
43,"와우 업그레이드로 소녀가 강해진 것 같아요! 자, 마지막 한 번!",,,,
