id,map_id,cell_type,name,desc,num
1,5,0,,,
2,5,0,,,
3,5,0,,,
4,5,0,,,
5,5,4,저택01,"서로 다른 사건을 촉발하고, 선택을 하세요~ 사건과 선택 결과에 따라 아이템을 획득할 수 있습니다.",01
6,5,5,저택02,"훌륭한 저택 보스의 도전, 최선을 다해 적을 물리치고, 환상 동화을 깨자!\n메인 스토리: 이 칸의 챌린지를 하면, 획득할 수 있는 아이템 보상이 증가됩니다!",02
7,5,0,,,
8,5,0,,,
9,5,0,,,
10,5,0,,,
11,5,0,,,
12,5,0,,,
13,5,0,,,
14,5,0,,,
15,5,3,저택03,"소녀를 선택해 지원 챌린지에 참여하여, 아이템 보상을 받을 수 있습니다. ‘여우 귀를 가진 소녀’를 선택하여 챌린지에 참가하면, 더 많은 보상을 받을 수 있습니다!\n메인 스토리: 이 칸의 챌린지를 하면, 획득할 수 있는 아이템 보상이 증가됩니다!",03
16,5,2,저택04,"자신의 소녀 또는 협력NPC로 적들과 싸우면, 아이템 보상을 획득할 수 있고, 가하는 대미지가 높을 수록, 보상이 더욱 푸짐해집니다.\n특별 챌린지: 아군이 적에게 가한 지속 대미지는 80% 낮아집니다.\n메인 스토리: 이 칸의 챌린지를 하면, 획득할 수 있는 아이템 보상이 증가됩니다!",04
17,5,4,저택05,"서로 다른 사건을 촉발하고, 선택을 하세요~ 사건과 선택 결과에 따라 아이템을 획득할 수 있습니다.",05
18,5,0,,,
19,5,0,,,
20,5,0,,,
21,5,0,,,
22,5,4,저택06,"서로 다른 사건을 촉발하고, 선택을 하세요~ 사건과 선택 결과에 따라 아이템을 획득할 수 있습니다.",06
23,5,2,저택07,"자신의 소녀 또는 협력NPC로 적들과 싸우면, 아이템 보상을 획득할 수 있고, 가하는 대미지가 높을 수록, 보상이 더욱 푸짐해집니다.\n특별 챌린지: 아군 소녀가 치명타 공격 시, 해당 공격의 대미지는 80% 낮아집니다.",07
24,5,2,저택08,"자신의 소녀 또는 협력NPC로 적들과 싸우면, 아이템 보상을 획득할 수 있고, 가하는 대미지가 높을 수록, 보상이 더욱 푸짐해집니다.\n특별 챌린지: 없음\n메인 스토리: 이 칸의 챌린지를 하면, 획득할 수 있는 아이템 보상이 증가됩니다.",08
25,5,0,,,
26,5,0,,,
