id,event_name,desc
1,일일 사건·축복,"전투 챌린지 중, 아군 수라, 진성 학부 소녀의 공격 18% 증가"
2,일일 사건·축복,"전투 챌린지 중, 아군 수라, 진성 학부 소녀의 공격 18% 증가"
3,일일 사건·축복,"전투 챌린지 중, 아군 수라, 진성 학부 소녀의 공격 18% 증가"
4,일일 사건·축복,"전투 챌린지 중, 아군 수라, 진성 학부 소녀의 공격 18% 증가"
5,일일 사건·축복,"전투 챌린지 중, 아군 수라, 진성 학부 소녀의 공격 18% 증가"
6,일일 사건·축복,"전투 챌린지 중, 아군 수라, 진성 학부 소녀의 공격 18% 증가"
7,일일 사건·축복,"전투 챌린지 중, 아군 은신 학부 소녀의 공격 18% 증가"
8,일일 사건·축복,"전투 챌린지 중, 아군 은신 학부 소녀의 공격 18% 증가"
9,일일 사건·축복,"전투 챌린지 중, 아군 은신 학부 소녀의 공격 18% 증가"
10,일일 사건·축복,"전투 챌린지 중, 아군 은신 학부 소녀의 공격 18% 증가"
11,일일 사건·축복,"전투 챌린지 중, 아군 은신 학부 소녀의 공격 18% 증가"
12,일일 사건·축복,"전투 챌린지 중, 아군 수라, 진성 학부 소녀의 공격 18% 증가"
13,일일 사건·축복|일일 사건·천이,"전투 챌린지 중, 아군 신위 학부 소녀의 공격 18% 증가|지도칸 '숲08' 챌린지 자동 완료"
14,일일 사건·축복|일일 사건·천이,"전투 챌린지 중, 아군 신위 학부 소녀의 공격 18% 증가|지도칸 '성02' 챌린지 자동 완료"
15,일일 사건·축복|일일 사건·천이,"전투 챌린지 중, 아군 신위 학부 소녀의 공격 18% 증가|지도칸 '마을45' 챌린지 자동 완료"
16,일일 사건·축복|일일 사건·천이,"전투 챌린지 중, 아군 신위 학부 소녀의 공격 18% 증가|지도칸 '호수24' 챌린지 자동 완료"
17,일일 사건·축복|일일 사건·천이,"전투 챌린지 중, 아군 신위 학부 소녀의 공격 18% 증가|지도칸 '저택47' 챌린지 자동 완료"
18,일일 사건·축복,"전투 챌린지 중, 아군 수라, 진성 학부 소녀의 공격 18% 증가"
19,일일 사건·축복|일일 사건·천이,"전투 챌린지 중, 아군 풍견 학부 소녀의 공격 18% 증가|지도칸 '숲03' 챌린지 자동 완료"
20,일일 사건·축복|일일 사건·천이,"전투 챌린지 중, 아군 풍견 학부 소녀의 공격 18% 증가|지도칸 '성05' 챌린지 자동 완료"
21,일일 사건·축복|일일 사건·천이,"전투 챌린지 중, 아군 풍견 학부 소녀의 공격 18% 증가|지도칸 '마을52' 챌린지 자동 완료"
22,일일 사건·축복|일일 사건·천이,"전투 챌린지 중, 아군 풍견 학부 소녀의 공격 18% 증가|지도칸 '호수25' 챌린지 자동 완료"
23,일일 사건·축복|일일 사건·천이,"전투 챌린지 중, 아군 풍견 학부 소녀의 공격 18% 증가|지도칸 '저택05' 챌린지 자동 완료"
24,일일 사건·축복,"전투 챌린지 중, 아군 은신 학부 소녀의 공격 18% 증가"
25,일일 사건·축복|일일 사건·축복,"전투 챌린지 중, 아군 담화 학부 소녀의 공격 18% 증가|전투 챌린지 중, 아군 소녀의 체력 18% 증가"
26,일일 사건·축복|일일 사건·축복,"전투 챌린지 중, 아군 담화 학부 소녀의 공격 18% 증가|전투 챌린지 중, 아군 소녀의 체력 18% 증가"
27,일일 사건·축복|일일 사건·축복,"전투 챌린지 중, 아군 담화 학부 소녀의 공격 18% 증가|전투 챌린지 중, 아군 소녀의 체력 18% 증가"
28,일일 사건·축복|일일 사건·축복,"전투 챌린지 중, 아군 담화 학부 소녀의 공격 18% 증가|전투 챌린지 중, 아군 소녀의 체력 18% 증가"
29,일일 사건·축복|일일 사건·축복,"전투 챌린지 중, 아군 담화 학부 소녀의 공격 18% 증가|전투 챌린지 중, 아군 소녀의 체력 18% 증가"
30,일일 사건·축복,"전투 챌린지 중, 아군 신위 학부 소녀의 공격 18% 증가"
31,일일 사건·축복|일일 사건·축복,"전투 챌린지 중, 아군 수라, 진성 학부 소녀의 공격 18% 증가|전투 챌린지 중, 아군 소녀의 체력 18% 증가"
32,일일 사건·축복|일일 사건·축복,"전투 챌린지 중, 아군 수라, 진성 학부 소녀의 공격 18% 증가|전투 챌린지 중, 아군 소녀의 체력 18% 증가"
33,일일 사건·축복|일일 사건·축복,"전투 챌린지 중, 아군 수라, 진성 학부 소녀의 공격 18% 증가|전투 챌린지 중, 아군 소녀의 체력 18% 증가"
34,일일 사건·축복|일일 사건·축복,"전투 챌린지 중, 아군 수라, 진성 학부 소녀의 공격 18% 증가|전투 챌린지 중, 아군 소녀의 체력 18% 증가"
35,일일 사건·축복|일일 사건·축복,"전투 챌린지 중, 아군 수라, 진성 학부 소녀의 공격 18% 증가|전투 챌린지 중, 아군 소녀의 체력 18% 증가"
36,일일 사건·축복,"전투 챌린지 중, 아군 풍견 학부 소녀의 공격 18% 증가"
37,일일 사건·축복|일일 사건·축복,"전투 챌린지 중, 아군 은신 학부 소녀의 공격 18% 증가|전투 챌린지 중, 아군 소녀의 체력 18% 증가"
38,일일 사건·축복|일일 사건·축복,"전투 챌린지 중, 아군 은신 학부 소녀의 공격 18% 증가|전투 챌린지 중, 아군 소녀의 체력 18% 증가"
39,일일 사건·축복|일일 사건·축복,"전투 챌린지 중, 아군 은신 학부 소녀의 공격 18% 증가|전투 챌린지 중, 아군 소녀의 체력 18% 증가"
40,일일 사건·축복|일일 사건·축복,"전투 챌린지 중, 아군 은신 학부 소녀의 공격 18% 증가|전투 챌린지 중, 아군 소녀의 체력 18% 증가"
41,일일 사건·축복|일일 사건·축복,"전투 챌린지 중, 아군 은신 학부 소녀의 공격 18% 증가|전투 챌린지 중, 아군 소녀의 체력 18% 증가"
42,일일 사건·축복,"전투 챌린지 중, 아군 담화 학부 소녀의 공격 18% 증가"
43,일일 사건·축복|일일 사건·축복,"전투 챌린지 중, 아군 신위 학부 소녀의 공격 18% 증가|전투 챌린지 중, 아군 소녀의 체력 18% 증가"
44,일일 사건·축복|일일 사건·축복,"전투 챌린지 중, 아군 신위 학부 소녀의 공격 18% 증가|전투 챌린지 중, 아군 소녀의 체력 18% 증가"
45,일일 사건·축복|일일 사건·축복,"전투 챌린지 중, 아군 신위 학부 소녀의 공격 18% 증가|전투 챌린지 중, 아군 소녀의 체력 18% 증가"
46,일일 사건·축복|일일 사건·축복,"전투 챌린지 중, 아군 신위 학부 소녀의 공격 18% 증가|전투 챌린지 중, 아군 소녀의 체력 18% 증가"
47,일일 사건·축복|일일 사건·축복,"전투 챌린지 중, 아군 신위 학부 소녀의 공격 18% 증가|전투 챌린지 중, 아군 소녀의 체력 18% 증가"
48,일일 사건·축복,"전투 챌린지 중, 아군 수라, 진성 학부 소녀의 공격 18% 증가"
49,일일 사건·회상|일일 사건·축복,"지도칸 '숲58'의 챌린지 진도 리셋|전투 챌린지 중, 아군 풍견 학부 소녀의 공격 18% 증가"
50,일일 사건·회상|일일 사건·축복,"지도칸 '성48'의 챌린지 진도 리셋|전투 챌린지 중, 아군 풍견 학부 소녀의 공격 18% 증가"
51,일일 사건·회상|일일 사건·축복,"지도칸 '마을13'의 챌린지 진도 리셋|전투 챌린지 중, 아군 풍견 학부 소녀의 공격 18% 증가"
52,일일 사건·회상|일일 사건·축복,"지도칸 '호수19'의 챌린지 진도 리셋|전투 챌린지 중, 아군 풍견 학부 소녀의 공격 18% 증가"
53,일일 사건·회상|일일 사건·축복,"지도칸 '저택42'의 챌린지 진도 리셋|전투 챌린지 중, 아군 풍견 학부 소녀의 공격 18% 증가"
54,일일 사건·축복,"전투 챌린지 중, 아군 은신 학부 소녀의 공격 18% 증가"
