id,fort_id,name,tips_dialog
1,1,,
2,1,,
3,1,입학식,"선배, 시간 잘 확인하세요. 입학식이 곧 시작됩니다~"
4,1,신입생 환영회,"선배님, 조심하세요!|저 때문이에요…… 다친 곳은 없으세요?"
5,1,신위 학부,"선배, 테스트라니… 그게 뭐에요?"
6,1,풍견 학부,"위연씨, 선배는 풍견 학부를 추천하는 것 같아요~|그래요, 선배? 풍견 학부 시험 장소는 이 앞인가요?"
7,1,진성 학부,엄청 기다렸다구~  풍견 학부에서 무슨일 있는줄 알았어…
8,1,담화 학부의 정령,다음은 제갈량 선배가 담당하는 학부 테스트 장소인가요?
9,1,수라 학부의 검은 날개 천사,"에, 수라 학부는…… 좀 무섭네요……|하하, 괜찮아, 위연. 루시퍼씨는 꽤 괜찮은 사람이야~"
10,1,은신 학부,뱀파이어? 아까 수라 학부랑 똑같은데요...
11,1,저녁 식사,"선배님, 오늘 하루 수고하셨어요~ 같이 저녁 먹으러 가요~"
12,1,의외의 소동,"선배?! 선배?! 거기 학생, 무슨 문제라도 있어?"
13,2,여자 기숙사,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
14,2,지각,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
15,2,야끼소바 빵,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
16,2,우정! 열정! 승리!,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
17,2,엉터리 문학부,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
18,2,다도,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
19,2,학생회,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
20,2,샤이닝 밴드,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
21,2,이변,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
22,2,루시퍼,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
23,3,선도위원회,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
24,3,조사,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
25,3,현장으로 복귀,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
26,3,카오스 증후군,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
27,3,핏빛 달,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
28,3,심야의 왕,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
29,3,위험,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
30,3,저항 불가능,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
31,3,떨어진 날개,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
32,3,카오스의 심화,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
33,4,유몽,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
34,4,불꽃놀이 소녀,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
35,4,작은 소망,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
36,4,스트리트 대작전,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
37,4,Defender,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
38,4,아름다운 밤하늘,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
39,4,졸업,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
40,4,이상한 사진,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
41,4,빛과 어둠,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
42,4,DEF 진영,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
43,5,재능 연습,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
44,5,도망치는 것은 부끄러운 일이고 전혀 도움이 되지 않아.,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
45,5,교란자,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
46,5,사전 테스트,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
47,5,도전자,"학원 안에 무슨 일이 있었던 것 같아요, 선배 우리도 가 봅시다!"
