id,name,buff1,buff2,buff3,buff4
20001,벚꽃 풍경,기초 속성 HP+3%,기초 속성 HP+6%,,사역마가 부여하는 치료 효과 20% 증가
30001,고양이 풍경,기초 속성 공격력+2%,기초 속성 공격력+4%,,사역마가 가하는 대미지 20% 증가
40001,유령 풍경,기초 속성이 은신 학부 소녀에게 부여하는 버프 효과 50% 증가,돌파력+10%,,돌파력+20%
40002,광명 풍경,기초 속성이 신위 학부 소녀에게 부여하는 버프 효과 50% 증가,가드+10%,,가드+20%
40003,자유 풍경,기초 속성이 풍견 학부 소녀에게 부여하는 버프 효과 50% 증가,기초 속성 공격력+3%,,기초 속성 공격력+6%
40004,지혜 풍경,기초 속성이 담화 학부 소녀에게 부여하는 버프 효과 50% 증가,기초 속성 HP+4%,,기초 속성 HP+8%
50001,심야 풍경,기초 속성이 수라 학부 소녀에게 부여하는 버프 효과 50% 증가,스킬 대미지+20%,스킬 대미지+40%,기초 속성 공격력+6%\n수라 학부 소녀 1명 출전 시마다 출전팀 내 모든 소녀의 대미지 1% 증가
50002,여명 풍경,기초 속성이 진성 학부 소녀에게 부여하는 버프 효과 50% 증가,신성 대미지+6%,신성 대미지+12%,기초 속성 HP+8%\n진성 학부 소녀 1명 출전 시마다 출전팀 내 모든 소녀의 받은 모든 대미지 감소 1% 증가
50003,별빛 풍경,기초 속성이 천이 학부 소녀에게 부여하는 버프 효과 50% 증가,모든 대미지 증가+3%,모든 대미지 증가+6%,기초 속성-공격+8%\n천이 학부 소녀 1명 출전 시마다 천이 학부의 추가 후광 효과 3% 증가
60001,물 속의 달 풍경,받은 모든 대미지 감소 10% 증가.,기초 속성 HP+6%,기초 속성 HP+12%,"기초 속성 HP+12%\n전투 시작 시, 아군 소녀가 받은 모든 대미지 10% 감소."
