name,translation
STAGE_NAME,스테이지 {1}-{2}
BIG_MAP,맵
YES,네
NO,아니요
GET,획득
GET2,수령
TEAM,팀
AWARD,전리품
EQUIP,장비
ITEM,아이템
DEBRIS,조각
ARTIFACT,혼기
NOW_NONE,{1} 없음
NOT_SELL,판매 불가
BATTLE_FORMATION_WIN,소녀 출전
FRONT_ROW,앞줄
BACK_ROW,뒷줄
ARTIFACT_ATTR_LIMIT,속성 조건：{1}
GET_WAYS,획득 방법：
FORT_NAME_1,사라의 담화
FORT_NAME_2,달빛 섬
FORT_NAME_3,공포의 땅
FORT_NAME_4,크로미의 광산
FORT_NAME_5,망각의 빙산
FORT_NAME_6,하이델베르크
FORT_NAME_7,작열의 땅
FORT_NAME_8,지고천
FORT_NAME_9,사라의 담화
FORT_NAME_10,달빛 섬
FORT_NAME_11,공포의 땅
FORT_NAME_12,크로미의 광산
FORT_NAME_13,망각의 빙산
FORT_NAME_14,하이델베르크
FORT_NAME_15,작열의 땅
FORT_NAME_16,지고천
FORT_NAME_17,신목의 숲
FORT_NAME_18,망령의 요새
FORT_NAME_19,사라의 담화
FORT_NAME_20,달빛 섬
FORT_NAME_21,공포의 땅
FORT_NAME_22,크로미의 광산
FORT_NAME_23,망각의 빙산
FORT_NAME_24,하이델베르크
FORT_NAME_25,작열의 땅
FORT_NAME_26,지고천
FORT_NAME_27,신목의 숲
FORT_NAME_28,망령의 요새
FORT_NAME_29,태고의 유적
FORT_NAME_30,은신 학부
FORT_NAME_31,사라의 담화
FORT_NAME_32,달빛 섬
FORT_NAME_33,공포의 땅
FORT_NAME_34,크로미의 광산
FORT_NAME_35,망각의 빙산
FORT_NAME_36,하이델베르크
FORT_NAME_37,작열의 땅
FORT_NAME_38,지고천
FORT_NAME_39,신목의 숲
FORT_NAME_40,망령의 요새
FORT_NAME_41,태고의 유적
FORT_NAME_42,은신 학부
PARTNER_DETAIL_TIPS,"잘 들어, 숫자에만 너무 집착하다간 큰 코 다친다고!"
GRADE,랭크
LEV_UP,업그레이드
AWAKE,각성
JOB_1,전사
JOB_2,법사
JOB_3,레인저
JOB_4,어쌔신
JOB_5,목사
STAGE_RES,스테이지 산출
STAGE_ITEM,스테이지 드롭
STAGE_RES_NUM,+{1}/5s
STAGE_HANG,자동 전투
ATK,공격력
HP,체력 증가
ARM,방어력
ATKP,공격력
HPP,체력 증가
ARMP,방어력
SPD,속도
ENERGY,에너지
HIT,정밀
MISS,가드
CRIT,치명타
TRUEATK,신성 대미지
BRK,돌파
CRITTIME,치명타 대미지
FREE,면역력
SKLP,스킬 대미지
DECDMG,대미지 감소
CAMPAIGN_HANG_ITEM_WINDOW,드롭 보상
TIPS,참고
TOP_LEV_UP,최대 레벨
COMPOSE_EQUIP,장비 합성
COMPOSE_EQUIP_NO_MANA,골드가 부족하기 때문에 합성할 수 없습니다.
COMPOSE_EQUIP_NUM_0,합성 장비 수를 선택해 주세요.
POWER,전투력
DAY,{1}일
HOUR,{1}시간
MINUTE,{1}분
SECOND,{1}초
CONFIRM,확인
EQUIP_STRENGTHEN,장비 합성
PARTNER,소녀
SUMMON,소환
SELF,아군
ENEMY,적
DAMAGE,대미지
HEAL,회복
FAIL_ADVICE,아래의 방법으로 강해질 수 있습니다.
PUB_MISSION_FULL_HERO,미션에 필요한 소녀들이 가득 찼습니다!
BATTLE_TIPS_TITLE,학부 궁합
CAMPAIGN_WINDOW_HELP,"1. 메인 퀘스트의 각 영역은 여러 스테이지로 구성되어 있으며 쉬움 단계를 클리어 하면, 다음 난이도가 해제 됩니다.| 2. 새로운 단계에 들어서면 전투를 시작할 수 있으며 승리하면 보상을 받을 수 있습니다.| 3. 전투를 클리어 하면, 다음 스테이지를 해제할 수 있습니다.| 4. 자동 모드의 지속 시간은 12시간입니다. 12시간을 넘으면 보너스를 획득할 수 없게 됩니다.| 5. 자동 모드에서는 플레이어 경험치, 경험치 드링크, 골드가 드롭됩니다. 스테이지의 난이도가 높을수록, 드롭량도 많아집니다.| 6. 자동 모드에서는 일정 확률로 장비 또는 소녀의 조각이 드롭됩니다."
CAMPAIGN_HANG_FORMATION_WINDOW,자동모드 라인업
SHENXUE_SELECT_WINDOW,소녀를 고르세요
NO_PARTNER,이 소녀를 소지하고 있지 않습니다.
PUB_SPEED_MISSION_1,"다이아가 부족하여, 가속할 수 없습니다!"
PUB_SPEED_MISSION_2,다이아 {1}개를 사용하여 이 미션을 완성하시겠습니까?
COMPOSE_EQUIP_NO_MATERIAL,장비 재료가 부족합니다!
CAMPAIGN_REQUIRE,조건
CAMPAIGN_REQUIRE_1,플레이어 레벨{1} 이상
CAMPAIGN_REQUIRE_2,자동 모드 팀 총 전투력 {1} 이상
CAMPAIGN_REQUIRE_3,앞의 전투를 클리어 해주세요.
CAMPAIGN_RANK_WINDOW,랭킹
PUT_IN,{1}회 사용
REPLACE,변경
TRANSFORM,교환
SAVE,저장
REMOVE,제거
LOCK_NOW_ATTR,현재 속성 잠금(다이아가 사용됩니다)
UNKNOWN_TREASURE,미지의 크리스탈
REMOVE_ALL,장비 빼기
EQUIP_ALL,일괄 장착
USE,사용
REFRESH,갱신
PUB_MISSION_TIME,미션 ({1}/{2}) 초기화될 때까지
PUB_MISSION_NO_START,아직 시작하지 않았습니다
PUB_MISSION_COMPLETE,완료함
START,시작
PUB_SPEED_UP,가속
PUB_SPEED_FREE,무료
PUB_MISSION_COMPLETE2,완성
PUB_TICKET_NO_ENOUGH1,일반 아르바이트 미션 두루마리가 부족합니다!
PUB_TICKET_NO_ENOUGH2,프리미엄 아르바이트 미션 두루마리가 부족합니다!
TAVERN_WINDOW_TIPS,"1. 소녀가 아르바이트를 완료하면 풍부한 보상을 받을 수 있습니다. 한 명의 소녀는 한 개의 아르바이트 밖에 참가할 수 없습니다.|2. 매일 자동 갱신될 미션에는 상한이 있으며 VIP 레벨 올림 및 미니 월간 패스 구매하면 미션 수 상한이 늘어날 수 있습니다.|3. 리셋 시 미시작된 미션은 모두 리셋되며, 매일 정기적으로 1회 갱신됩니다. 다이아를 사용하여 즉시 리셋할 수 있습니다.|4. 갱신 시 미션 두루마리를 사용하여 증가된 미션 또한 리셋됩니다.|5. 다이아를 사용하여 진행 중인 미션을 가속할 수 있습니다.|6. 각 아르바이트 미션의 출현 확률은 다음과 같습니다：|1성-25.6%%, 2성-27%%, 3성-23.2%%, 4성-15%%, 5성-8%%, 6성-1%%, 7성-0.2%%.|7. 일반 아르바이트 미션 두루마리를 사용 시 1-4 성급의 미션이 랜덤으로 추가됩니다. 출현 확률은 다음과 같습니다.|1성-20%%, 2성-27%%, 3성-35%%, 4성-18%%.|프리미엄 아르바이트 미션 두루마리 사용 시 4-7 성급의 미션이 랜덤으로 추가됩니다. 출현 확률은 다음과 같습니다.|4성-56%%, 5성-35%%, 6성-7%%, 7성-2%%.|8. 일반 아르바이트 미션 두루마리와 프리미엄 아르바이트 미션 두루마리는 최대 999개 보유할 수 있습니다."
ITEM_SUMMON,소환
ITEM_SELL,판매
ITEM_DETAIL,더보기
ITEM_WAYS,드롭
HELP_WINDOW,설명
PERSON_AVATAR_LIST,선택
CLOSE_WINDOW_GUIDE,임의의 위치를 탭 또는 오른쪽 윗단추를 탭해서 닫습니다.
PERSON_EDIT_NAME,이름 수정
PERSON_EDIT_TIPS1,변경하고 싶은 이름을 입력해 주세요
PERSON_EDIT_TIPS2,2-6개 글자 또는 4-12개 영문자
SURE,확인
PERSON_NO_CRYSTAL,다이아가 부족합니다!
PERSON_INFO,개인정보
ALTAR_WINDOW_HELP,"1. 소녀를 전학시키면 경험치 드링크와 도시락, 교우록 등의 재료를 얻을 수 있습니다.|2. 경험치 드링크로 소녀를 레벨 UP 할 수 있습니다.|3. 도시락으로 소녀를 레벨업 할 수 있으며, 레벨업 후에는 특성이 향상되고, 더 강력한 패시브 스킬을 획득 할 수 있습니다.|4. 교우록은 전학 상점에서 더 강력한 소녀와 교환할 수 있습니다.|5. 일괄 전학으로 각 학부의 3성 소녀의 전학 수량을 선택하여 일괄 전학을 시킬 수 있습니다.|6. 일괄 전학은 자동으로 은신, 신위, 풍견, 담화 3성 소녀 20개씩, 진성, 수라 3성 소녀 4개씩 보류합니다."
RIGHT_BLUE_BUTTON_1,매점
RIGHT_BLUE_BUTTON_2,슬롯 머신
RIGHT_BLUE_BUTTON_3,옥상 정복
RIGHT_BLUE_BUTTON_4,학원 순찰
RIGHT_BLUE_BUTTON_5,일상
RIGHT_BLUE_BUTTON_6,아르바이트
RIGHT_BLUE_BUTTON_7,졸업
RIGHT_BLUE_BUTTON_8,전학
RIGHT_BLUE_BUTTON_9,신입생 모집
RIGHT_BLUE_BUTTON_10,소풍
LV,Lv.{1}
PERSON_NAME_SHORT,입력하신 이름이 너무 짧아요!
PERSON_NAME_LONG,입력하신 이름이 너무 길어요!
PERSON_NAME_SUCCEED,이름을 변경했어요!
PERSON_NAME_FAIL,이 이름은 이미 사용중 입니다!
GET_ITEMS,아이템 획득
PUB_MISSION_REFRESH_1,갱신하려면 {1} 다이아가 필요합니다.계속 하시겠습니까?
PUB_MISSION_REFRESH_2,새로운 미션이 없습니다!
PUB_MISSION_REFRESH_3,다이아가 부족해서 갱신할 수 없습니다!
PUB_START_MISSION_1,소녀가 조건을 충족하지 못했습니다!
PUB_START_MISSION_2,{1} 직업 소녀가 필요합니다!
PUB_START_MISSION_3,{1} 학부 소녀가 필요합니다!
PUB_START_MISSION_4,{1}성 소녀가 필요합니다!
PUB_START_MISSION_5,전력 조건을 충족하지 못했습니다!
PUB_START_MISSION_6,소녀가 이미 출전 중입니다!
PUB_LOCK_MISSION,시작한 미션은 활성화 할 수 없습니다.
SKILL_UNLOCK_DESC,랭크 {1}에서 활성화
ATTR_UP,특성 부스트:
TOP_LEV_UP_TO,최대 레벨업:
TREASURE_NOT_OPEN,40레벨 달성시 활성화
GET_FROM_STAGE,스테이지 {1}부터 드롭
HAS_NOT_EQUIP,장비가 없습니다…
EQUIP_ON,장착
NOT_ENOUGH_MANA,골드가 부족합니다!
