id,weather_name,weather_desc
1,맑음,특수효과가 없음
2,모래 바람,카오스 리더의 가드 100% 증가.
3,작은 비,"담화, 신위 학부 소녀의 공격력 100% 증가, 풍견, 은신 학부 소녀의 공격력 50% 감소"
4,뇌우,"전투 중인 모든 캐릭터(적 포함)의 연소, 출혈, 독 대미지 200% 증가"
5,눈보라,카오스 리더 방어력 100% 증가
6,흐림,"수라, 은신 학부 소녀의 공격력 100% 증가, 진성, 담화 학부 소녀의 공격력 50% 감소"
7,안개,"진성, 풍견 학부 소녀의 공격력 100% 증가, 수라, 신위 학부 소녀의 공격력 50% 감소"
8,그늘,"카오스 리더의 HP의 양이 50% 이상일 경우, 모든 대미지는 30% 증가하며, HP의 양이 50% 이하일 경우, 방어력은 100% 증가한다."
9,광풍,"적이 받은 모든 대미지 30% 증가, 아군 소녀가 받는 치료 효과 75% 감소."
10,구름 많음,"전투 중, 적에게 입히는 모든 대미지는 홀수 라운드일 때 50% 증가하며, 짝수 라운드일 때 50% 감소한다."
11,대설,"아군 소녀의 기본 공격 또는 액티브 스킬이 치명타를 일으키지 않을 경우, 대미지는 30% 감소하며, 치명타를 일으키는 경우 대미지는 30% 증가한다."
