id,title,desc
10111,사진관-1,일부러 그런 거 아니에요
10112,사진관-1,아...... 아니야! 나...... 나 벽에 장식 보고 있었는데...... (찔림)
10113,사진관-1,손인은 어느 각도에서 봐도 예쁘니까~
10121,사진관-2,손인이 입은 것과 비슷한 코소데
10122,사진관-2,단정한 슈트
10123,사진관-2,그대로 입는다.
10131,사진관-3,손인에게 준다.
10132,사진관-3,조용히 기다린다.
10133,사진관-3,필름을 달라고 한다.
10211,고급 레스토랑-1,몽블랑
10212,고급 레스토랑-1,고등어 구이
10213,고급 레스토랑-1,대하찜
10221,고급 레스토랑-2,돈 맛 밖에 안느껴져...
10222,고급 레스토랑-2,"별로야, 주방장이 제대로 실력을 발휘하지 못한 것 같아."
10223,고급 레스토랑-2,맛 말고는 더 이상 다른 말이 안나와.
10231,고급 레스토랑-3,호기롭게 결제한다.
10232,고급 레스토랑-3,솔직하게 말한다.
10233,고급 레스토랑-3,엉거주춤 결제한다.
10311,기모노 가게-1,너무 예뻐서 대놓고 칭찬해버렸네.
10312,기모노 가게-1,그냥 칭찬 한거야. 너무 신경 쓰지 마.
10313,기모노 가게-1,"너무 예뻐서, 다음에도 이렇게 입고 왔으면 해서."
10321,기모노 가게-2,검정색
10322,기모노 가게-2,진청색
10323,기모노 가게-2,초록색
10331,기모노 가게-3,신상의 먼저 볼래? 이거 손인한테 어울리는 것 같아.
10332,기모노 가게-3,당분간 이런 단어는 약간 신뢰가 깨지는데……
10333,기모노 가게-3,"어? 당분간! 아냐, 아냐……"
10411,화과자 가게-1,흑설탕 맛 양갱
10412,화과자 가게-1,녹차 맛 양갱
10413,화과자 가게-1,일반 양갱
10421,화과자 가게-2,응! 쫀쫀하니 맛있네요~
10422,화과자 가게-2,볼품 없어 보이지만 맛은 좋네.
10423,화과자 가게-2,"정말 미안한데, 역시 너무 달콤한 건 나랑 안맞나봐~"
10431,화과자 가게-3,뭔가 특별하다고 하니까 손인이 데려가줘~
10432,화과자 가게-3,"특…… 특별히, 나를 위한 거라고?"
10433,화과자 가게-3,정말 갈거야? 주제 넘어서 미안.
10511,정원 안\n대화-1,"당…… 당연하지, 선배로서 모두를 챙겨야 되는 책임감이 있으니까!"
10512,정원 안\n대화-1,손인...... 이런 질문은 좀 난처한데.
10513,정원 안\n대화-1,모두에게 자상하다고 해도 손인한테는 특별함이 있지.
10521,정원 안\n대화-2,배낭에 담긴 물을 준다.
