id,decision_desc
1,"바닥에서 이국적인 기름 램프를 발견하였는데, 그 속에서 은은히 구원 소리가 들려오는 것 같았다……"
2,"회중시계를 찬 토끼가 뛰어가는 걸 발견하였는데, 뒤쫓아가 보니까 토끼 구멍으로 들어간 것 같았다……"
3,"길가에서 남루한 옷차림의 노인을 발견했는데, 그는 당신에게 이상한 완두콩을 주었는데, 당신은 어떻게 할 것인가?"
4,"당신이 방에 들어갔을 때, 책상에 사과 한 개가 있는 것을 발견한다, 누군가 사과를 한 입 베어먹은 것 같았다."
5,"바닥에 성냥이 한 무더기 뿌려져있는데, 당신은 어떻게 할 것인가?"
6,동굴 입구에 문이 닫혀져 있다. 정확한 암호가 있어야 문이 열릴 것 같다......
7,"길을 걷다가 문득 뒤에서 차가운 바람이 불어오는 것을 발견하고, 당신의 선택은……"
8,신기한 거울을 발견하였다. '궁금한 거 하나 얘기해 봐'라고 거울이 말했다.
9,"공기 중에 달콤한 냄새가 가득해서, 냄새를 따라가서 찾아보니, 사탕으로 만든 오두막집을 발견했는데, 당신은 어떻게 할 것인가?"
10,당신은 앞에 한 사람이 피리를 불면서 길을 따라 걸어오는 것을 보았다. 당신은 어떻게 할 작정인가……
