name,desc,desc1
atk,공격,공격
hp,HP,生命上限百分比燃烧伤害
arm,방어력,방어력
spd,속도,속도
sklP,스킬 대미지,스킬 대미지
hit,정밀,정밀
miss,가드,가드
crit,치명타,치명타
critTime,치명타 대미지,暴击伤害值
brk,돌파력,돌파력
free,면역력,면역력
trueAtk,신성 대미지,신성 대미지
energy,에너지,에너지
decDmg,대미지 감소,대미지 감소
stun,기절,기절 (공격 스킵)
ice,동결,동결 (공격 스킵)
stone,석화,석화 (공격 스킵)
forbid,침묵,침묵 (스킬 사용 불가)
hurt,다이렉트 대미지,다이렉트 대미지
dot,지속 대미지,지속 대미지 (매 라운드 HP 감소)
heal,바로 회복,바로 회복
hot,지속 회복,지속 회복 (매 라운드 HP 회복)
healP,恢復%生命,恢复%生命
trueHurt,신성 대미지,신성 대미지
dotPoison,독,독
dotBlood,출혈,출혈
dotFire,연소,연소
atkP,공격,공격 (비율에 따라 증가)
hpP,HP,生命（按%加生命）
armP,방어력,돌파력 (비율에 따라 증가)
addhurt,추가 공격,추가 공격
revive,부활,부활
siphonAtk,공격 흡수 퍼센테이지,공격 흡수 퍼센테이지
siphonHp,HP 흡수 퍼센테이지,HP 흡수 퍼센테이지
siphonArm,돌파력 흡수 퍼센테이지,돌파력 흡수 퍼센테이지
shield,보호막,보호막
brier,대미지 x% 반사,대미지 x% 반사
rImpress,라운드 표시,라운드 표시
cImpress,치명타 표시,치명타 표시
rImpressB,라운드 표시 폭발,라운드 표시 폭발
cImpressB,치명타 표시 폭발,치명타 표시 폭발
fImpress,번개 표시,번개 표시
oImpress,관찰자 표시,관찰자 표시
weak,쇠약,쇠약
atkPos,위치에 따른 공격력 증가,위치에 따른 공격력 증가
hpPos,位置增加生命率,位置增加生命率
armPos,위치에 따른 방어력 증가,위치에 따른 방어력 증가
spdPos,위치에 따른 속도 증가,위치에 따른 속도 증가
hitPos,위치에 따른 정밀 추가,위치에 따른 정밀 추가
missPos,위치에 따른 회피 증가,위치에 따른 회피 증가
critPos,위치에 따른 치명타 증가,위치에 따른 치명타 증가
critTimePos,위치에 따른 치명타 대미지 배수 증가,위치에 따른 치명타 대미지 배수 증가
stunB,기절 대미지 증가,기절 대미지 증가
iceB,동결 대미지 증가,동결 대미지 증가
stoneB,석화 대미지 증가,석화 대미지 증가
dotFireB,연소 대미지 증가,연소 대미지 증가
dotPoisonB,독 대미지 증가,독 대미지 증가
dotBloodB,출혈 대미지 증가,출혈 대미지 증가
zs,전사에게 대미지 증가,전사에게 대미지 증가
fs,법사에게 대미지 증가,법사에게 대미지 증가
ms,목사에게 대미지 증가,목사에게 대미지 증가
ck,어쌔신에게 대미지 증가,어쌔신에게 대미지 증가
yx,레인저에게 대미지 증가,레인저에게 대미지 증가
changeCombat,일반 공격으로 변경,일반 공격으로 변경
fsStun,법사 기절,법사 기절
fsDotBlood,법사 출혈 대미지,법사 출혈 대미지
zsIce,전사 동결,전사 동결
zsStun,전사 기절,전사 기절
zsForbid,전사 침묵,전사 침묵
zsHurt,전사 공격 시 추가 대미지,전사 공격 시 추가 대미지
zsArmP,전사에 대한 방어력 감소,전사에 대한 방어력 감소
ckStone,어쌔신 석화,어쌔신 석화
ckForbid,어쌔신 침묵,어쌔신 침묵
ckHurt,어쌔신 공격 시 추가 대미지,어쌔신 공격 시 추가 대미지
msForbid,목사 침묵,목사 침묵
yxHurt,레인저 공격 시 추가 대미지,레인저 공격 시 추가 대미지
yxAtkP,레인저에 대한 공격력 감소,레인저에 대한 공격력 감소
zsHpPO,전사 체력 증가,전사 체력 증가
zsAtkPO,전사 공격력 증가,전사 공격력 증가
zsCritO,전사 치명타 증가,전사 치명타 증가
zsMissO,전사 가드 증가,전사 회피율 증가
zsSklPO,전사 스킬 대미지 증가,전사 스킬 대미지 증가
fsHpPO,법사 체력 증가,법사 체력 증가
fsAtkPO,법사 공격력 증가,법사 공격력 증가
fsCritO,법사 치명타 증가,법사 치명타 증가
fsHitO,법사 정밀 증가,법사 정밀 증가
fsSklPO,법사 스킬 대미지 증가,법사 스킬 대미지 증가
ckHpPO,어쌔신 체력 증가,어쌔신 체력 증가
ckCritTimeO,어쌔신 치명타 대미지 증가,어쌔신 치명타 대미지 증가
ckCritO,어쌔신 치명타 증가,어쌔신 치명타 증가
ckBrkO,어쌔신 돌파력 증가,어쌔신 돌파력 증가
ckSklPO,어쌔신 스킬 대미지 증가,어쌔신 스킬 대미지 증가
yxHpPO,레인저 체력 증가,레인저 체력 증가
yxAtkPO,레인저 공격력 증가,레인저 공격력 증가
yxMissO,레인저 가드 증가,레인저 회피율 증가
yxHitO,레인저 정밀 증가,레인저 정밀 증가
yxSklPO,레인저 스킬 대미지 증가,레인저 스킬 대미지 증가
msHpPO,목사 체력 증가,목사 체력 증가
msMissO,목사 가드 증가,목사 회피 증가
msCritO,목사 치명타 증가,목사 치명타 증가
msSpdO,목사 속도 증가,목사 속도 증가
msSklPO,목사 스킬 대미지 증가,목사 스킬 대미지 증가
ckStun,어쌔신 기절,어쌔신 기절
mhurt,"다이랙트 대미지, 마수 액티브 스킬 설정","다이랙트 대미지, 마수 액티브 스킬 설정"
mdotFire,"지속 대미지(연소), 마수 액티브 스킬 설정","지속 대미지(연소), 마수 액티브 스킬 설정"
mdotPoison,"지속 대미지(독), 마수 액티브 스킬 설정","지속 대미지(독), 마수 액티브 스킬 설정"
mdotBlood,"지속 대미지(출혈), 마수 액티브 스킬 설정","지속 대미지(출혈), 마수 액티브 스킬 설정"
