id,buff_id,plus_minus,name,sec
1,atk|atkP|siphonAtk|vanity,1,공격력 증가,소녀의 공격력을 증가시킨다.
2,hp|hpP|addHpLimit,1,HP 증가,소녀의 HP를 증가시킨다.
3,arm|armP|siphonArm,1,방어력 증가,소녀의 방어력을 증가시킨다.
4,spd|spdSteal,1,속도 증가,소녀의 속도를 증가시킨다.
5,sklP,1,스킬 대미지 증가,소녀의 스킬 대미지를 증가시킨다.
6,hit,1,정밀 증가,소녀의 정밀을 증가시킨다.
7,miss|missLimit2,1,가드 증가,소녀의 가드를 증가시킨다.
8,crit,1,치명타 증가,소녀의 치명타를 증가시킨다.
9,critTime|critTimeBlood,1,치명타 대미지 증가,소녀의 치명타 대미지를 증가시킨다.
10,brk,1,돌파력 증가,소녀의 돌파력을 증가시킨다.
11,free,1,면역력 증가,소녀의 면역력을 증가시킨다.
12,trueAtk,1,신성 대미지 증가,소녀의 신성 대미지를 증가시킨다.
13,decDmg|decDmgBlood|decDmgNadd|allHarmDec,1,대미지 감소 증가,소녀의 대미지 감소를 증가시킨다.
14,healB,1,받은 치료 효과 증가,소녀가 받은 치료 효과를 증가시킨다.
15,healI,1,치료 효과 증가,소녀의 치료 효과를 증가시킨다.
16,atk|atkP|siphonAtk|vanity,2,공격력 감소,소녀의 공격력을 감소시킨다.
17,hp|hpP,2,HP 감소,소녀의 HP를 감소시킨다.
18,arm|armP|siphonArm,2,방어력 감소,소녀의 방어력을 감소시킨다.
19,spd|spdSteal,2,속도 감소,소녀의 속도를 감소시킨다.
20,sklP,2,스킬 대미지 감소,소녀의 스킬 대미지를 감소시킨다.
21,hit,2,정밀 감소,소녀의 정밀을 감소시킨다.
22,miss|missLimit2,2,가드 감소,소녀의 가드를 감소시킨다.
23,crit,2,치명타 감소,소녀의 치명타를 감소시킨다.
24,critTime|critTimeBlood,2,치명타 대미지 감소,소녀의 치명타 대미지를 감소시킨다.
25,brk,2,돌파력 감소,소녀의 돌파력을 감소시킨다.
26,free,2,면역력 감소,소녀의 면역력을 감소시킨다.
27,trueAtk,2,신성 대미지 감소,소녀의 신성 대미지를 감소시킨다.
28,decDmg|decDmgBlood|decDmgNadd,2,대미지 감소 효과 감소,소녀의 대미지 감소를 감소시킨다.
29,healB,2,받은 치료 효과 감소,소녀가 받은 치료 효과를 감소시킨다.
30,healI,2,치료 효과 감소,소녀의 치료 효과를 감소시킨다.
31,weak,,쇠약 표식,'쇠약 표식' 상태의 소녀는 추가 대미지를 받는다. 쇠약 표식 상태 중복 불가.
32,stun,,기절,"구속 효과, 기절 기간 동안, 기절된 소녀는 액티브 스킬 또는 일반 공격, 추격과 반격을 발동할 수 없다."
33,ice,,동결,"구속 효과, 동결 기간 동안, 동결된 소녀는 액티브 스킬 또는 일반 공격, 추격과 반격을 발동할 수 없다."
34,stone,,석화,"구속 효과, 석화 기간 동안, 석화된 소녀는 액티브 스킬 또는 일반 공격, 추격과 반격을 발동할 수 없다."
35,forbid,,침묵,"구속 효과, 침묵 기간 동안, 침묵된 소녀는 액티브 스킬을 발동할 수 없다."
36,hot|healP,,HP 회복,"'HP 회복'상태의 소녀는 매 라운드 시작 시, 본인의 일정 HP를 회복할 수 있다."
37,dotPoison,,독,"'독' 상태의 소녀는 라운드 시작마다 독 대미지를 1회 입힌다. 공격 시 중독 효과가 있는 소녀가 중독 상태의 소녀를 공격할 경우, 바로 1회의 독 대미지가 가해진다."
