id,fort_name,fort_name2,name,description,skill
1,방통·열반의 중생,방통·열반의 중생,"특별 지원군, 출발!","아탑 싸움 후 ""유몽""은 유리한 고지를 선점했다. 진지를 카오스 군단의 마지막 방어 라인까지 밀어 붙였으며. 후방 지원부대의 ""바람"" 지휘관으로써, ""방통""은 선두에서 특별 부대와 함께 지원을 나섰다.",
2,방통·열반의 중생,방통·열반의 중생,공포의 형물,"방통은 지원을 가는 도중 카오스 군단의 습격을 받았다. 카오스 군단은 전이 능력을 이용해 방어가 취약한 지점을 돌파했고, 후방 지원 진영은 심각한 피해를 입었다. 방통은 취약 지점을 봉쇄하러 가는 도중, 이번 전이 능력에 의해 전이된 무서운 ""공포 형물""의 존재를 발견했다.",
3,방통·열반의 중생,방통·열반의 중생,합류,"후방 지휘부로 철수하는 도중 카오스 군단의 지휘부 공격부대를 발견했고, 방통은 힘겹게 돌파하여 간신히 지휘부에 도달할 수 있었다. 하지만 합류한 그녀들 앞에 적군의 암흑 기사가 나타났다.",
4,방통·열반의 중생,방통·열반의 중생,암흑 기사,"암흑기사는 ""끝이야!""를 외치며 검을 휘두르는 동시에 근처에 있는 ""공포 형물""을 폭파시켜 무서운 카오스의 힘으로 순식간에\n일대를 뒤덮었다. 검은 안개에 싸인 그 일대는 생명을 띈 존재들이 사라지고 있었다.",
5,방통·열반의 중생,방통·열반의 중생,아직 끝나지 않았어!,소란스러운 전쟁터가 한순간 정적에 휩싸였다. 완벽하게 성공한 이번 기습은 카오스 군단에 역전의 가능성을 주었다. 암흑 기사와 그 하수인 카오스 군단은 이미 승리의 잔치를 시작했다.,
6,방통·열반의 중생,방통·열반의 중생,열반과 재생,그 말투와 목소리에 분노를 머금고 있던 암흑 기사는 순간 망설였지만 그는 힘차게 칼을 내리쳐 돌진했다. 검은 불꽃은 원을 그리며 눈앞의 붉은 불꽃을 갈랐다.,
7,방통·열반의 중생,방통·열반의 중생,질문,암흑 기사는 자신을 덮는 불꽃을 느끼면서도 방어 태세를 취하지 않은 채 붉은 불꽃을 두른 칼끝에 의해 스스로의 공포와 함께 먼지로 변했다.,
8,방통·열반의 중생,방통·열반의 중생,스파이는 누구?,"암흑 기사를 제거한 후 방통은 전장을 정리한 여령기와 합류했다. 여령기는 카오스 군단이 전이 능력을 사용하여 취약 지점 돌파 후 진영을 뚫는다는 소식을 듣고, 같은 전술로 전면전에 큰 피해가 갈까 봐 방통과 함께 「기」 부대의 상황을 확인하러 갔다.",
9,방통·열반의 중생,방통·열반의 중생,전멸,"방통과 여령기가 알파 부대 앞에 도착했을 때, 눈앞에는 그저 평지처럼 밀린 진지가 남아있을 뿐이었다. 타오르는 불길과 연기로 인해 전장은 매우 밝았으며, 불꽃은 끊임없이 흩날렸다, 생존자는 아무도 없었다...",
10,방통·열반의 중생,방통·열반의 중생,사명과 선택,여령기의 영향을 받은 방통은 간첩을 찾고 이 전쟁을 끝내기로 결심했다. 그녀는 카오스의 중심부를 향해 혼자 날아가고 있었다. 붉은 섬광이 폐허가 된 전장을 가르며 지나간다...,
11,여령기·광기의 독벌,여령기·광기의 독벌,나는야 파괴자!,선도위원회 방에서 회장 미카엘은 선배의 과거를 들춰내려 하고 있다. 학원을 관리하기 위해 선배는 그녀에게 협조해 카오스의 습격에서 비롯된 이야기에 대해 이야기하기 시작했다...,
12,여령기·광기의 독벌,여령기·광기의 독벌,연합 결성!,연합대 결성과 함께 여령기는 「기」 부대의 시험에 합격했지만 어울리기 쉽지 않은 성격과 강한 파괴욕으로 팀 내에서 고립되어 버렸다.,
13,여령기·광기의 독벌,여령기·광기의 독벌,「기」 부대 11,"""그녀""는 여링기에게 11대 가입을 제안했지만, 여링기는 다른 사람으로부터 연민을 받고 싶지 않아 거절했다. ""그녀""는 도발적으로 다시 여링기를 초대했고, 그것은 여령기를 충분히 자극시켰다...",
14,여령기·광기의 독벌,여령기·광기의 독벌,지구대 전투 상,"카오스의 침략으로부터 98년, 「기」 부대는 카오스 군단의 한 거점에 기습을 노리고 있었다. 여령기는 그 기습부대의 대장이었지만, 부대가 지구대에 들어서자 예상외의 일이 일어나고 있었다.",
15,여령기·광기의 독벌,여령기·광기의 독벌,지구대 전투 중,"여령기는 은창을 들고 전투를 시작했고, 그녀의 두 눈은 살육으로 인해 빨갛게 되어버렸다. 적의 군세 앞의 동료의 수는 줄어들기만 했다. 여령기는 중인의 ""방어선 사수"" 라는 명령을 끝까지 지켜내기 위해 체력이 한계에 가까워지고 있다는 것도 개의치 않고 공격해 오는 적을 계속 쓰러뜨리고 있었다.",
