id,title_1,unknown_3,contents_1,contents_4,contents_5,contents_2
1,“Limit Event”Unlock!,"Senpai, des nouveaux événements ont commencés, dépêche-toi de les finir !","Senpai, des nouveaux événements ont commencés, dépêche-toi de les finir !","Senpai, des nouveaux événements ont commencés, dépêche-toi d'y aller !",先輩、新しいイベントが始まりました、さっそく参加しましょう！,"Senpai, des nouveaux événements ont commencés, dépêche-toi de les finir !"
2,You have unfinished daily quizzes!,Senpai! N'oublie pas tes missions quotidiennes~,Senpai! N'oublie pas tes missions quotidiennes~,"Senpai, tu n'as pas fini ton Quiz Quotidien, vas-y vite !",日常テストはまだクリアしてませんよ、クリアを忘れずに！,Senpai! N'oublie pas tes missions quotidiennes~
3,Ce monde à besoin de toi !,"Senpai, viens voir les changements sur le campus !","Senpai, viens voir les changements sur le campus !","Senpai, viens voir les modifications sur le campus !",先輩、学園にいろんな変化が起こりましたよ！早速確認しましょう！,"Senpai, viens voir les changements sur le campus !"
4,Ce monde à besoin de toi !,"Senpai! Tu manques terriblement à tes Filles, reviens vite !","Senpai! Tu manques terriblement à tes Filles, reviens vite !","Senpai, les Filles pensent fort à toi, reviens-vite !",先輩、戦姫が待っていますよ！早く戻ってきてくださいね！,"Senpai! Tu manques terriblement à tes Filles, reviens vite !"
5,Ce monde à besoin de toi !,"Senpai, vos Filles ne peuvent pas se battre sans toi, reviens~","Senpai, vos Filles ne peuvent pas se battre sans toi, reviens~","Senpai, tes Filles ne peuvent pas se battre sans toi, dépêche toi de revenir !",先輩がいなければ、戦姫たちの戦闘力が大幅に下がってしまいます。早く戻って共に戦いましょう！,"Senpai, vos Filles ne peuvent pas se battre sans toi, reviens~"
6,This world needs you!,"Senpai, le campus va être rempli de démon si tu ne reviens pas !","Senpai, le campus va être rempli de démon si tu ne reviens pas !","Senpai, si tu ne reviens pas vite le campus va être envahi de démon !",先輩、早く戻らないと、学園は悪魔に占領されてしまいますよ！,"Senpai, le campus va être rempli de démon si tu ne reviens pas !"
7,This world needs you!,"Senpai, veux-tu vraiment abandonner tes Filles?","Senpai, veux-tu vraiment abandonner tes Filles?","Senpai, tu veux vraiment abandonner tes Filles ?",先輩は戻ってこないのですか？戦姫たちはいつでも先輩を待っています。,"Senpai, veux-tu vraiment abandonner tes Filles?"
8,Tu as un stage non terminé,"Senpai, tu n'as pas commencé de tâche de stage, dépêche toi d'y aller","Senpai, tu n'as pas commencé de tâche de stage, dépêche toi d'y aller","Senpai, il y a des jobs non commencé, organise vite le travail des Filles !",先輩、開始していないバイトミッションがありますよ、早く戦姫たちを派遣しましょう！,"Senpai, tu n'as pas commencé de tâche de stage, dépêche toi d'y aller"
9,Baisse du Rang de l'Arène,Senpai ! Your team was defeated in campus league! Revenge now!,Senpai! Your rank in Campus League has declined. Time to check out!,"Senpai, tes Filles ont perdu l'Arène, vient vite les venger !",先輩、学園リーグのチームが敗北しました、早くリベンジしましょう！,Senpai ! Your team was defeated in campus league! Revenge now!
10,Guild Notice Revise,Guild Notice changed: {1},Guild Notice changed: {1},L'annonce de la guilde a été changé ：{1},サークルお知らせは次のように変更されました：{1},Guild Notice changed: {1}
