id,name,desc_effect_num1,desc_effect_num2,desc_effect_num3,desc_effect_num4
201,[Topaze ordinaire Ⅰ],,,,
202,[Topaze ordinaire Ⅱ],,,,
301,[Améthyste ordinaireⅠ],,,,
302,[Améthyste ordinaire Ⅱ],,,,
401,[Améthyste primaire Ⅰ],,,,
402,[Améthyste primaire Ⅱ],,,,
501,[Améthyste intermédiaire Ⅰ],,,,
502,[Améthyste intermédiaire Ⅱ],,,,
601,[Améthyste avancée Ⅰ],,,,
602,[Améthyste avancée Ⅱ],,,,
701,[Jade ordinaire Ⅰ],,,,
702,[Jade ordinaire Ⅱ],,,,
703,[Jade ordinaire Ⅲ],,,,
801,[Jade primaire Ⅰ],,,,
802,[Jade primaire Ⅱ],,,,
901,[Jade intermédiaire Ⅰ],,,,
902,[Jade intermédiaire Ⅱ],,,,
1001,[Jade avancée Ⅰ],,,,
1002,[Jade avancée Ⅱ],,,,
1101,[Rubis ordinaire Ⅰ],,,,
1102,[Rubis ordinaire Ⅱ],,,,
1103,[Rubis ordinaire Ⅲ],,,,
1201,[Rubis primaire Ⅰ],,,,
1202,[Rubis primaire Ⅱ],,,,
1301,[Rubis intermédiaire Ⅰ],,,,
1302,[Rubis intermédiaire Ⅱ],,,,
1401,[Rubis avancé Ⅰ],,,,
1501,[Cristal Ultime Ⅰ],,,,
1601,[Invocateur],,,,"Pendant les 5 premiers tours, réduit le soignement des ennemies de 15%."
1701,[Juge],,,,Les filles avant immunisent 2 fois les contrôles des ennemies après le début de batailler
1801,[Destructeur],,,,"Pendant les 5 premiers tours, augmente le soignement des alliées de 50%."
1901,[Dominateur],,,,Lance une compétence aléatoire aux 2 ennemis en arrière pendant 2 tours après le début de bataille
