id,fort_name,fort_name2,name,description
1,Phénix\nRenaissance,Phénix · Renaissance,À la bataille !,"Après la bataille de Yartta, Yume avait un sacré avantage tactique et avait mis la Légion du Chaos dos au mur. Le commandant du régiment de réserve, Gamma, envoya alors Phénix et son équipe en renfort en première ligne."
2,Phénix\nRenaissance,Phénix · Renaissance,Figure de Terreur,"Sur la route pour se rendre en première ligne, Phénix tomba dans une embuscade de la Légion du Chaos. Soudain, de nombreux ennemis se téléportèrent au point de singularité et brisèrent le périmètre de défense. Lorsque Phénix et son équipe arrivèrent, Figure de Terreur était déjà en train de les attendre."
3,Phénix\nRenaissance,Phénix · Renaissance,Réunion,"Sur le chemin du retour, Phénix apprit que le quartier général de support était en train de se faire attaquer, elle dut se créer un chemin en combattant afin de pouvoir aller porter assistance au commandant du quartier général. À peine eut-elle le temps de rejoindre le commandant que le Chevalier Noir apparut."
4,Phénix\nRenaissance,Phénix · Renaissance,Chevalier Noir,"Le Chevalier Noir balança son épée en annonçant ""C'est terminé !"" puis fit exploser la Figure de Terreur à côté de lui. Le pouvoir du Chaos recouvra alors le camp entier et en un clin d'œil, plus personne n'était en vie."
5,Phénix\nRenaissance,Phénix · Renaissance,Ce n'est pas encore fini !,Le camp se fit totalement annihilé en un instant. L'attaque surprise fut une réussite totale et offrit la chance à la Légion du Chaos de pouvoir se battre un autre jour. Ils fêtèrent alors leur victoire couvert par le rire fou de Chevalier Noir.
6,Phénix·Renaissance,Phénix · Renaissance,Renaissance,"Rien qu'en attendant le son de sa voix, Chevalier Noir savait que la colère de Phénix était immense. Cependant, il n'y avait pas le temps d'hésiter, il donna alors un coup d'épée qui déchira la flamme de cette dernière…"
7,Phénix\nRenaissance,Phénix · Renaissance,Interrogation,"Lorsque l'attaque de flammes arriva, il était trop tard pour Chevalier Noir. Ce dernier et sa peur furent rapidement transformés en cendres."
8,Phénix\nRenaissance,Phénix · Renaissance,Qui est le traître ?,"Après avoir vaincu Chevalier Noir, Phénix retrouva Linky qui venait tout juste d'éliminer le reste des ennemis. Linky était inquiète après avoir appris que les ennemis pouvaient utiliser les singularités pour se téléporter, c'est pour cela qu'elle demanda à Phénix d'aller voir ensemble l'état du Régiment Alpha."
9,Phénix\nRenaissance,Phénix · Renaissance,Annihilé,"Quand elles arrivèrent au camp du Régiment Alpha, elles ne virent que les ruines de ce-dernier, aucun signe de vie, juste de la fumée et des flammes..."
10,Phénix\nRenaissance,Phénix · Renaissance,Devoir et choix,"Affectée par Linky, Phénix décida de terminer cette guerre une bonne fois pour toute et chercha le traître. Elle s'envola alors en direction des limites du territoire du Chaos. Elle était si rapide que l'on ne pouvait voir qu'un arc rouge dans le ciel."
11,Linky\nDard Toxique,Linky · Dard Toxique,"La Destruction, c'est moi !","Dans le bureau du Comité de Discipline, Michael demande des conseils à sa prédecesseur, afin de mieux savoir comment gérer la situation. Celle-ci commença son récit, sans hésitation, avec l'invasion du Chaos..."
12,Linky\nDard Toxique,Linky · Dard Toxique,En rang !,"L'assemblement des forces unies avait commencé. Linky passa avec succès le test du Régiment Alpha. Mais dû à sa nature destructrice, elle fut incapable de trouver quelqu'un acceptant de faire équipe avec elle."
13,Linky\nDard Toxique,Linky · Dard Toxique,Équipe 11,"『Elle』apparut pour inviter Linky à rejoindre l'Équipe 11. Comme prédit, Linky y réfléchit puis refusa.『Sa』seconde invitation sembla toutefois irriter Linky."
14,Linky\nDard Toxique,Linky · Dard Toxique,La bataille de la vallée (1),"Pour le 98ème anniversaire de l'invasion du Chaos, le Régiment Alpha reçut l'ordre d'attaquer un des camps de la Légion du Chaos. Linky fut désignée comme meneuse. Le régiment était en train de traverser la vallée quand il tomba dans une embuscade."
15,Linky\nDard Toxique,Linky · Dard Toxique,La bataille de la vallée (2),Linky se battit du mieux qu'elle put. Ses yeux brillaient du rouge du sang de ses ennemis mais ses compagnons tombaient également un par un autour d'elle. Son corps était cassé et meurtir. Elle ne tenait le coup que grâce à「Cette」voix dans sa tête lui disant : Garde cette ligne et ne laisse personne passer !
16,Linky\nDard Toxique,Linky · Dard Toxique,La bataille de la vallée (3),La bataille avec l'Officier de la Légion fut la dernière. L'esprit de Linky était submergé par des envies de tuer et de voir du sang. Cela la fit entrer dans une folie meurtrière jusqu'à ce qu'『Elle』soit arrivée avec des renforts.
17,Linky\nDard Toxique,Linky · Dard Toxique,C'est un piège !,"Six jours après la Victoire de Yartta, le Régiment Alpha reçut l'ordre du QG : brisez les dernières défenses de la Légion du Chaos et finissez cette guerre une fois pour toute ! Cependant, ce qu'ils virent au camp principal de la Légion du Chaos était entièrement incroyable..."
18,Linky\nDard Toxique,Linky · Dard Toxique,Camp d'approvisionnement,"Quand Linky arriva, le camp d'approvisionnement était quasiment entièrement détruit. Elle ""nettoya"" le reste des soldats de la Légion, sauva les survivants, d'eux, elle appris la position du Commandant."
19,Linky\nDard Toxique,Linky · Dard Toxique,Tous annihilé,"Quand elles arrivèrent au Régiment Alpha, elles ne virent que les ruines du camp, aucun signe de vie, juste de la fumée et des flammes..."
20,Linky\nDard Toxique,Linky · Dard Toxique,Une nouvelle aventure,"Linky se retrouva bloqué dans ses souvenirs, son cœur se retrouva submergé de regret et de haine pur envers la Légion du Chaos..."
21,Iron Fist\nJournal,Iron Fist · Journal,Cauchermar éternel,"La fumée était illuminé par les flammes, des étincelles volaient dans ce qu'ils semblaient être une bataille féroce. Avec le sifflement d'une flèche volante et le choc de la lame, une personne noir assez flou apparu en face d'Iron Fist..."
22,Iron Fist\nJournal,Iron Fist · Journal,Opération,"Sous le plafond blanc, deux figures floues se tenaient en face d'elle. Iron Fist respirait lentement et faiblement, n'entendant que le son 『bip-bip』qui semblait venir des équipements de surveillance. Elle compris assez rapidement qu'elle était en train de se faire opérer."
23,Iron Fist\nJournal,Iron Fist · Journal,Elle s'appelle Kong Ming,"Iron Fist était assise dans la pénombre sans avoir dit un seul mot depuis quelque temps déjà, sa seule façon de coopérer avec les docteurs et les infirmières fut de faire la bûche. Juste une toute petite personne venait depuis quelque jour, disait quelque mots et repartait aussi vite..."
24,Iron Fist\nJournal,Iron Fist · Journal,Jours avec Senpai,"Pour changer de la pénombre de la chambre d'hôpital, la fenêtre était maintenant ouverte et les rayons du soleil pénétraient aussi dans la pièce, des petites décorations étaient présentes dans la pièce comme des fleurs et des peintures. Si ce n'était pas à cause des équipements médicaux et des employés de l'hôpital elle aurait pû se croire chez elle dans son nid douillet"
25,Iron Fist\nJournal,Iron Fist · Journal,Après s'être réveillé,"Iron Fist était en train de dormir, et elle ne savait pas si la raison pour laquelle elle était incapable de se réveiller était les anhéstésiant ou bien sa résistance interne, mais ce qu'elle savait c'est qu'elle était incapable de se réveiller. Elle rêvait, et s'était un rêve long, très long même..."
26,Iron Fist\nJournal,Iron Fist · Journal,Entraînement de rééducation,"Sur le toit de l'école, deux figures se déplace rapidement, de la lumière et du bruit en émane de temps à autre. Afin de s'adapter à son nouveau bras, Iron Fist commença son entraînement dans ce lieu inhabité."
