1,title,name,dialog,select_text
1,Chasse au Trésor,Valeera,"Pistolet de départ, c'est bon, sifflet, c'est bon… bien, tout est prêt.",
2,,Valeera,"Alors, la première compétition est… une chasse au trésor.",
3,,Valeera,"D'accord, Valeera, tu seras l'arbitre.",
4,,Valeera,"Regardez par ici tout le monde, je vais vous annoncer les règles de la chasse au trésor.",
5,,Valeera,"Tout d'abord, les candidats tireront chacun à leur tour un badge selon leur numéro de matricule. Sur ce badge se trouve un motif, ce sera l'élément que vous devrez chercher.",
6,,Valeera,Vous terminerez la chasse une fois que vous aurez trouvé l'élément que vous devez chercher et que vous l'aurez ramené jusqu'à la ligne d'arrivée. Les résultats seront ensuite évalués en fonction du temps que vous aurez mis pour compléter la chasse.,
7,,Aquaris,"Valeera, peux-tu nous dire quels genres d'éléments nous devons trouver ?",
8,,Valeera,"Non, cependant je peux dire à tout le monde que les éléments sont divers et variés.",
9,,Valeera,Si vous ne faites pas le bon choix lorsque vous tirerez votre badge… il y a de fortes chances que vous soyez perdues.,
10,,Aquaris,"Huh ! Valeera, en disant cela, ça a l'air vraiment important !",
11,,Iron Fist,"Oui, il semble qu'il va falloir travailler dur et le faire sérieusement.",
12,,Valeera,"Allez, venez faire la queue pour récupérer votre badge, une fois que tout le monde aura un badge, vous aurez 2 minutes pour terminer votre préparation.",
13,,Aquaris,"Hein ? Comment… comment est-ce possible, est-ce que le ciel veut me jouer un tour ?",
14,,,Aquaris commença à pleurer quand elle vit le motif de l'insigne sur son badge.,
15,,Iron Fist,Aquaris ? Qu'est ce qu'il y a ?,
16,,Aquaris,"Je… c'est impossible pour moi de finir cette chasse au trésor, Iron Fist, je te souhaite bonne chance.",
17,,Hottie,"Aquaris est vraiment chanceuse, l'élément qu'elle doit trouver est vraiment facile à trouver.",
18,,Aquaris,"Hottie… ce motif correspond aux deux épées de la Présidente par intérim Joan, comment peux-tu dire que je suis chanceuse ?",
19,,Aquaris,Rien que penser à l'attitude de Joan… ça me glace le sang.,
20,,Hottie,"Même si Joan est souvent très sérieuse, mais ces épées… elles existent.",
21,,Aquaris,"Hottie, d'après ce que tu dis…ça veut dire qu'il y a des badges dont les motifs n'existent pas ?",
22,,Hottie,"Ce n'est pas si grave, c'est juste un peu difficile. Je suis sûre que l'expression du visage de tout le monde vous donnera très vite une réponse.",
23,,,"En effet, après avoir tiré leur badge certaines étudiantes commencèrent à pleurer.",
24,,Étudiante inactive,Hein ? Ce motif… c'est le masque que porte Ithil… il n'y a aucun moyen que je puisse l'obtenir…,
25,,Étudiante bien informée,"C'est vraiment difficilement réalisable, je dois obtenir des géraniums, les fleurs les plus précieuses d'Elfe Bourgeon…",
26,,Aquaris,"Effectivement, comme Hottie l'avait annoncé, l'élément qu'Aquaris devait rapporter n'était pas le plus difficile…",
27,,Aquaris,"Iron Fist, tu as tiré quoi ?",
28,,Iron Fist,"Cela me semble simple, c'est l'éventail cerise de Kong Ming.",
29,,Aquaris,Si ça ce n'est pas de la chance ! Tu pourras l'obtenir sans faire aucun effort !,
30,,Iron Fist,Oui… actuellement Kong Ming… devrait être sur le podium là-bas.,
31,,Aquaris,"Ah, il semble que celle qui va gagner cette chasse au trésor sera Iron Fist…",
32,,Valeera,"Bien, tout le monde a tiré un badge, alors, que la chasse au trésor commence !",
33,,,"Lorsque le coup de feu retentit, tout le monde se mit à courir dans des directions différentes, à l'exception de… Sapphire qui étreignait son petit renard.",
34,,,"Il semble que Sapphire n'eut à chercher quoi que ce soit, au coup de feu de départ elle se précipita directement vers la ligne d'arrivée.",
35,,Valeera,"Sapphire, 58 secondes.",
36,,Étudiante inactive,QUOI ? Elle n'a rien eu à chercher… comment peut-on considérer qu'elle a déjà fini !,
37,,Valeera,"Sapphire a terminé la chasse en conformité avec les règles, le petit renard qu'elle tient dans sa main est l'élément qu'elle devait ramener.",
38,,Étudiante bien informée,Quoi ? ? N'est-ce vraiment que de la chance ? ?,
39,,Étudiante bien informée,"Valeera, c'est de la triche…",
40,,Sapphire,J'ai tiré mon badge sous les yeux de l'arbitre… comment aurais-je pu tricher ?,
41,,Étudiante inactive,"Sapphire et Valeera sont de mèches, elles sont toutes les deux de la Maison Fantôme, peut-être qu'elles avaient même tout prévu depuis le début.",
42,,Sapphire,"Je ne ferai jamais ce genre de chose, de plus, veuillez ne pas remettre en question l'équité de Valeera, c'est une Fille respectable !",
43,,Ithil,"Ce badge, c'est moi qui l'ai mis, est-ce que vous avez encore des questions ?",
44,,Étudiante bien informée,Quoi ? Ithil ?,
45,,Aquaris,Pourquoi j'ai l'impression que la température a soudainement chuté de 20°C.,
46,,Ithil,Le badge que Sapphire a tiré n'est pas différent des vôtres et le motif sur son badge est bien celui de son renard.,
47,,Ithil,Sapphire a juste eu de la chance en tirant ce badge.,
48,,Ithil,"Je vous demande donc, est-ce que si c'est vous qui aviez tiré ce badge à sa place, est-ce qu'il vous aurait été facile de vous en emparer ?",
49,,Ithil,"Par conséquent, il n'y a eu aucune tricherie avec ce badge et il n'y a aucune possibilité de tricherie.",
50,,Ithil,"Plutôt que de perdre votre temps à vous occuper des autres, vous devriez vous concentrer pour finir cette chasse.",
51,,,"Pour corroborer ce que Ithil était train de dire, Iron Fist venait de franchir la lignée d'arrivée avec l'éventail de Kong Ming.",
52,,Valeera,Ithil… merci pour ton aide.,
53,,Ithil,Comment veux-tu devenir un grand arbitre si tu ne peux même pas gérer ce genre de problème ?,
54,,Valeera,Tu as raison ! Je vais continuer à faire des efforts.,
55,,Sapphire,"Valeera, désolée, c'est à cause de moi tout ça.",
56,,Valeera,"Ce n'est pas la peine Sapphire, je dois plutôt de féliciter d'avoir terminé cette chasse au trésor si rapidement ! Tu fais la fierté de notre Académie~",
57,,Sapphire,"Eh bien, vous avez accepté ce badge représentant mon petit renard, je vous en suis extrêmement reconnaissante.",
58,,Valeera,"Hein ? Je ne fais que te féliciter. D'ailleurs Sapphire, pourrais-tu m'offrir ce badge ?",
59,,Sapphire,"Comme c'est un badge mémorable, j'aimerais que tu le conserves bien à l'abri pour moi Valeera…",
