id,name,brief,desc
1,Pièce d'Or,Monnaie,Monnaie Normale
2,Gemme,Monnaie,La Monnaie la plus précieuse
3,EXP,EXP,À utiliser pour augmenter le niveau du joueur
4,Pièce de Guilde,Pièce de Guilde,À utiliser pour acheter des objets dans la Boutique de Guilde
5,EXP de Guilde,EXP de Guilde,À utiliser pour augmenter le niveau de la Guilde
6,Coupon,Coupon,À utiliser pour acheter des objets dans le Distributeur et dans la Boutique de la Chance
7,Liste de la Classe,Matériel d'Échange,À utiliser pour échanger des Filles dans le Magasin de Transfert
8,VIP EXP,VIP EXP,
9,Jus d'EXP,Matériel d'Amélioration,À utiliser pour augmenter le niveau d'une Fille dans l'interface des attributs
10,Plateau Repas,Matériel d'Amélioration,À utiliser pour augmenter le Niveau Max d'une Fille dans l'interface des attributs
11,Cœur,Matériel d'Échange,Obtenable en envoyant et recevant des Cœurs à vos amis. À utiliser pour invoquer une Fille dans Capsule d'Amitié
12,Points de la Capsule Œuf d'Or,Points de la Capsule Œuf d'Or,
13,Pass,Pass,À utiliser pour faire un combat dans Test
14,Ciseau de Cristal,Matériel de Cristal,À utiliser pour améliorer un Cristal dans l'interface des équipements d'une Fille
15,Livre Sacré,Devise du Sanctuaire,À utiliser pour échanger des objets dans la Boutique de Sanctuaire
16,Médaille d'Arène,Devise du Magasin de l'Arène,À utiliser pour échanger des objets dans le Magasin de l'Arène
17,Coffre de l'Arène,Le coffre sera ouvert automatiquement dans les courriers,"Obtient aléatoirement des Pièces, Jus d'EXP, Plateau Repas, Equipement Légendaire, Fragment de Filles, et autres objets rare"
18,Pain,Objet d'Endurance,À utiliser pour faire un Raid dans le Moulin de la Guilde
19,Dossier,Matériel d'échange de Fille,À utiliser pour échanger une Fille dans le Bureau d'Admission
20,Sceau,Objet de recrutement,À utiliser pour recruter une Fille 4 étoiles (ou plus) ou obtenir des Fragments de Filles dans le Bureau d'Admission
22,Coffre d'Antiquité Rouge 1 étoile,Coffre d'Antiquité,Obtenez une Antiquité Rouge 1 étoile après achat
23,Coffre d'Antiquité Verte 1 étoile,Coffre d'Antiquité,Obtenez une Antiquité Verte 1 étoile après achat
24,Parchemin de Jobs,Parchemin de Jobs,À utiliser pour obtenir aléatoirement 1 Job de 1 à 4 étoiles
25,Parchemin de Jobs Avancé,Parchemin de Jobs,À utiliser pour obtenir aléatoirement 1 Job de 4 à 7 étoiles
26,Biscuit du Serviteur,Matériel du Serviteur,"À utiliser pour adopter, entraîner et faire évoluer les Serviteurs"
27,Biscuit Spiritueux,Matériel du Serviteur,À utiliser pour améliorer l'Aura de votre Serviteur
28,Carte Pratique,Ticket d'Activité Extra-Scolaire,À utiliser pour participer à l'Événement Mensuel - Activité Extra-Scolaire
29,Ticket Avancé du Distributeur,Ticket Avancé du Distributeur,À utiliser dans le Distributeur Avancé
30,頭像（無用）,Avatar Spécial,填充
31,Matériaux de Construction,Matériaux de Construction,À utiliser pour construire
32,戰姬置換材料（無用）,Matériaux d'Echange de Fille,À utiliser pour remplacer une Fille 10 étoiles
33,Jeton de Capsule Normale,Jeton,À utiliser pour invoquer une Fille dans la Capsule Normale
34,Ticket d'Arène,Ticket d'Arène,Ticket d'Arène
35,Ticket du Distributeur,Ticket du Distributeur,À utiliser dans le Distributeur Normal
36,Jeton de Capsule Avancée,Jeton,À utiliser pour Invoquer une Fille dans la Capsule Avancée
37,Cookies,Matériaux d'Echange,"Matériel Spécial, à utiliser pour obtenir des objets"
38,Gâteau de Lune,Matériaux d'Echange,"Matériel Spécial, à utiliser pour obtenir des objets"
39,Batterie Manuelle,Matériel d'Evenement,"Les Filles ont fabriquées les batteries à la main, elles n'ont pas été prudentes durant la fabrication. Utilisez-les pour faire des dégâts important contre les BOSS"
40,Énergie,Matériel d'Événement,À utiliser pour bouger des pièces du puzzle dans l'événement Puzzle
41,Bonhomme de Neige,Matériel d'Evènement,Objet exclusif pouvant être utilisé pour obtenir des récompenses durant l'événement. L'objet ne peut plus être utilisé après la fin de l'événement. Utilisez-le donc durant la période de l'événement !
42,Chaussette de Noël,Matériel d'Evènement,Objet exclusif pouvant être utilisé pour obtenir des récompenses durant l'événement. L'objet ne peut plus être utilisé après la fin de l'événement. Utilisez-le donc durant la période de l'événement !
43,Paquet Cadeau,Coffre de Cadeau,Une boîte mystérieuse contenant 1 Cadeau Aléatoire et des Fragments de Cadeau
