id,name,desc,unlock
1,Durée de l'Exploration I,Augmente votre nombre initial de Montre à Gousset de {1} dans l'Exploration de ce Corridor Temporel.,
2,Durée de l'Exploration II,Augmente votre nombre initial de Montre à Gousset de {1} dans l'Exploration de ce Corridor Temporel.,Condition：Débloqué après avoir amélioré le niveau de「Durée de l'Exploration I」à 2 et après que votre Audace ait atteint 500 dans ce Corridor Temporel. (N'inclut pas le supplément d'attributs fournis par vos Filles)
3,Durée de l'Exploration III,Augmente votre nombre initial de Montre à Gousset de {1} dans l'Exploration de ce Corridor Temporel.,Condition：Débloqué après avoir amélioré le niveau de「Durée de l'Exploration II」à 3 et après que votre Charme ait atteint 1000 dans ce Corridor Temporel. (N'inclut pas le supplément d'attributs fournis par vos Filles)
4,Durée de l'Exploration IV,Augmente votre nombre initial de Montre à Gousset de {1} dans l'Exploration de ce Corridor Temporel.,Condition：Débloqué après avoir amélioré le niveau de「Durée de l'Exploration III」à 3 et après que votre Génie ait atteint 1500 dans ce Corridor Temporel. (N'inclut pas le supplément d'attributs fournis par vos Filles)
5,Durée de l'Exploration V,Augmente votre nombre initial de Montre à Gousset de {1} dans l'Exploration de ce Corridor Temporel.,"Condition：Débloqué après que chacun de vos attributs : Audace, Charme, et Génie ait atteint 1700 dans ce Corridor Temporel. (N'inclut pas le supplément d'attributs fournis par vos Filles)"
6,Ressources I,"Lorsqu'une Carte de Ressources「Ressources Basiques」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",
7,Ressources II,"Lorsqu'une Carte de Ressources「Ressources Basiques」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 10%.
8,Ressources III,"Lorsqu'une Carte de Ressources「Ressources Basiques」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 20%.
9,Ressources IV,"Lorsqu'une Carte de Ressources「Ressources Basiques」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 30%.
10,Ressources V,"Lorsqu'une Carte de Ressources「Ressources Basiques」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",Condition：Débloqué après que l'Avancée Totale de ce Corridor Temporel ait atteint 40%.
11,Bouton Bois I,"Lorsqu'une Carte de Ressources「Bouton Bois」est déclenchée, augmente le niveau de cette Carte de 1 lors des prochaines Explorations.",
