id,title,desc
1,Un Monde sous l'Océan,
2,La Propriétaire du Palais,
3,"Parler à Mercure, l'Informée",
4,Besoin de quelque chose ?,
5,"Parler à Kong Ming, la Sage",
6,Explorer le Lagon,
7,"Parler à Ruben, celle qui vole",
8,À la Recherche du Point Noir,
9,Où sont passés les Joyaux ?,
10,Vers les Fonds Marins,
11,Épilogue,
12,Parler avec Diana,"« Mes petits, restez sage. » Poursuivis et éclaboussés par les petits de Diana, il semblait impossible de se débarrasser d'eux sans devoir d'abord gagner à cette bataille d’eau inévitable."
13,Jeter un œil sur le chat,"« Si tu veux caresser le chat, tu peux y aller ! ». Un petit chaton doux et dégageant une chaleur apaisante était tranquillement posé dans les bras de Melly, le corps se soulevant et s’abaissant légèrement au rythme de sa respiration."
14,Parler avec Mercure,"«Bonjour, en quoi puis-je vous aider ? Ce n'est pas grave si vous n'achetez rien, vous venez si peu à la plage, prenez donc ces cadeaux en guise de bienvenue~». Ces deux jeunes Filles visitèrent Mercure, qui pourtant rarement aussi généreuse, fut prise, aujourd’hui, d’un élan de générosité et qui leur distribua une myriade d'objets extraordinaires."
15,Parler avec Frexie,"«La glace au Wasabi et Sauce Soja n’est pas encore disponible, il vous faudra encore patienter quelques temps ! Mais vous pouvez goûter celle à la vanille~». Frexie vous décrocha un sourire, avant de vous tendre deux délicieuses glaces normales, à la vanille."
16,Jeter un œil sur Cupidon,"Cupidon lance frénétiquement des ondes lumineuses d'amour magique en direction de l'eau, ce qui perturbe les bancs de poissons ! Si elle continue, tout l'écosystème de l'océan sera en danger ! Arrêtez-la avant qu’il ne soit trop tard !"
17,Pourquoi danse-t-elle à la surface de l'eau ?,Toutes deux furent captivées par la danse magique de l'ange déchu sur la mer. Elles restèrent à la contempler pendant un long moment.
18,Parler avec Kong Ming,« Voudrais-tu essayer la pêche ? J'ai tout le matériel qu'il te faudra ! » Kong Ming leur tendit alors les cannes à pêche avant même qu'elles n'aient le temps de refuser.
19,Voir ce que Lord Dracula est en train de faire,« Où sont passées toutes les bulles ? Étaient-elles trop fragiles ? Je vais ajouter un peu plus de magie pour les renforcer... » Quelqu'un serait-il en train d'essayer d'atteindre la Lord des vampires ?
20,Observer les Singeries d'un Fou,"""Hé ! Pour qui tu te prends à me traiter de folle ? Je t'ai choisie pour faire partie du royaume magique !"" Une personne étrange criait aux deux exploratrices, une ceinture de transformation à la main. Heureusement que personne n'était là pour assister à ce spectacle."
21,Portrait Peinture,"Toutes deux obtinrent un double portrait, mais Melly se dit qu'il serait plus rapide de prendre une photo s'il s'agit d'un souvenir. Mais personne n'osa en parler devant Élisa."
22,Parler avec Ruben,« Faisons un autre tour dans le ciel~» Ruben prit les mains de Melly et Neptuna et fit un looping dans les airs.
23,Retournez là où vous avez rencontré Prêtresse,"Grâce à Melly et Neptuna, Prêtresse a rejoint le bord de mer saine et sauve. Cependant, les poissons sont toujours après Prêtresse. Toutes deux contemplèrent alors de la scène."
