id,desc,skill_name
101001,Augmente l'Attaque des Filles de la Maison Fantôme déployées de 2%,Fantôme
101002,Augmente l'Attaque des Filles de la Maison Fantôme déployées de 4%,Fantôme
101003,Augmente l'Attaque des Filles de la Maison Fantôme déployées de 7%,Fantôme
101004,Augmente l'Attaque des Filles de la Maison Fantôme déployées de 10%,Fantôme
101005,Augmente l'Attaque des Filles de la Maison Fantôme déployées de 15%,Fantôme
101006,Augmente l'Attaque des Filles de la Maison Humain déployées de 2%,Humain
101007,Augmente l'Attaque des Filles de la Maison Humain déployées de 4%,Humain
101008,Augmente l'Attaque des Filles de la Maison Humain déployées de 7%,Humain
101009,Augmente l'Attaque des Filles de la Maison Humain déployées de 10%,Humain
101010,Augmente l'Attaque des Filles de la Maison Humain déployées de 15%,Humain
101011,Augmente l'Attaque des Filles de la Maison Monstre déployées de 2%,Monstre
101012,Augmente l'Attaque des Filles de la Maison Monstre déployées de 4%,Monstre
101013,Augmente l'Attaque des Filles de la Maison Monstre déployées de 7%,Monstre
101014,Augmente l'Attaque des Filles de la Maison Monstre déployées de 10%,Monstre
101015,Augmente l'Attaque des Filles de la Maison Monstre déployées de 15%,Monstre
101016,Augmente l'Attaque des Filles de la Maison Fée déployées de 2%,Fée
101017,Augmente l'Attaque des Filles de la Maison Fée déployées de 4%,Fée
101018,Augmente l'Attaque des Filles de la Maison Fée déployées de 7%,Fée
101019,Augmente l'Attaque des Filles de la Maison Fée déployées de 10%,Fée
101020,Augmente l'Attaque des Filles de la Maison Fée déployées de 15%,Fée
101021,Augmente l'Attaque des Filles de la Maison Démon déployées de 2%,Démon
101022,Augmente l'Attaque des Filles de la Maison Démon déployées de 4%,Démon
101023,Augmente l'Attaque des Filles de la Maison Démon déployées de 7%,Démon
101024,Augmente l'Attaque des Filles de la Maison Démon déployées de 10%,Démon
101025,Augmente l'Attaque des Filles de la Maison Démon déployées de 15%,Démon
101026,Augmente l'Attaque des Filles de la Maison Ange déployées de 2%,Ange
101027,Augmente l'Attaque des Filles de la Maison Ange déployées de 4%,Ange
101028,Augmente l'Attaque des Filles de la Maison Ange déployées de 7%,Ange
101029,Augmente l'Attaque des Filles de la Maison Ange déployées de 10%,Ange
101030,Augmente l'Attaque des Filles de la Maison Ange déployées de 15%,Ange
101031,Augmente l'Attaque de toutes les Filles déployées de 1%,Attaque
