id,title,desc
1,Parachutage,Obtenez 1 * Boîte de Ressources Personnalisée
2,Ciel Dégagé,Une case aléatoire de ressources obtient 1 niveau (n'affecte pas les cases au niveau max).
3,Au Gré du Vent,Le prochain déplacement grâce au Gouvernail/Avancé sera doublé.
4,Immense Bonheur,Le prochain Gouvernail/Avancé pourra être activé 2 fois (1 seul Gouvernail sera utilisé).
5,Fortune,"Quand Lavli passe/s'arrête sur une case d'un Arbre de Corail, vous obtiendrez des Branches doublées"
6,Averse,-1 Niveau pour une case de ressources aléatoire (n'affecte pas les cases au niveau minimum).
7,Vague,"La prochaine fois que Lavli s'arrête sur une case de ressources, vous n'obtiendrez rien"
8,Champ Magnétique,"Lors du prochain déplacement de Lavli, elle retournera sur ses pas. (Vous n'obtiendrez rien et la case ne montera pas de niveau.)"
9,Rancœur de Capsula,"Capsula que Lavli revienne, par conséquent, Lavli retourne au point de départ."
10,Ressources-Ciseau de Cristal,"Quand Lavli s'arrête sur cette case, vous obtiendrez des Ciseaux de Cristal et le niveau de la case augmentera de 1 (Niveau max de la case: 3)."
11,Ressources-Plateau Repas,"Quand Lavli s'arrête sur cette case, vous obtiendrez des Plateaus Repas et le niveau de la case augmentera de 1 (Niveau max de la case: 3)."
12,Ressources-Jus d'EXP,"Quand Lavli s'arrête sur cette case, vous obtiendrez du Jus d'EXP et le niveau de la case augmentera de 1 (Niveau max de la case: 3)."
13,Ressources-Biscuit Spiritueux,"Quand Lavli s'arrête sur cette case, vous obtiendrez des Biscuits Spiritueux et le niveau de la case augmentera de 1 (Niveau max de la case: 3)."
14,Ressources-Biscuit de Serviteur,"Quand Lavli s'arrête sur cette case, vous obtiendrez des Biscuits de Serviteur et le niveau de la case augmentera de 1 (Niveau max de la case: 3)."
15,Ressources-Frag. de Fille 3 étoiles,"Quand Lavli s'arrête sur cette case, vous obtiendrez des Fragments de Fille 3 étoiles et le niveau de la case augmentera de 1 (Niveau max de la case: 3)."
16,Ressources-Frag. de Fille 4 étoiles,"Quand Lavli s'arrête sur cette case, vous obtiendrez des Fragments de Fille 4 étoiles et le niveau de la case augmentera de 1 (Niveau max de la case: 3)."
17,Ressources-Frag. de Fille 5 étoiles,"Quand Lavli s'arrête sur cette case, vous obtiendrez des Fragments de Fille 5 étoiles et le niveau de la case augmentera de 1 (Niveau max de la case: 3)."
18,Corail,"À chaque fois que Lavli passera/s'arrêtera sur cette case, vous obtiendrez des Branches de Corail. En s'arrêtant sur la case, le niveau de la case augmentera de 1 (Niveau max de la case: 3)."
19,Gouvernail,Vous obtiendrez 1 Gouvernail à chaque fois que Lavli s'arrêtera sur cette case.
20,Gouvernail Avancé,Vous obtiendrez 1 Gouvernail Avancé à chaque fois que Lavli s'arrêtera sur cette case.
21,Maison en Conque,Vous pouvez choisir de retourner 1 des 3 cartes proposées et Lavli sera affectée par l'effet de la carte choisie.
22,Vortex Marin,"Votre périple est perturbé. La prochaine fois que vous utiliserez un Gouvernail (Avancé), vous n'avancerez que de la moitié de ce que vous devriez avancer."
23,Perle,"À chaque fois que Lavli s'arrêtera sur cette case, vous obtiendrez des perles."
