id,brief,text
1,Tirer Capsules Avancées 10 fois,
2,Utiliser 3 Tickets d'Arène,
3,Dépenser 200 Gemmes,
4,Obtenir 1 Fille 5 étoiles,"Moyen d'obtention : Fragments, Graduer, Capsule Avancée, Capsule Normale, Capsule d'Amitié"
5,Obtenir Melly 5 étoiles,"Moyen d'obtention : Fragments, Capsule Avancée"
6,Graduer Melly à 6 étoiles (n'inclut pas échange),
7,Éveiller Melly à 9 étoiles (n'inclut pas échange),
8,Libérer Melly à 10 étoiles (n'inclut pas échange),
9,Finir 1 Job 4 étoiles,
10,Finir 1 Job 5 étoiles,
11,Finir 1 Job 6 étoiles,
