id,show_word
1,Samurai
2,Calista
3,Ashely
4,Assassin
5,Masamune
6,Chevalir
7,Dracula
8,Libraria
9,Oméga
10,Guan Yin
11,Nobunaga
12,Amelia
13,Pandaria
14,Elfe Bourgeon
15,Nia
16,Wu Kong
17,Sapphire
18,Amazon
19,Himoto
20,Chevalir
21,Gabriel
22,Ennmaya
23,Javelin
24,Toyo
25,Libraria
26,Guan Yin
27,Wildtress
28,Himoto
29,Amelia
30,Gabriel
31,Gabriel
32,Ennmaya
33,Javelin
34,Toyo
35,Libraria
36,Nia
37,Nobunaga
38,Javelin
39,Gabriel
40,Masamune
41,Nia
42,Ennmaya
43,Guan Yin
44,Himoto
45,Toyo
46,Pandaria
47,Wildtress
48,Prêtresse
49,Amelia
50,Lucifer
51,Libraria
52,Hexa
53,Sapphire
54,Sakura
55,Sonya
56,Javelin
57,Wildtress
58,Prêtresse
59,Lucifer
60,Phénix
61,Cauchemar
