id,text,option1,option2,option3
12020001,"Parmi les noms ci-dessous, lequel est celui d'une Maison de l'Académie Yume ?",Humain,Dragon,Étoiles
12020002,"Parmi les noms ci-dessous, lequel n'est pas celui d'une Maison de l'Académie Yume ?",Fantôme,Démon,Prestige
12020003,"En combat, face à quelle Maison les Filles de la Maison Humain obtiennent-elles un bonus de Rivalité de Maison ?",Maison Monstre,Maison Fantôme,Maison Fée
12020004,"En combat, quelle Maison obtient un bonus de Rivalité de Maison face à la Maison Humain ?",Maison Monstre,Maison Fantôme,Maison Fée
12020005,"Parmi les Filles ci-dessous, laquelle appartient à Maison Humain ?",Saint,Aquaris,Kong Ming
12020006,"Parmi les Filles ci-dessous, laquelle appartient à Maison Humain ?",Iron Fist,Dracula,Ithil
10010007,"Lorsque vous êtes hors-ligne, pendant combien de temps les Filles peuvent vous aider à récupérer du Butin d'Auto-Bataille ?",8 heures,10 heures,12 heures
10010008,"Le dortoir de Saint est un peu rudimentaire, où peut-elle acheter de nouveaux meubles ?",Dans le Butin d'Auto-Bataille. Ils seront bien livrés un jour ou l'autre à sa porte.,Dans la Boutique de Meuble,Dans le Marché - Café
12020007,"Senpai, tu as une chance unique d'aller en rendez-vous avec Saint. Que devrais-tu lui offrir ?",Parapluie,Masque de Renard,Lampe de Poche
10010010,"Iron Fist a créé une nouvelle Guilde, comment doit-elle faire pour augmenter le nombre de places de membres de Guilde ?","Augmenter le niveau de la Guilde en cliquant sur ""Connexion"" dans la Guilde.",Combattre dans l'Arène,Auto-Bataille
10010011,"Saint a obtenu des Pièces de Guilde, à quoi peuvent-elles bien servir ?",L'utiliser dans le Distributeur.,Les utiliser dans le Laboratoire pour améliorer les attributs de combat des Filles.,L'utiliser comme cadeaux pour les Filles.
10010012,Comment faire pour revoir l'histoire des chapitres que vous avez déjà passé ?,"Une fois que l'histoire principale précédente est passée, il n'y a aucun moyen de la revoir.",Campagne - En cliquant sur le chapitre précédent que l'on souhaite revoir.,Onglet Menu - Mémoire
10010013,"Parmis les méthodes suivantes, laquelle permet d'obtenir des avatars ?",Obtenir une Fille jamais obtenue auparavant.,Finir des Jobs,Butin d'Auto-Bataille
10010014,"Parmis les méthodes suivantes, laquelle permet d'obtenir des avatars ?",Acheter dans la Boutique de Meubles.,"Dans la Boutique de Skin, en achetant un nouveau skin vous obtenez également un nouvel avatar.",En ajoutant un nouvel ami.
10010015,"Parmi les méthodes suivantes, laquelle ne permet pas d'obtenir des Plateaux Repas ?","Dans l'Auto-Bataille. Plus le niveau d'étape est élevé, plus on en obtient.",Dans les étapes du Test,En discutant avec des gens sur le tchat.
10010016,"Parmi les méthodes suivantes, laquelle ne permet pas d'obtenir des Pièce d'Or ?",Dans le Marché - Café,"Dans l'Auto-Bataille. Plus le niveau d'étape est élevé, plus on en obtient.","Dans l'Alchimie. Plus le niveau de Senpai ou le niveau de VIP est élevé, plus les Pièces d'Or vous pouvez collecter."
10010017,"Dans le tchat (Monde), j'ai rencontré une personne très intéressante. Puis-je l'ajouter comme ami ?","S'il se trouve dans la même guilde, je peux lui envoyer une demande.",Je peux cliquer sur son avatar pour lui envoyer une demande.,Non
10010018,"Parmi les méthodes suivantes, laquelle ne permet pas d'obtenir des Fragments de Fille ?",Dans les Jobs,"Après avoir le niveau 30, dans les Quizz.",En interagissant avec les Filles dans le Dortoir.
10010019,"Une bonne formation d'équipe peut permettre aux Filles de vaincre une équipe d'ennemi plus puissante. Cependant, parmi les méthodes suivantes, laquelle ne permet pas de mieux connaître les compétences d'une Fille ?","En regardant les données et les caractéristiques des Filles sur l'interface ""Stratégie"" et en l'essayant dans différentes situations.","En regardant leur visage, plus elles sont belles, plus elles sont puissantes !",Consulter les avis de joueurs expérimentés sur les plateformes sociales.
10010020,Comment faire pour choisir les Filles de votre Interface d'Accueil ?,Dans le Menu-Fond,"En cliquant sur la Fille de l'interface d'accueil, puis sur ""Remplacer"".",Il n'y actuellement aucun moyen de choisir la Fille que l'on veut.
10010021,"Capsula a obtenu un Ticket du Distributeur, pouvez-vous lui dire ce qu'elle peut en faire ?",L'utiliser pour accéder à l'étage supérieur du Test.,L'utiliser au Distributeur pour obtenir des récompenses.,L'utiliser pour tirer des Capsules Avancées et obtenir des Filles.
10010022,"Parmi les méthodes suivantes, laquelle ne permet pas d'obtenir des Jetons de Capsules Avancées ?",Dans le Marché (sous le Café),En interagissant avec les Filles dans le Dortoir.,Dans les Jobs
10010023,"Parmi les méthodes suivantes, laquelle ne permet pas d'obtenir de Jus d'EXP ?",Dans l'Alchimie,"Dans l'Auto-Bataille. Plus le niveau d'étape est élevé, plus on en obtient.",Dans le Marché (sous le Café)
