id,fort_id,name,tips_dialog
1,1,,
2,1,,
3,1,Cérémonie d'Ouverture,"Senpai, fais attention à l'heure, la cérémonie d'ouverture va bientôt commencer !"
4,1,Nouveaux,"Senpai, fais attention en marchant !|Désolé... Tu n'as rien ?"
5,1,Maison Humain,"Senpai, qu'est-ce que l'examen de division des maisons ?"
6,1,Maison Monstre,"Iron Fist, tu aurais du écouter Senpai et aller dans la Maison Monstre|C'est vrai, Senpai ? C'est pas le centre d'examen de la Maison Monstre en face ?"
7,1,Maison Ange,"Je vous ai attendue toutes les deux pendant des heures, je pensais que vous aviez des problèmes dans la Maison Monstre..."
8,1,Les Elfes de la Maison Fée,Vas-tu ensuite aller au centre d'examen dont s'occupe Kong Ming ?
9,1,Maison Démon,"La Maison Démon... Cela a l'air vraiment horrible...|Hahaha, ne t'inquiètes pas Iron Fist, Lucifer est une personne très sympa."
10,1,Maison Fantôme,Des vampires ? Mais il n'y a pas de différence avec la Maison Démon...
11,1,Dîner,"Senpai, après une longue journée de travail, nous devrions aller prendre un dîner."
12,1,Émeute,Senpai ? Senpai ?! Qu'est-ce qui ne va pas avec ces élèves ?
13,2,Dortoir des Filles,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
14,2,En Retard,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
15,2,Pain aux Nouilles Sautées,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
16,2,Amitié ! Ambition ! Victoire !,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
17,2,Club de Livre d'Horreur,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
18,2,Chado,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
19,2,Union Étudiante,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
20,2,SHINING BAND,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
21,2,Tout à coup,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
22,2,Lucifer,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
23,3,Comité de Discipline,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
24,3,Enquête,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
25,3,Retour sur Scène,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
26,3,Signe du Chaos,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
27,3,Lune Rouge,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
28,3,Seigneur de la Nuit,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
29,3,Situation Dangereuse,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
30,3,Inarrêtable,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
31,3,Ailes déchues,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
32,3,Détériorer,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
33,4,Yume,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
34,4,Fille Hanabi,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
35,4,Petit vœu,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
36,4,Grande Bataille dans la Rue,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
37,4,Défenseur,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
38,4,Nuit Sublime,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
39,4,Graduer,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
40,4,Photo étrange,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
41,4,Clarté et Obscurité,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
42,4,DEF,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
43,5,Pratique Extraordinaire,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
44,5,Fuir est honteux et inutile,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
45,5,Fauteur de troubles,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
46,5,Test Primaire,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
47,5,Challenger,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
48,5,Test Avancé,"Il semblerait que quelque chose s'est produit sur le Campus, Senpai viens vite voir !"
