id,name
10001,Carte Aiguisée 1
10002,Carte Aiguisée 1
10003,Carte Aiguisée 1
10004,Carte Aiguisée 1
10005,Carte Aiguisée 1
10006,Carte Aiguisée 1
10007,Carte Aiguisée 1
10008,Carte Aiguisée 1
10009,Carte Aiguisée 1
10010,Carte Aiguisée 1
10011,Carte Aiguisée 1
10012,Carte Aiguisée 1
10013,Carte Aiguisée 1
10014,Carte Aiguisée 1
10015,Carte Aiguisée 1
10016,Carte Aiguisée 1
10017,Carte Aiguisée 1
10018,Carte Aiguisée 1
10019,Carte Aiguisée 1
10020,Carte Aiguisée 1
20001,Carte Robuste 1
20002,Carte Robuste 1
20003,Carte Robuste 1
20004,Carte Robuste 1
20005,Carte Robuste 1
20006,Carte Robuste 1
20007,Carte Robuste 1
20008,Carte Robuste 1
20009,Carte Robuste 1
20010,Carte Robuste 1
20011,Carte Robuste 1
20012,Carte Robuste 1
20013,Carte Robuste 1
20014,Carte Robuste 1
20015,Carte Robuste 1
20016,Carte Robuste 1
20017,Carte Robuste 1
20018,Carte Robuste 1
20019,Carte Robuste 1
20020,Carte Robuste 1
30001,Carte Perçante 1
30002,Carte Perçante 1
30003,Carte Perçante 1
30004,Carte Perçante 1
30005,Carte Perçante 1
30006,Carte Perçante 1
30007,Carte Perçante 1
30008,Carte Perçante 1
30009,Carte Perçante 1
30010,Carte Perçante 1
30011,Carte Perçante 1
30012,Carte Perçante 1
30013,Carte Perçante 1
30014,Carte Perçante 1
30015,Carte Perçante 1
30016,Carte Perçante 1
30017,Carte Perçante 1
30018,Carte Perçante 1
30019,Carte Perçante 1
30020,Carte Perçante 1
40001,Carte d'Acier 1
40002,Carte d'Acier 1
40003,Carte d'Acier 1
40004,Carte d'Acier 1
40005,Carte d'Acier 1
40006,Carte d'Acier 1
40007,Carte d'Acier 1
40008,Carte d'Acier 1
40009,Carte d'Acier 1
40010,Carte d'Acier 1
40011,Carte d'Acier 1
40012,Carte d'Acier 1
40013,Carte d'Acier 1
40014,Carte d'Acier 1
40015,Carte d'Acier 1
40016,Carte d'Acier 1
40017,Carte d'Acier 1
40018,Carte d'Acier 1
40019,Carte d'Acier 1
40020,Carte d'Acier 1
50001,Carte Combative 1
50002,Carte Combative 1
50003,Carte Combative 1
50004,Carte Combative 1
50005,Carte Combative 1
50006,Carte Combative 1
50007,Carte Combative 1
50008,Carte Combative 1
50009,Carte Combative 1
50010,Carte Combative 1
50011,Carte Combative 1
50012,Carte Combative 1
50013,Carte Combative 1
50014,Carte Combative 1
50015,Carte Combative 1
50016,Carte Combative 1
50017,Carte Combative 1
50018,Carte Combative 1
50019,Carte Combative 1
50020,Carte Combative 1
60001,Carte Protectrice 1
60002,Carte Protectrice 1
60003,Carte Protectrice 1
60004,Carte Protectrice 1
60005,Carte Protectrice 1
60006,Carte Protectrice 1
60007,Carte Protectrice 1
60008,Carte Protectrice 1
60009,Carte Protectrice 1
60010,Carte Protectrice 1
60011,Carte Protectrice 1
60012,Carte Protectrice 1
60013,Carte Protectrice 1
60014,Carte Protectrice 1
60015,Carte Protectrice 1
60016,Carte Protectrice 1
60017,Carte Protectrice 1
60018,Carte Protectrice 1
60019,Carte Protectrice 1
60020,Carte Protectrice 1
70001,Carte Aiguisée 2
70002,Carte Aiguisée 2
70003,Carte Aiguisée 2
70004,Carte Aiguisée 2
70005,Carte Aiguisée 2
70006,Carte Aiguisée 2
70007,Carte Aiguisée 2
70008,Carte Aiguisée 2
70009,Carte Aiguisée 2
70010,Carte Aiguisée 2
70011,Carte Aiguisée 2
