id,cell_name
44,Studio Photo
47,Cuisine raffinée
52,Kimono
55,Wagashi
58,Pause-café
62,Stand de pêche
66,Stand de Nouilles
70,Masques
74,Feux d'artifice
78,Concours de beauté
84,Entrée du Théâtre
87,Auditorium
91,Boutique de souvenirs
95,Coulisses du théâtre
99,Étape
102,Grande roue
106,Caroussel
113,Glace
117,Montagnes russes
119,Maison hantée
125,Magasin de mode
128,Café à chats
132,Salon de thé anglais
135,Fleuriste
139,Pause-café
145,Pommes d'Amour
148,Feux d'artifice
152,Takoyaki
156,Stand de glace pilée
158,Jeu de cerceaux
162,Discussion au bord du lac
166,Ramer
171,Pique-nique
175,Le cerf-volant
179,Jeu d'échecs
183,Éventails
187,Pause-café
192,Café à chats
197,Librairie
200,Salle d'arcade
204,Rafting
208,Montagnes russes
213,Auto-tamponneuse
217,Aire de repos
219,Défi de pêche
