id,map_id,cell_type,name,desc,num
1,5,0,,,
2,5,0,,,
3,5,0,,,
4,5,0,,,
5,5,4,Manoir 01,Déclenchez différents événements et faites votre choix ! Recevez des récompenses en fonction de l'événement et de votre choix.,01
6,5,5,Manoir 02,"Défiez le BOSS du manoir, faites de votre mieux pour vaincre l'ennemi et échappez-vous de cette Aventure Fantastique !\nDéfi principal: terminez les défis de cet évènement pour obtenir plus de récompenses.",02
7,5,0,,,
8,5,0,,,
9,5,0,,,
10,5,0,,,
11,5,0,,,
12,5,0,,,
13,5,0,,,
14,5,0,,,
15,5,3,Manoir 03,"Choisissez une Fille pour participer au Défi sécondaire et obtenir des récompenses. Si vous choisissez une ""Fille avec des oreilles d'animaux"" pour participer à ce défi, vous pouvez obtenir plus de récompenses ! \nDéfi principal: terminez les défis de cet évènement pour obtenir plus de récompenses.",03
16,5,2,Manoir 04,"Utilisez une de vos Filles ou un PNJ assistant pour combattre l'ennemi et obtenir des récompenses. Plus les dégâts infligés sont élevés, plus la récompense est importante.\nDéfi spécial: les Dégâts sur la Durée causés par votre équipe sont réduits de 80%.\nDéfi principal: terminez ce défi pour obtenir plus de récompenses.",04
17,5,4,Manoir 05,Déclenchez différents événements et faites votre choix ! Recevez des récompenses en fonction de l'événement et de votre choix.,05
18,5,0,,,
19,5,0,,,
20,5,0,,,
21,5,0,,,
22,5,4,Manoir 06,Déclenchez différents événements et faites votre choix ! Recevez des récompenses en fonction de l'événement et de votre choix.,06
23,5,2,Manoir 07,"Utilisez une de vos Filles ou un PNJ assistant pour combattre l'ennemi et obtenir des récompenses. Plus les dégâts infligés sont élevés, plus la récompense est importante.\nDéfi spécial: les Dégâts Critiques par votre équipe sont réduits de 80%.",07
24,5,2,Manoir 08,"Utilisez une de vos Filles ou un PNJ assistant pour combattre l'ennemi et obtenir des récompenses. Plus les dégâts infligés sont élevés, plus la récompense est importante.\nDéfi spécial: Aucun malus. \nDéfi principal: terminez ce défi pour obtenir plus de récompenses.",08
25,5,0,,,
26,5,0,,,
